,0,1,2,3
0,10015.98460655738,0.001597184477270399,"0.00,0.00,0.00,1.00,0.00,0.00","1.000,1.037,1.001,1.004,1.003,0.993"
1,9990.945649133222,-0.002503029717893501,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
2,9965.969284104955,-0.0025030299674969883,"0.00,1.00,0.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
3,9941.055359983113,-0.0025030297168705377,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.044,1.021,1.000,1.004,0.994"
4,9941.056354088649,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.019,0.994,1.004,0.995,1.004"
5,9613.65081827158,-0.03348923938672736,"0.00,1.00,0.00,0.00,0.00,0.00","1.000,0.970,1.003,0.992,1.002,0.994"
6,9333.433255548993,-0.02958112128085896,"0.00,1.00,0.00,0.00,0.00,0.00","1.000,0.971,0.982,0.984,0.994,0.981"
7,9060.400727127193,-0.029689577957469702,"0.00,1.00,0.00,0.00,0.00,0.00","1.000,0.971,1.004,1.004,0.996,1.022"
8,9015.099631864987,-0.005012441062209053,"0.00,0.00,0.00,0.00,1.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
9,8970.025037469399,-0.00501244106978055,"0.00,0.00,0.00,0.00,0.00,1.00","1.000,1.000,1.000,1.000,1.000,1.000"
10,8947.600874120735,-0.0025030297168705377,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.003,0.993,1.004,1.007,0.994"
11,8947.601768880822,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.005,1.011,1.004,1.008,1.012"
12,8876.220624574897,-0.008009676527373983,"0.00,0.00,0.00,0.00,1.00,0.00","1.000,1.003,1.000,1.000,0.995,1.000"
13,8811.644232409855,-0.007301806023715058,"0.00,0.00,0.00,0.00,0.00,1.00","1.000,1.051,1.021,0.996,1.036,0.998"
14,8630.422276939067,-0.020780619866648774,"0.00,0.00,1.00,0.00,0.00,0.00","1.000,1.054,0.984,0.988,0.988,0.998"
15,8587.27103078832,-0.005012441065807626,"0.00,1.00,0.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
16,8587.271887368606,9.97499950626707e-08,"0.00,1.00,0.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
17,8565.80456852419,-0.0025030297168705377,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,0.927,0.944,0.979,0.951,0.977"
18,8565.805425104647,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.022,1.007,1.000,1.002,1.000"
19,8744.761485668734,0.02067666958784236,"0.00,0.00,0.00,0.00,0.00,1.00","1.000,1.100,0.993,1.000,0.997,1.023"
20,8722.90045856693,-0.0025030297225991766,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
21,8701.094079710558,-0.0025030299674969883,"0.00,1.00,0.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
22,8679.342216795962,-0.0025030297168705377,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
23,8679.343084730184,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
24,8679.343952664492,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,0.997,1.014,1.009,1.016,0.985"
25,8679.344820598888,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.017,0.998,1.008,0.993,0.986"
26,8291.405716503488,-0.04572652182071434,"0.00,1.00,0.00,0.00,0.00,0.00","1.000,0.958,1.003,0.996,1.003,0.999"
27,8424.873690459966,0.015968961390920862,"0.00,0.00,0.00,1.00,0.00,0.00","1.000,1.010,1.001,1.021,1.001,1.007"
28,8627.018818185628,0.023710517509104734,"0.00,0.00,1.00,0.00,0.00,0.00","1.000,1.030,1.029,0.996,1.038,0.992"
29,8583.884588892566,-0.005012441076860202,"0.00,0.00,0.00,1.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
30,8540.966026482532,-0.00501244106978055,"0.00,0.00,0.00,0.00,1.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
31,8519.614467648169,-0.0025030297168705377,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,0.934,0.959,0.983,0.994,0.997"
32,8519.615319609617,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,0.975,1.005,1.000,1.001,1.014"
33,8436.803665260502,-0.009767665310097547,"0.00,0.00,0.00,0.00,1.00,0.00","1.000,0.993,0.988,1.000,0.993,0.999"
34,8325.708444131378,-0.013255393591256813,"0.00,0.00,0.00,0.00,0.00,1.00","1.000,1.006,1.001,1.004,1.010,0.992"
35,8371.008086924894,0.00542618710182484,"0.00,0.00,1.00,0.00,0.00,0.00","1.000,1.023,1.010,0.996,1.000,1.003"
36,8329.153885662205,-0.0050124410723767976,"0.00,0.00,0.00,0.00,1.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
37,8287.50895123157,-0.00501244106978055,"0.00,1.00,0.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
38,8266.791009676263,-0.0025030297168705377,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
39,8266.791836355364,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
40,8266.792663034548,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
41,8266.793489713815,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
42,8266.794316393165,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
43,8266.795143072597,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
44,8266.795969752111,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
45,8266.796796431709,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.006,1.020,1.021,1.009,1.018"
46,8266.797623111388,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.010,1.007,1.025,1.020,1.000"
47,8292.31468267813,0.0030819381248230362,"0.00,0.00,1.00,0.00,0.00,0.00","1.000,1.020,1.006,0.996,0.988,0.991"
48,8485.858810107351,0.02307196465479955,"0.00,0.00,0.00,1.00,0.00,0.00","1.000,0.962,1.003,1.028,0.999,1.022"
49,8431.145373857185,-0.006468477092990454,"0.00,1.00,0.00,0.00,0.00,0.00","1.000,0.999,1.018,1.004,1.012,0.996"
50,8388.990492213277,-0.005012441069416352,"0.00,0.00,0.00,1.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
51,8347.046380748507,-0.00501244106978055,"0.00,0.00,1.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
52,8326.179601588034,-0.0025030297168705377,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,0.972,0.993,0.976,0.986,0.992"
53,8326.180434205995,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.016,1.022,1.012,1.005,1.003"
54,8332.152455205141,0.0007170010702318434,"0.00,0.00,1.00,0.00,0.00,0.00","1.000,1.092,1.003,1.000,0.995,0.999"
55,8260.900245572631,-0.008588250621373271,"0.00,0.00,1.00,0.00,0.00,0.00","1.000,0.957,0.991,0.996,1.010,0.994"
56,8010.900145261259,-0.030730437710260156,"0.00,1.00,0.00,0.00,0.00,0.00","1.000,0.975,1.008,0.996,0.990,0.992"
57,7990.873698042751,-0.0025030297103748153,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
58,7970.897312885014,-0.0025030299674969883,"0.00,0.00,0.00,0.00,1.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
59,7950.970868685256,-0.0025030297168705377,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.046,1.001,1.012,1.000,1.003"
60,7950.971663782344,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,0.974,1.024,0.996,1.002,1.013"
61,8085.6192139985105,0.016792935041476362,"0.00,1.00,0.00,0.00,0.00,0.00","1.000,1.019,0.974,1.000,0.992,1.000"
62,8045.191928473308,-0.005012441074570576,"0.00,0.00,1.00,0.00,0.00,0.00","1.000,0.983,1.000,0.988,0.993,0.998"
63,7988.783918034043,-0.007036089325930497,"0.00,0.00,0.00,0.00,0.00,1.00","1.000,0.983,0.999,0.992,0.984,0.998"
64,7968.812759118571,-0.0025030297163653446,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
65,7948.89152410205,-0.0025030299674969883,"0.00,0.00,1.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
66,7929.02009216817,-0.0025030297168705377,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.006,0.995,1.000,0.991,0.997"
67,7929.020885070179,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.023,1.002,1.004,1.012,1.007"
68,7776.977690882145,-0.019361767190730635,"0.00,0.00,1.00,0.00,0.00,0.00","1.000,0.997,0.983,1.020,0.992,0.992"
69,7740.810904845864,-0.0046613409248927725,"0.00,1.00,0.00,0.00,0.00,0.00","1.000,1.000,1.017,1.000,1.002,1.012"
70,7671.511535804263,-0.008992783057670699,"0.00,0.00,0.00,1.00,0.00,0.00","1.000,1.001,0.984,0.996,1.005,0.997"
71,7633.154747201883,-0.005012441068783581,"0.00,0.00,0.00,0.00,0.00,1.00","1.000,1.000,1.000,1.000,1.000,1.000"
72,7594.989738689636,-0.00501244106978055,"0.00,1.00,0.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
73,7576.003025740633,-0.0025030297168705377,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,0.988,0.989,1.060,0.996,0.995"
74,7576.003783340936,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.021,1.008,1.000,1.009,1.008"
75,7840.809991533186,0.03435628900356813,"0.00,0.00,0.00,1.00,0.00,0.00","1.000,0.978,0.974,1.037,0.979,0.994"
76,7940.234909857364,0.012600716173507786,"0.00,1.00,0.00,0.00,0.00,0.00","1.000,1.018,1.021,1.000,1.032,1.002"
77,7814.539207348667,-0.01595686090201493,"0.00,0.00,0.00,1.00,0.00,0.00","1.000,1.049,1.026,0.989,1.011,1.004"
78,7775.467294740869,-0.005012441067029652,"0.00,0.00,0.00,0.00,1.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
79,7736.5907377577605,-0.00501244106978055,"0.00,1.00,0.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
80,7717.250036506587,-0.0025030297168705377,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,0.984,1.010,0.996,0.995,0.995"
81,7717.250808231591,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.027,1.064,1.000,1.100,1.012"
82,7634.702298770259,-0.010754241427290404,"0.00,1.00,0.00,0.00,0.00,0.00","1.000,0.992,0.976,1.015,0.964,1.018"
83,7608.26922816894,-0.003468234136733005,"0.00,0.00,1.00,0.00,0.00,0.00","1.000,1.044,1.002,0.993,1.004,0.985"
84,7459.5629105262515,-0.019738890709154494,"0.00,0.00,0.00,1.00,0.00,0.00","1.000,0.952,0.983,0.985,0.987,0.991"
85,7422.265843822328,-0.005012441066071959,"0.00,1.00,0.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
