,0,1,2,3
0,10005.732407498464,0.0005730765101307298,"0.00,0.00,0.00,0.00,1.00,0.00","1.000,1.037,1.001,1.004,1.003,0.993"
1,10005.733405577936,9.975076089443669e-08,"0.00,0.00,0.00,0.00,1.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
2,9955.705741624819,-0.00501244106978055,"0.00,0.00,0.00,0.00,0.00,1.00","1.000,1.000,1.000,1.000,1.000,1.000"
3,9905.928210976195,-0.00501244106978055,"0.00,0.00,0.00,1.00,0.00,0.00","1.000,1.044,1.021,1.000,1.004,0.994"
4,9881.164383518057,-0.0025030297168705377,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.019,0.994,1.004,0.995,1.004"
5,9881.165371634495,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,0.970,1.003,0.992,1.002,0.994"
6,9666.713351767772,-0.02194208659858049,"0.00,0.00,0.00,0.00,0.00,1.00","1.000,0.971,0.982,0.984,0.994,0.981"
7,9878.57974595249,0.02168038021710871,"0.00,0.00,0.00,0.00,0.00,1.00","1.000,0.971,1.004,1.004,0.996,1.022"
8,9829.187837497378,-0.0050124410751693155,"0.00,1.00,0.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
9,9829.188817958866,9.97499950626707e-08,"0.00,1.00,0.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
10,9860.368827184793,0.0031671646312811143,"0.00,1.00,0.00,0.00,0.00,0.00","1.000,1.003,0.993,1.004,1.007,0.994"
11,9835.71889361101,-0.0025030297176629975,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.005,1.011,1.004,1.008,1.012"
12,9811.130579948873,-0.0025030299674969883,"0.00,0.00,0.00,0.00,0.00,1.00","1.000,1.003,1.000,1.000,0.995,1.000"
13,9971.853373673086,0.016248947111892797,"0.00,0.00,1.00,0.00,0.00,0.00","1.000,1.051,1.021,0.996,1.036,0.998"
14,9899.254277756552,-0.00730703292556708,"0.00,0.00,0.00,0.00,0.00,1.00","1.000,1.054,0.984,0.988,0.988,0.998"
15,9849.758998773666,-0.005012441069206247,"0.00,0.00,0.00,1.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
16,9849.759981287127,9.97499950626707e-08,"0.00,0.00,0.00,1.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
17,9078.77754364163,-0.08150753571308683,"0.00,1.00,0.00,0.00,0.00,0.00","1.000,0.927,0.944,0.979,0.951,0.977"
18,9056.081510109434,-0.0025030296970540325,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.022,1.007,1.000,1.002,1.000"
19,9940.743088469166,0.09320525317060263,"0.00,1.00,0.00,0.00,0.00,0.00","1.000,1.100,0.993,1.000,0.997,1.023"
20,9891.040369360004,-0.00501244109266085,"0.00,0.00,1.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
21,9841.58615909,-0.00501244106978055,"0.00,0.00,0.00,0.00,1.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
22,9792.379214913562,-0.00501244106978055,"0.00,0.00,0.00,0.00,0.00,1.00","1.000,1.000,1.000,1.000,1.000,1.000"
23,9767.899248562295,-0.0025030297168705377,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
24,9767.90022535222,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,0.997,1.014,1.009,1.016,0.985"
25,9767.901202142242,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.017,0.998,1.008,0.993,0.986"
26,9731.98739656291,-0.003683492447090139,"0.00,0.00,0.00,0.00,0.00,1.00","1.000,0.958,1.003,0.996,1.003,0.999"
27,9797.919357052133,0.006751922761216269,"0.00,0.00,0.00,0.00,0.00,1.00","1.000,1.010,1.001,1.021,1.001,1.007"
28,9723.389642988206,-0.007635766247459119,"0.00,0.00,0.00,0.00,0.00,1.00","1.000,1.030,1.029,0.996,1.038,0.992"
29,9674.77366956171,-0.005012441067854676,"0.00,1.00,0.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
30,9626.40077110996,-0.00501244106978055,"0.00,0.00,0.00,0.00,0.00,1.00","1.000,1.000,1.000,1.000,1.000,1.000"
31,8938.233683718223,-0.07417140910864023,"0.00,1.00,0.00,0.00,0.00,0.00","1.000,0.934,0.959,0.983,0.994,0.997"
32,8915.888995726005,-0.002503029699020157,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,0.975,1.005,1.000,1.001,1.014"
33,8786.179815479492,-0.014654953956683541,"0.00,0.00,1.00,0.00,0.00,0.00","1.000,0.993,0.988,1.000,0.993,0.999"
34,8794.50960283734,0.000947606522470592,"0.00,1.00,0.00,0.00,0.00,0.00","1.000,1.006,1.001,1.004,1.010,0.992"
35,8999.260703672056,0.023014811922166818,"0.00,1.00,0.00,0.00,0.00,0.00","1.000,1.023,1.010,0.996,1.000,1.003"
36,8954.265302278394,-0.005012441075497138,"0.00,0.00,1.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
37,8909.494873432099,-0.00501244106978055,"0.00,0.00,0.00,0.00,0.00,1.00","1.000,1.000,1.000,1.000,1.000,1.000"
38,8864.9482922418,-0.00501244106978055,"0.00,1.00,0.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
39,8842.78681022226,-0.0025030297168705377,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
40,8842.787694500941,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
41,8842.788578779711,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
42,8842.78946305857,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
43,8842.790347337517,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
44,8842.791231616553,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
45,8842.792115895676,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.006,1.020,1.021,1.009,1.018"
46,8842.793000174888,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.010,1.007,1.025,1.020,1.000"
47,8842.79388445419,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.020,1.006,0.996,0.988,0.991"
48,8842.794768733578,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,0.962,1.003,1.028,0.999,1.022"
49,8855.502818724031,0.001436076222772878,"0.00,0.00,0.00,1.00,0.00,0.00","1.000,0.999,1.018,1.004,1.012,0.996"
50,8811.226192385886,-0.005012441070765915,"0.00,1.00,0.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
51,8811.227071305699,9.97499950626707e-08,"0.00,1.00,0.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
52,8696.66185700073,-0.013087454462490026,"0.00,0.00,0.00,0.00,0.00,1.00","1.000,0.972,0.993,0.976,0.986,0.992"
53,8674.921074216118,-0.0025030297148487634,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.016,1.022,1.012,1.005,1.003"
54,8674.921941708226,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.092,1.003,1.000,0.995,0.999"
55,8618.811210926671,-0.006489163118746281,"0.00,0.00,0.00,1.00,0.00,0.00","1.000,0.957,0.991,0.996,1.010,0.994"
56,8597.265046943761,-0.0025030297158720603,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,0.975,1.008,0.996,0.990,0.992"
57,8575.772744052907,-0.0025030299674969883,"0.00,1.00,0.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
58,8575.773599486238,9.97499950626707e-08,"0.00,1.00,0.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
59,8532.89559121011,-0.00501244106978055,"0.00,0.00,0.00,0.00,1.00,0.00","1.000,1.046,1.001,1.012,1.000,1.003"
60,8511.564207654867,-0.0025030297168705377,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,0.974,1.024,0.996,1.002,1.013"
61,8511.565058811288,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.019,0.974,1.000,0.992,1.000"
62,8342.772871518144,-0.020030194168492194,"0.00,1.00,0.00,0.00,0.00,0.00","1.000,0.983,1.000,0.988,0.993,0.998"
63,8296.588904186512,-0.005551184781389272,"0.00,0.00,1.00,0.00,0.00,0.00","1.000,0.983,0.999,0.992,0.984,0.998"
64,8296.589731770144,9.97498609477427e-08,"0.00,0.00,1.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
65,8255.107614844414,-0.00501244106978055,"0.00,1.00,0.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
66,8173.995923897761,-0.009874227134699072,"0.00,0.00,1.00,0.00,0.00,0.00","1.000,1.006,0.995,1.000,0.991,0.997"
67,8153.561753541016,-0.0025030297156552472,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.023,1.002,1.004,1.012,1.007"
68,8153.562568897191,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,0.997,0.983,1.020,0.992,0.992"
69,8271.45105312432,0.014354996754723704,"0.00,0.00,1.00,0.00,0.00,0.00","1.000,1.000,1.017,1.000,1.002,1.012"
70,8238.761882768713,-0.003959877828117036,"0.00,1.00,0.00,0.00,0.00,0.00","1.000,1.001,0.984,0.996,1.005,0.997"
71,8197.568899288592,-0.005012441070043544,"0.00,0.00,0.00,1.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
72,8156.58187659843,-0.00501244106978055,"0.00,0.00,0.00,0.00,0.00,1.00","1.000,1.000,1.000,1.000,1.000,1.000"
73,8026.608074944501,-0.01606316143359797,"0.00,0.00,1.00,0.00,0.00,0.00","1.000,0.988,0.989,1.060,0.996,0.995"
74,8006.542359446784,-0.0025030297140995993,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.021,1.008,1.000,1.009,1.008"
75,8006.5431601010205,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,0.978,0.974,1.037,0.979,0.994"
76,7986.527602855084,-0.0025030299674969883,"0.00,0.00,0.00,1.00,0.00,0.00","1.000,1.018,1.021,1.000,1.032,1.002"
77,8158.042718020285,0.02124820478547163,"0.00,0.00,1.00,0.00,0.00,0.00","1.000,1.049,1.026,0.989,1.011,1.004"
78,8117.2533222213615,-0.005012441076261128,"0.00,0.00,0.00,0.00,0.00,1.00","1.000,1.000,1.000,1.000,1.000,1.000"
79,8076.6678693649,-0.00501244106978055,"0.00,0.00,0.00,1.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
80,7907.871938667422,-0.021120683789669126,"0.00,1.00,0.00,0.00,0.00,0.00","1.000,0.984,1.010,0.996,0.995,0.995"
81,7888.103051616856,-0.0025030297128213128,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.027,1.064,1.000,1.100,1.012"
82,7888.103840427161,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,0.992,0.976,1.015,0.964,1.018"
83,8217.80781248515,0.04094770245339253,"0.00,1.00,0.00,0.00,0.00,0.00","1.000,1.044,1.002,0.993,1.004,0.985"
84,8033.728058980179,-0.022654797427429815,"0.00,0.00,1.00,0.00,0.00,0.00","1.000,0.952,0.983,0.985,0.987,0.991"
85,7993.5602241020815,-0.00501244106533129,"0.00,0.00,0.00,1.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
86,7953.593224335983,-0.00501244106978055,"0.00,1.00,0.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
87,7998.544511328489,0.005635784584628141,"0.00,1.00,0.00,0.00,0.00,0.00","1.000,1.006,0.997,1.011,0.993,1.032"
88,7978.548951893016,-0.002503029718279046,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.019,1.015,1.018,1.018,0.984"
89,7978.549749747912,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.018,1.006,0.986,0.982,1.002"
90,7918.240515135357,-0.007587635359342359,"0.00,0.00,0.00,0.00,0.00,1.00","1.000,1.001,1.018,0.989,0.982,0.995"
91,7952.137257325888,0.004271705969531301,"0.00,0.00,0.00,0.00,1.00,0.00","1.000,0.991,0.984,1.022,1.009,1.028"
92,7952.13805056986,9.975229389023618e-08,"0.00,0.00,0.00,0.00,1.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
93,7912.37815751885,-0.00501244106978055,"0.00,1.00,0.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
94,7840.455595090238,-0.009131444325383663,"0.00,0.00,1.00,0.00,0.00,0.00","1.000,0.980,0.996,1.029,0.991,1.045"
95,7820.855242116235,-0.0025030297158412304,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,0.970,0.981,1.010,0.979,1.011"
96,7820.856024201759,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,0.989,0.997,1.003,1.002,0.986"
97,7913.48907641008,0.011774766839505546,"0.00,1.00,0.00,0.00,0.00,0.00","1.000,1.014,1.013,1.000,1.019,1.000"
98,7705.6608597614595,-0.02661354607411182,"0.00,1.00,0.00,0.00,0.00,0.00","1.000,0.974,0.965,1.024,0.998,1.000"
99,7667.13332800711,-0.0050124410630039504,"0.00,0.00,0.00,0.00,0.00,1.00","1.000,1.000,1.000,1.000,1.000,1.000"
100,7628.79842999719,-0.00501244106978055,"0.00,1.00,0.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
101,7590.655202634247,-0.00501244106978055,"0.00,0.00,1.00,0.00,0.00,0.00","1.000,0.992,1.000,0.963,1.006,1.000"
102,7571.679325590845,-0.0025030297168705377,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.007,1.004,0.997,1.027,1.000"
103,7571.680082758779,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.026,1.020,1.007,1.029,1.000"
104,7711.044603122512,0.018238682761388812,"0.00,0.00,0.00,1.00,0.00,0.00","1.000,0.980,1.007,1.021,0.981,1.000"
105,7763.680489083552,0.006802846401561315,"0.00,0.00,0.00,1.00,0.00,0.00","1.000,0.999,0.975,1.007,0.983,1.000"
106,7724.8628649339435,-0.005012441071484045,"0.00,0.00,0.00,0.00,1.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
107,7686.239325026776,-0.00501244106978055,"0.00,1.00,0.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
108,7664.24126522191,-0.002866108944833193,"0.00,0.00,1.00,0.00,0.00,0.00","1.000,0.944,1.002,0.966,1.069,1.000"
109,7645.081430394954,-0.0025030297174052254,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.028,1.041,0.989,1.041,1.000"
110,7645.082194903097,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.018,1.015,0.996,0.963,1.000"
111,7544.350159316551,-0.013263630924121559,"0.00,0.00,0.00,1.00,0.00,0.00","1.000,1.005,1.044,0.989,1.026,1.000"
112,7269.165098959305,-0.037157516866227,"0.00,0.00,0.00,0.00,1.00,0.00","1.000,1.027,0.982,1.000,0.969,1.000"
113,7269.165823999465,9.974187045138689e-08,"0.00,0.00,0.00,0.00,1.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
114,7232.820723613341,-0.00501244106978055,"0.00,0.00,1.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
115,7304.5523798544245,0.009868665802980507,"0.00,0.00,0.00,0.00,1.00,0.00","1.000,1.033,1.007,1.014,1.015,1.000"
116,7286.291731159324,-0.0025030297205542516,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,0.993,0.985,1.007,1.019,1.000"
117,7286.292459788498,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.035,1.026,1.007,1.013,1.000"
118,7123.550127393416,-0.022588623190785265,"0.00,0.00,1.00,0.00,0.00,0.00","1.000,1.003,0.980,0.997,0.979,1.000"
119,7105.741966246872,-0.002503029711798572,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,0.946,1.012,0.986,0.989,1.000"
120,7087.978321905452,-0.0025030299674969883,"0.00,0.00,0.00,0.00,1.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
121,7052.539140865751,-0.00501244106978055,"0.00,1.00,0.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
