[일시]사조대림,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,24400,24450,23950,24100,▼250,－1.03%,24680,24318,23325,22671,11197,67624
2019/01/29,24900,24900,24150,24350,▼250,－1.02%,24870,24318,23271,22669,9468,68125
2019/01/28,25900,25900,23400,24600,▼450,－1.80%,24990,24310,23203,22667,23243,68439
2019/01/25,25300,25400,24800,25050,▼250,－0.99%,25170,24280,23127,22660,10290,70340
2019/01/24,25050,25450,24750,25300,▲250,＋1.00%,24960,24205,23031,22649,11497,68852
2019/01/23,24950,25150,24350,25050,▲100,＋0.40%,24650,24130,22924,22635,15829,66222
2019/01/22,25700,25900,24700,24950,▼550,－2.16%,24400,24025,22843,22620,38039,72633
2019/01/21,24800,25600,24250,25500,▲1500,＋6.25%,24160,23930,22771,22603,84216,78250
2019/01/18,23700,24750,23700,24000,▲250,＋1.05%,23770,23815,22703,22588,13429,76860
2019/01/17,23800,24000,23450,23750,▼50,－0.21%,23690,23760,22668,22582,7821,78910
2019/01/16,24000,24000,23350,23800,▲50,＋0.21%,23720,23733,22647,22588,10715,79304
2019/01/15,23700,23900,23400,23750,▲200,＋0.85%,23790,23705,22622,22593,3735,77972
2019/01/14,23600,23850,23100,23550,▼50,－0.21%,23720,23683,22583,22602,15858,77714
2019/01/11,23950,24350,23350,23600,▼300,－1.26%,23930,23640,22545,22615,9280,76809
2019/01/10,24150,24300,23800,23900,▼250,－1.04%,24120,23575,22494,22631,2278,76589
2019/01/09,23450,24550,23350,24150,▲750,＋3.21%,24220,23505,22436,22641,35352,77228
2019/01/08,24700,24700,22900,23400,▼1200,－4.88%,24210,23440,22379,22648,58917,72743
2019/01/07,24700,24700,24100,24600,▲50,＋0.20%,24370,23395,22327,22662,10914,71054
2019/01/04,24400,24650,23700,24550,▲150,＋0.61%,24250,23323,22275,22669,14099,72081
2019/01/03,24000,24650,23550,24400,▲300,＋1.24%,24050,23285,22238,22675,16513,73353
2019/01/02,24050,24400,23700,24100,▼100,－0.41%,23930,23263,22204,22678,8694,74615
2018/12/28,24150,24600,23600,24200,▲200,＋0.83%,23700,23263,22176,22673,12452,74794
2018/12/27,23550,24300,23300,24000,▲450,＋1.91%,23470,23238,22148,22673,24322,76820
2018/12/26,23450,23800,22850,23550,▼250,－1.05%,23310,23228,22126,22675,13296,74455
2018/12/24,23050,23900,22250,23800,▲850,＋3.70%,23180,23260,22121,22680,20297,75896
2018/12/21,23000,23300,22500,22950,▼100,－0.43%,23060,23298,22106,22694,7196,73740
2018/12/20,23250,23400,22650,23050,▼150,－0.65%,23120,23335,22092,22710,5109,73551
2018/12/19,22900,23550,22600,23200,▲300,＋1.31%,23170,23373,22064,22729,7413,74116
2018/12/18,23000,23450,22600,22900,▼300,－1.29%,23070,23380,22028,22749,2547,75076
2018/12/17,22650,23350,22450,23200,▼50,－0.22%,22950,23388,22006,22777,4796,76032
2018/12/14,23300,23500,22800,23250,▼50,－0.21%,22810,23380,21978,22802,2890,76736
2018/12/13,22750,23300,22600,23300,▲600,＋2.64%,22730,23355,21953,22827,5054,77572
2018/12/12,22300,22900,22300,22700,▲400,＋1.79%,22570,23315,21931,22850,4757,78156
2018/12/11,22500,22500,22050,22300,▼200,－0.89%,22660,23265,21911,22875,4002,78111
2018/12/10,22750,22750,21800,22500,▼350,－1.53%,22960,23185,21900,22909,6783,77821
2018/12/07,22650,22850,22450,22850,▲350,＋1.56%,23250,23093,21883,22948,1885,75711
2018/12/06,23150,23150,22200,22500,▼650,－2.81%,23500,22973,21866,22995,20879,75412
2018/12/05,23750,23800,22700,23150,▼650,－2.73%,23740,22868,21863,23043,21957,75975
2018/12/04,23900,24000,23450,23800,▼150,－0.63%,23870,22735,21843,23086,3788,75803
2018/12/03,24100,24350,23350,23950,▼150,－0.62%,23950,22563,21821,23127,18677,76356
2018/11/30,23900,24250,23400,24100,▲400,＋1.69%,24070,22395,21802,23169,6074,79239
2018/11/29,23800,24250,23400,23700,▼100,－0.42%,23990,22233,21778,23202,11634,79584
2018/11/28,24150,24150,23500,23800,▼400,－1.65%,24010,22063,21765,23243,7692,77891
2018/11/27,24550,24850,23600,24200,▼350,－1.43%,23920,21873,21750,23279,11984,78264
2018/11/26,23800,24600,23450,24550,▲850,＋3.59%,23690,21628,21727,23305,41890,79561
2018/11/23,23800,24000,23200,23700,▼100,－0.42%,23390,21345,21696,23324,5215,75972
2018/11/22,23350,23950,23350,23800,▲450,＋1.93%,23200,21168,21674,23351,14316,76861
2018/11/21,22750,23700,22200,23350,▲300,＋1.30%,22940,21010,21653,23381,17414,77290
2018/11/20,22950,23100,22500,23050,0.0,0.00%,22610,20913,21641,23412,11307,76116
2018/11/19,22650,23150,22650,23050,▲300,＋1.32%,22140,20855,21643,23448,9625,75681
2018/11/16,22650,22900,22150,22750,▲250,＋1.11%,21660,20828,21640,23486,9294,74908
2018/11/15,22200,22750,21950,22500,▲800,＋3.69%,21200,20805,21639,23531,41709,73748
2018/11/14,20650,21800,20300,21700,▲1000,＋4.83%,20780,20753,21643,23585,21384,74780
2018/11/13,20400,20850,19800,20700,▲50,＋0.24%,20540,20730,21665,23645,13392,74223
2018/11/12,20450,20750,19850,20650,▲200,＋0.98%,20470,20723,21695,23714,14979,75294
2018/11/09,20200,20450,20100,20450,▲50,＋0.25%,20460,20710,21741,23798,5762,77299
2018/11/08,20700,20700,20050,20400,▼100,－0.49%,20540,20725,21792,23883,8093,76686
2018/11/07,20600,20600,19850,20500,▲150,＋0.74%,20520,20718,21844,23971,7826,78218
2018/11/06,20750,20850,19900,20350,▼250,－1.21%,20420,20768,21901,24059,9363,79180
2018/11/05,20900,20900,20150,20600,▼250,－1.20%,20210,20865,21960,24142,5362,80132
2018/11/02,20500,20900,20000,20850,▲550,＋2.71%,19870,20955,22018,24237,8050,81225
2018/11/01,20500,20550,19600,20300,▲300,＋1.50%,19730,21033,22068,24314,4593,82228
2018/10/31,19600,20150,19000,20000,▲700,＋3.63%,19800,21143,22131,24388,11590,82371
2018/10/30,18250,19500,18250,19300,▲400,＋2.12%,20080,21278,22194,24466,9726,82362
2018/10/29,19750,20700,18900,18900,▼1250,－6.20%,20600,21475,22268,24548,13608,82215
2018/10/26,20700,21050,19350,20150,▼500,－2.42%,21320,21675,22346,24634,13828,83430
2018/10/25,20900,21050,20050,20650,▼750,－3.50%,21750,21773,22397,24708,12035,85355
2018/10/24,22100,22350,21000,21400,▼500,－2.28%,21910,21810,22436,24774,7472,86582
2018/10/23,22300,22450,21500,21900,▼600,－2.67%,21880,21793,22474,24838,7002,87698
2018/10/22,22300,22550,21850,22500,▲200,＋0.90%,21610,21775,22497,24903,6859,89557
2018/10/19,21350,22300,21000,22300,▲850,＋3.96%,21190,21725,22528,24971,8628,90531
2018/10/18,21150,21450,21000,21450,▲200,＋0.94%,20880,21700,22563,25042,2840,91468
2018/10/17,20550,21300,20550,21250,▲700,＋3.41%,20640,21725,22620,25115,4252,91429
2018/10/16,20250,20700,20250,20550,▲150,＋0.74%,20690,21738,22686,25184,11740,90412
2018/10/15,20850,20850,20150,20400,▼350,－1.69%,21040,21793,22768,25246,7337,91118
2018/10/12,19850,20750,19850,20750,▲500,＋2.47%,21440,21848,22846,25310,11270,92465
2018/10/11,21500,21500,20100,20250,▼1250,－5.81%,21770,21900,22916,25372,24472,91772
2018/10/10,22600,22900,21400,21500,▼800,－3.59%,22220,22003,22998,25442,10112,94525
2018/10/08,22400,22850,22000,22300,▼100,－0.45%,22460,22028,23063,25498,9378,96518
2018/10/05,22000,23050,22000,22400,0.0,0.00%,22650,22035,23113,25537,15893,97325
2018/10/04,22500,22750,21550,22400,▼100,－0.44%,22750,22055,23151,25579,16790,97883
2018/10/02,22800,22800,22250,22500,▼200,－0.88%,22690,22070,23170,25631,8963,100770
2018/10/01,23300,23300,22700,22700,▼550,－2.37%,22470,22090,23198,25678,16797,100270
2018/09/28,22900,23300,22850,23250,▲350,＋1.53%,22140,22100,23223,25728,16487,100096
2018/09/27,22350,23100,22200,22900,▲800,＋3.62%,21800,22078,23240,25778,34484,97618
2018/09/21,21400,22100,21300,22100,▲700,＋3.27%,21520,22068,23283,25828,16162,98952
2018/09/20,21250,21400,20500,21400,▲350,＋1.66%,21460,22083,23329,25880,39254,96621
2018/09/19,21400,21650,21000,21050,▼500,－2.32%,21570,22138,23394,25942,18186,99064
2018/09/18,21350,21650,21350,21550,▲50,＋0.23%,21660,22218,23469,26014,6539,100922
2018/09/17,21800,21950,21500,21500,▼300,－1.38%,21680,22298,23548,26074,8014,100583
2018/09/14,22000,22050,21550,21800,▼150,－0.68%,21680,22368,23626,26129,16044,101142
2018/09/13,21450,21950,21250,21950,▲450,＋2.09%,21680,22413,23701,26192,26496,97903
2018/09/12,21600,21800,20900,21500,▼150,－0.69%,21750,22453,23768,26263,48977,94142
2018/09/11,21500,21850,21500,21650,▲150,＋0.70%,21850,22528,23838,26340,13516,91261
2018/09/10,21800,21800,21400,21500,▼300,－1.38%,22010,22570,23918,26425,9943,90537
2018/09/07,22150,22200,21500,21800,▼500,－2.24%,22270,22665,24013,26498,22811,90497
2018/09/06,22050,22750,21850,22300,▲300,＋1.36%,22450,22750,24124,26577,22801,93341
2018/09/05,22550,22550,22000,22000,▼450,－2.00%,22570,22813,24223,26648,24605,91412
2018/09/04,22750,22750,22250,22450,▼350,－1.54%,22750,22908,24328,26722,16378,90832
2018/09/03,22700,22800,22400,22800,▲100,＋0.44%,22820,22980,24433,26768,4807,92739
2018/08/31,22950,22950,22500,22700,▼200,－0.87%,22800,23043,24537,26800,9424,92759
2018/08/30,22900,23050,22700,22900,0.0,0.00%,22740,23100,24625,26830,6028,92617
2018/08/29,22800,23150,22650,22900,▲100,＋0.44%,22660,23160,24720,26867,5715,92524
2018/08/28,23050,23100,22750,22800,▲100,＋0.44%,22610,23205,24808,26909,6523,91987
2018/08/27,22400,22850,22350,22700,▲300,＋1.34%,22680,23250,24883,26944,9112,90623
2018/08/24,22500,22650,22000,22400,▼100,－0.44%,22720,23295,24952,26983,40496,88497
2018/08/23,22750,22750,22350,22500,▼150,－0.66%,22780,23335,25028,27033,7704,87894
2018/08/22,23150,23250,22250,22650,▼500,－2.16%,22830,23360,25110,27082,24582,87377
2018/08/21,23150,23300,22850,23150,▲250,＋1.09%,22900,23413,25183,27115,4698,86286
2018/08/20,22950,22950,22500,22900,▲200,＋0.88%,22770,23418,25253,27132,11506,85799
2018/08/17,22800,23350,22000,22700,▼50,－0.22%,22870,23493,25333,27144,39755,86213
2018/08/16,23200,23200,22000,22750,▼250,－1.09%,23030,23578,25423,27161,15298,82331
2018/08/14,22500,23250,22300,23000,▲500,＋2.22%,23190,23683,25528,27178,7750,84102
2018/08/13,23750,23750,22300,22500,▼900,－3.85%,23370,23793,25624,27189,13047,84597
2018/08/10,24000,24000,23250,23400,▼100,－0.43%,23650,23943,25733,27204,3193,85210
2018/08/09,23650,23750,23400,23500,▼50,－0.21%,23780,24025,25854,27212,2975,85741
2018/08/08,24000,24200,23350,23550,▼350,－1.46%,23850,24098,25974,27217,10186,86219
2018/08/07,24000,24050,23550,23900,0.0,0.00%,23960,24178,26098,27222,5372,87760
2018/08/06,23950,24300,23600,23900,▼150,－0.62%,23940,24253,26217,27231,7310,88043
2018/08/03,23850,24050,23550,24050,▲200,＋0.84%,23900,24323,26323,27231,6429,88235
2018/08/02,24200,24200,23750,23850,▼250,－1.04%,23810,24355,26456,27232,2906,90044
2018/08/01,24100,24150,23600,24100,▲300,＋1.26%,23680,24340,26561,27239,4130,90812
2018/07/31,23600,23800,23400,23800,▲100,＋0.42%,23460,24343,26645,27253,1531,91003
2018/07/30,23450,23700,23350,23700,▲100,＋0.42%,23440,24365,26738,27275,3484,90794
2018/07/27,23200,23700,23000,23600,▲400,＋1.72%,23350,24393,26828,27295,8542,90262
2018/07/26,23250,23350,22800,23200,▲200,＋0.87%,23510,24485,26922,27311,7744,89691
2018/07/25,23450,24350,22800,23000,▼700,－2.95%,23750,24570,27018,27327,14608,88132
2018/07/24,23200,23700,22750,23700,▲450,＋1.94%,24120,24685,27113,27338,8097,89127
2018/07/23,24350,24350,23250,23250,▼1150,－4.71%,24420,24778,27202,27350,13537,86614
2018/07/20,24400,24500,23350,24400,0.0,0.00%,24870,24928,27309,27366,19364,86506
2018/07/19,24450,24950,24200,24400,▼450,－1.81%,25000,25018,27413,27370,4279,85589
2018/07/18,25500,25500,24450,24850,▼350,－1.39%,25110,25113,27520,27368,9155,86091
2018/07/17,25700,25700,24900,25200,▼300,－1.18%,25170,25170,27610,27365,8179,86124
2018/07/16,25350,25800,25000,25500,▲450,＋1.80%,25210,25195,27683,27354,8225,89950
2018/07/13,25000,25200,24700,25050,▲100,＋0.40%,25170,25240,27724,27338,6197,90401
2018/07/12,25300,25300,24000,24950,▼200,－0.80%,25100,25348,27773,27325,18029,89798
2018/07/11,25600,25650,24800,25150,▼250,－0.98%,24820,25525,27828,27311,13856,88243
2018/07/10,25350,26000,25000,25400,▲100,＋0.40%,24620,25678,27886,27296,11427,92915
2018/07/09,24750,25450,24400,25300,▲600,＋2.43%,24390,25825,27933,27280,21082,92827
2018/07/06,23550,24750,23400,24700,▲1150,＋4.88%,24180,25998,27962,27264,14420,95815
2018/07/05,24150,24250,23000,23550,▼600,－2.48%,24330,26213,28007,27255,27667,93561
2018/07/04,24250,24700,23850,24150,▼100,－0.41%,24600,26435,28093,27260,11368,93377
2018/07/03,24750,24750,24050,24250,0.0,0.00%,24830,26658,28159,27265,18861,93140
2018/07/02,25050,25450,24000,24250,▼1200,－4.72%,25090,26855,28232,27267,24055,94069
2018/06/29,25250,25450,24100,25450,▲550,＋2.21%,25490,27008,28315,27275,13894,93696
2018/06/28,25550,25650,24700,24900,▼400,－1.58%,25640,27075,28373,27265,10346,94874
2018/06/27,25700,25700,25000,25300,▼250,－0.98%,25920,27180,28430,27262,13810,94757
2018/06/26,26200,26250,25200,25550,▼700,－2.67%,26060,27285,28490,27252,19760,94771
2018/06/25,26200,26300,25550,26250,▲50,＋0.19%,26090,27358,28558,27247,8882,97108
2018/06/22,26600,26600,25500,26200,▼100,－0.38%,26120,27415,28601,27239,21377,97809
2018/06/21,26050,27900,25350,26300,▲300,＋1.15%,26320,27488,28632,27227,60796,98966
2018/06/20,25500,26500,24950,26000,▲300,＋1.17%,26760,27578,28683,27216,21199,102365
2018/06/19,26400,26550,25350,25700,▼700,－2.65%,27200,27730,28757,27209,17469,99608
2018/06/18,26850,27300,26150,26400,▼800,－2.94%,27730,27885,28843,27213,20549,100142
2018/06/15,28500,28500,26850,27200,▼1300,－4.56%,28200,28015,28932,27210,35537,99776
2018/06/14,28000,28600,27700,28500,▲300,＋1.06%,28560,28190,28983,27191,10408,103506
2018/06/12,28400,28700,27850,28200,▼150,－0.53%,28460,28300,29030,27163,15813,102169
2018/06/11,28750,29100,28350,28350,▼400,－1.39%,28540,28438,29073,27138,15288,98379
2018/06/08,29450,29450,28300,28750,▼250,－0.86%,28510,28573,29116,27110,17614,98506
2018/06/07,28600,29400,28000,29000,▲1000,＋3.57%,28220,28650,29102,27076,25604,102974
2018/06/05,28750,28800,27900,28000,▼600,－2.10%,27780,28800,29063,27043,14414,101735
2018/06/04,28500,28650,27900,28600,▲400,＋1.42%,27580,28908,29036,27025,18572,106680
2018/06/01,27600,28600,27200,28200,▲900,＋3.30%,27340,28935,29013,27009,28731,100841
2018/05/31,27000,27300,26550,27300,▲500,＋1.87%,27100,28995,29010,26993,11006,102741
2018/05/30,27050,27400,26200,26800,▼200,－0.74%,27120,29085,29005,26980,24326,101360
2018/05/29,27550,27550,26850,27000,▼400,－1.46%,27290,29205,29014,26986,16053,103338
2018/05/28,27300,27650,26500,27400,▲400,＋1.48%,27510,29305,29038,26990,20727,103679
2018/05/25,27100,27150,26100,27000,▼400,－1.46%,27840,29368,29053,26987,22104,100029
2018/05/24,27650,28000,27150,27400,▼250,－0.90%,28200,29470,29048,26991,25638,102474
2018/05/23,28100,28400,27500,27650,▼450,－1.60%,28520,29585,29010,26990,23220,100246
2018/05/21,29100,29200,27850,28100,▼950,－3.27%,29130,29735,28956,26975,42238,98294
2018/05/18,28650,29450,28550,29050,▲250,＋0.87%,29650,29870,28900,26960,19736,98940
2018/05/17,29200,29400,28500,28800,▼200,－0.69%,30030,29930,28828,26946,33403,95711
2018/05/16,30500,30500,28950,29000,▼1700,－5.54%,30480,29968,28754,26935,46726,90974
2018/05/15,30650,31550,30200,30700,0.0,0.00%,30740,29918,28675,26920,52914,97787
2018/05/14,30950,31100,30300,30700,▼250,－0.81%,31000,29783,28569,26889,23706,97099
2018/05/11,30650,31000,30250,30950,▼100,－0.32%,30890,29658,28460,26847,17610,96355
2018/05/10,30350,31550,30200,31050,▲750,＋2.48%,30530,29543,28347,26786,42758,99019
2018/05/09,32100,32450,30050,30300,▼1700,－5.31%,30200,29403,28245,26721,256730,93642
2018/05/08,30800,33000,30100,32000,▲1850,＋6.14%,29960,29238,28139,26662,113086,96515
2018/05/04,29150,30450,29150,30150,▲1000,＋3.43%,29400,29008,28008,26586,19468,98045
2018/05/03,29850,29850,29000,29150,▼250,－0.85%,29170,28935,27918,26530,13784,93624
2018/05/02,29100,30100,28250,29400,▲300,＋1.03%,29070,28885,27861,26481,20178,98401
2018/04/30,29200,29350,28300,29100,▼100,－0.34%,29000,28845,27812,26428,16339,98193
2018/04/27,29050,29650,29000,29200,▲200,＋0.69%,29120,28853,27761,26380,9797,98724
2018/04/26,28650,29650,28650,29000,▲350,＋1.22%,29410,28838,27701,26328,14109,98282
2018/04/25,28950,29200,28550,28650,▼400,－1.38%,29770,28805,27635,26286,8945,98810
2018/04/24,29700,29750,28950,29050,▼650,－2.19%,30090,28818,27563,26249,12527,97840
2018/04/23,31050,31050,29250,29700,▼950,－3.10%,30190,28848,27499,26210,22715,96781
2018/04/20,30800,31300,30350,30650,▼150,－0.49%,29850,28803,27423,26167,7428,93105
2018/04/19,30250,31150,29400,30800,▲550,＋1.82%,29320,28673,27327,26111,26367,92797
2018/04/18,29700,31000,29450,30250,▲700,＋2.37%,28800,28600,27215,26053,27119,94010
2018/04/17,28000,29700,27950,29550,▲1550,＋5.54%,28480,28610,27121,25999,31766,98416
2018/04/16,28000,28550,28000,28000,0.0,0.00%,28220,28675,27026,25952,12746,96267
2018/04/13,28200,28550,27700,28000,▼200,－0.71%,28020,28863,26951,25914,12651,91973
2018/04/12,28650,28750,27800,28200,▼450,－1.57%,27900,28978,26878,25878,7181,94308
2018/04/11,28000,28800,28000,28650,▲400,＋1.42%,28000,29133,26794,25839,18258,94909
2018/04/10,27000,28250,26500,28250,▲1250,＋4.63%,27900,29240,26707,25794,14313,94238
2018/04/09,27600,27600,26150,27000,▼400,－1.46%,27970,29373,26628,25749,31176,89880
2018/04/06,28700,28700,27250,27400,▼1300,－4.53%,28420,29418,26567,25715,37933,89821
2018/04/05,28200,29000,28200,28700,▲550,＋1.95%,28720,29383,26504,25673,11705,88220
2018/04/04,28600,29000,27600,28150,▼450,－1.57%,28650,29265,26428,25622,21909,88068
2018/04/03,28850,29150,28400,28600,▼650,－2.22%,28800,29220,26370,25575,18915,88508
2018/04/02,28900,29500,28550,29250,▲350,＋1.21%,29010,29190,26303,25530,14312,88546
2018/03/30,28350,29050,28000,28900,▲550,＋1.94%,28920,29078,26235,25481,13520,92000
2018/03/29,28800,28900,28150,28350,▼550,－1.90%,28750,29000,26157,25435,13778,91363
2018/03/28,29350,29650,28600,28900,▼750,－2.53%,28950,29005,26094,25392,16851,91648
2018/03/27,29000,29950,29000,29650,▲850,＋2.95%,29260,28975,26014,25346,17137,93345
2018/03/26,27700,29150,27700,28800,▲750,＋2.67%,29500,28828,25936,25291,13595,97179
2018/03/23,28650,29800,27900,28050,▼1300,－4.43%,30090,28643,25878,25250,31523,96266
2018/03/22,30450,30900,29350,29350,▼1100,－3.61%,30540,28460,25823,25215,35970,94168
2018/03/21,30550,31350,29900,30450,▼400,－1.30%,30930,28230,25750,25173,34914,97409
2018/03/20,31750,31900,30850,30850,▼900,－2.83%,31000,27945,25661,25121,47938,95238
2018/03/19,30500,32200,30500,31750,▲1450,＋4.79%,31010,27620,25584,25066,91645,101921
2018/03/16,30900,31900,30250,30300,▼1000,－3.19%,30240,27245,25488,25011,47268,89784
2018/03/15,30800,31850,30150,31300,▲500,＋1.62%,29520,26948,25398,24969,64819,82239
2018/03/14,31500,32150,30600,30800,▼100,－0.32%,28530,26590,25295,24915,57753,77520
2018/03/13,27950,32000,27950,30900,▲3000,＋10.75%,27820,26258,25202,24866,140697,79084
2018/03/12,26900,28200,26900,27900,▲1200,＋4.49%,27240,25960,25105,24820,34720,75880
2018/03/09,26400,27500,25750,26700,▲350,＋1.33%,27060,25763,25050,24803,25186,72282
2018/03/08,27200,27250,26200,26350,▼900,－3.30%,27190,25635,25022,24791,20088,70019
2018/03/07,28000,28150,27100,27250,▼750,－2.68%,27610,25553,25014,24781,17022,68330
2018/03/06,27350,28700,27350,28000,▲1000,＋3.70%,27820,25478,25005,24767,22971,69541
2018/03/05,27350,27750,26450,27000,▼350,－1.28%,27560,25400,24977,24751,23498,68106
2018/03/02,28100,29500,27350,27350,▼1100,－3.87%,27180,25353,24955,24742,59118,64495
2018/02/28,28100,28950,27850,28450,▲150,＋0.53%,26590,25265,24958,24727,36831,69067
2018/02/27,26800,28550,26450,28300,▲1600,＋5.99%,25850,25095,24942,24700,69746,63519
2018/02/26,25250,26850,25150,26700,▲1600,＋6.37%,25140,24898,24920,24674,48403,62761
2018/02/23,25650,25700,24400,25100,▲700,＋2.87%,24670,24823,24933,24668,58924,55686
2018/02/22,24300,24750,24100,24400,▼350,－1.41%,24500,24825,24969,24677,7679,58741
2018/02/21,24850,24850,24250,24750,0.0,0.00%,24490,24848,24994,24698,3756,59702
2018/02/20,24350,24800,24000,24750,▲400,＋1.64%,24370,24815,25020,24718,4561,60017
2018/02/19,24450,24600,24250,24350,▲100,＋0.41%,24250,24808,25063,24738,6011,59773
2018/02/14,24400,24500,23800,24250,▼100,－0.41%,24370,24783,25117,24756,5526,59343
2018/02/13,24150,24600,23850,24350,▲200,＋0.83%,24310,24745,25164,24777,13747,62292
2018/02/12,24500,24500,24000,24150,0.0,0.00%,24270,24708,25208,24803,3856,64124
2018/02/09,24200,24600,24050,24150,▼800,－3.21%,24380,24660,25233,24810,9656,64832
2018/02/08,24100,24950,23900,24950,▲1000,＋4.18%,24700,24623,25226,24800,7958,68842
2018/02/07,24250,24450,23900,23950,▼200,－0.83%,25000,24550,25198,24795,15209,68670
2018/02/06,24000,24300,23400,24150,▼550,－2.23%,25420,24520,25184,24792,35610,67784
2018/02/05,25550,25550,24700,24700,▼1050,－4.08%,25710,24495,25164,24794,19609,66200
2018/02/02,26450,26800,25500,25750,▼700,－2.65%,25780,24465,25142,24792,24971,71344
2018/02/01,26050,27250,26000,26450,▲400,＋1.54%,25500,24413,25102,24793,35420,75509
2018/01/31,25300,26500,25000,26050,▲450,＋1.76%,25250,24318,25045,24789,27488,70220
2018/01/30,24950,25900,24950,25600,▲550,＋2.20%,25070,24275,24999,24795,19774,69604
2018/01/29,24500,25500,24350,25050,▲700,＋2.87%,24920,24205,24955,24803,28641,67343
2018/01/26,25300,25300,24350,24350,▼850,－3.37%,24730,24183,24938,24810,14418,64240
2018/01/25,25200,25550,24850,25200,▲50,＋0.20%,24780,24170,24934,24827,10109,65198
2018/01/24,24900,25250,24400,25150,▲300,＋1.21%,24510,24158,24922,24835,10350,65929
2018/01/23,24100,25050,24100,24850,▲750,＋3.11%,24180,24165,24910,24844,9074,66701
2018/01/22,24250,24500,23750,24100,▼500,－2.03%,23930,24160,24896,24856,5865,66199
2018/01/19,23800,24900,23800,24600,▲750,＋3.14%,23750,24205,24892,24880,8232,65558
2018/01/18,23500,24050,23100,23850,▲350,＋1.49%,23510,24230,24878,24906,9263,65385
2018/01/17,23450,23550,23250,23500,▼100,－0.42%,23440,24350,24878,24942,3663,65980
2018/01/16,23400,23650,23000,23600,▲400,＋1.72%,23410,24475,24877,24978,5443,66181
2018/01/15,23300,23550,23100,23200,▼200,－0.85%,23420,24540,24878,25015,5347,66548
2018/01/12,23600,23750,23000,23400,▼100,－0.43%,23600,24635,24884,25054,8042,66291
2018/01/11,23200,23750,23200,23500,▲150,＋0.64%,23860,24725,24881,25082,3787,65889
2018/01/10,23700,23700,23050,23350,▼300,－1.27%,24070,24805,24871,25104,7249,65784
2018/01/09,24150,24400,23250,23650,▼450,－1.87%,24440,24868,24863,25135,12229,66462
2018/01/08,24500,24650,24050,24100,▼600,－2.43%,24550,24935,24843,25165,10870,66803
2018/01/05,24400,24850,24200,24700,▲150,＋0.61%,24650,25025,24816,25184,6226,68501
2018/01/04,25200,25600,24100,24550,▼650,－2.58%,24530,25125,24781,25198,13390,68631
2018/01/03,24250,25200,24150,25200,▲1000,＋4.13%,24610,25213,24758,25221,7310,70950
2018/01/02,24600,24600,24100,24200,▼400,－1.63%,24630,25238,24728,25247,6890,70133
2017/12/28,24150,25100,24150,24600,▲500,＋2.07%,24740,25403,24714,25280,12493,70059
2017/12/27,24950,25950,24000,24100,▼850,－3.41%,24820,25548,24689,25314,22094,70280
2017/12/26,25300,25300,24750,24950,▼350,－1.38%,25020,25693,24678,25356,4784,68124
2017/12/22,24400,25500,24400,25300,▲550,＋2.22%,25280,25820,24647,25390,2826,67693
2017/12/21,24900,25350,24050,24750,▼250,－1.00%,25420,25918,24622,25427,7699,67753
2017/12/20,25100,25600,24750,25000,▼100,－0.40%,25450,25975,24608,25457,6430,67639
2017/12/19,26500,26500,25000,25100,▼1150,－4.38%,25470,26040,24596,25463,11405,67463
2017/12/18,26000,26600,25900,26250,▲250,＋0.96%,25490,26153,24581,25466,13527,68795
2017/12/15,25200,26200,24950,26000,▲1100,＋4.42%,25260,26218,24548,25448,13997,71093
2017/12/14,25200,25300,24750,24900,▼200,－0.80%,24980,26273,24534,25436,7569,71612
2017/12/13,25400,25400,23600,25100,▼100,－0.40%,25000,26378,24540,25430,29338,71932
2017/12/12,25200,25400,24650,25200,▲100,＋0.40%,25160,26405,24536,25428,10439,72259
2017/12/11,25000,25200,24650,25100,▲500,＋2.03%,25460,26330,24531,25426,6130,72564
2017/12/08,25000,25250,24200,24600,▼400,－1.60%,25700,26238,24535,25430,14220,72371
2017/12/07,25900,26400,24800,25000,▼900,－3.47%,25920,26165,24557,25448,19281,71778
2017/12/06,26700,26800,25900,25900,▼800,－3.00%,26420,26063,24560,25464,26971,73173
2017/12/05,26300,26750,25700,26700,▲400,＋1.52%,26740,25935,24548,25466,17125,68946
2017/12/04,25700,26300,25150,26300,▲600,＋2.33%,26800,25768,24528,25463,16618,69284
2017/12/01,27500,27750,25650,25700,▼1800,－6.55%,27040,25605,24525,25454,50601,70662
2017/11/30,27600,27900,27150,27500,0.0,0.00%,27350,25485,24529,25459,11484,74338
2017/11/29,26850,28400,26500,27500,▲500,＋1.85%,27030,25258,24496,25447,82052,77183
2017/11/28,27500,27850,26800,27000,▼500,－1.82%,26790,25083,24459,25441,8807,79216
2017/11/27,27350,28000,27050,27500,▲250,＋0.92%,26860,24940,24428,25428,10763,80689
2017/11/24,25800,27800,25800,27250,▲1350,＋5.21%,26870,24788,24403,25402,22673,80457
2017/11/23,26450,26650,25700,25900,▼400,－1.52%,26840,24648,24385,25373,13079,75764
2017/11/22,27350,27350,26300,26300,▼1050,－3.84%,27060,24553,24402,25355,13583,74534
2017/11/21,27900,27950,26400,27350,▼200,－0.73%,26930,24430,24415,25340,17937,72922
2017/11/20,27600,28100,26800,27550,▲450,＋1.66%,26200,24250,24413,25318,38421,71469
