[일시]수출포장,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,19400,19500,19200,19500,▲100,＋0.52%,19450,19195,19878,21894,6800,190325
2019/01/29,19250,19400,19150,19400,0.0,0.00%,19420,19190,19906,21913,3613,190723
2019/01/28,19350,19500,19250,19400,▼50,－0.26%,19440,19193,19922,21927,3414,190657
2019/01/25,19450,19700,19150,19450,▼50,－0.26%,19460,19198,19938,21939,14512,183625
2019/01/24,19350,19500,19300,19500,▲150,＋0.78%,19430,19208,19953,21950,14143,182896
2019/01/23,19450,19600,19050,19350,▼150,－0.77%,19390,19225,19963,21962,19581,181005
2019/01/22,19400,19550,19300,19500,0.0,0.00%,19390,19243,19980,21977,3969,181906
2019/01/21,19200,19500,19200,19500,▲200,＋1.04%,19380,19250,20009,21986,2891,182268
2019/01/18,19250,19450,19050,19300,0.0,0.00%,19300,19263,20046,21998,6637,182445
2019/01/17,19550,19550,19200,19300,▼50,－0.26%,19280,19290,20094,22019,2802,182989
2019/01/16,19500,19500,19200,19350,▼100,－0.51%,19260,19320,20157,22035,2886,183505
2019/01/15,19100,19550,19100,19450,▲350,＋1.83%,19180,19348,20215,22055,11497,183563
2019/01/14,19100,19500,19100,19100,▼100,－0.52%,19020,19385,20273,22067,7292,183379
2019/01/11,19200,19450,19100,19200,0.0,0.00%,18940,19423,20341,22085,5338,190053
2019/01/10,18950,19200,18800,19200,▲250,＋1.32%,18780,19473,20408,22105,8901,190181
2019/01/09,18650,18950,18550,18950,▲300,＋1.61%,18680,19525,20468,22123,18563,189916
2019/01/08,18650,18800,18450,18650,▼50,－0.27%,18770,19590,20525,22143,4715,190754
2019/01/07,18550,19150,18500,18700,▲300,＋1.63%,18930,19683,20578,22160,5837,191113
2019/01/04,18700,18850,18100,18400,▼300,－1.60%,19090,19780,20642,22179,10833,191164
2019/01/03,19400,19400,18600,18700,▼700,－3.61%,19340,19915,20732,22200,5348,191518
2019/01/02,19500,19700,19150,19400,▼50,－0.26%,19570,20018,20817,22220,5063,192341
2018/12/28,19500,19550,19250,19450,▼50,－0.26%,19630,20060,20891,22233,3051,193192
2018/12/27,19650,19700,19200,19500,▼150,－0.76%,19670,20108,20973,22254,1368,193628
2018/12/26,19550,19900,19450,19650,▼200,－1.01%,19720,20160,21055,22280,9805,193629
2018/12/24,19700,20250,19600,19850,▲150,＋0.76%,19760,20223,21148,22300,3715,195164
2018/12/21,19950,19950,19500,19700,▲50,＋0.25%,19770,20273,21243,22322,1549,195637
2018/12/20,19750,19750,19500,19650,▼100,－0.51%,19810,20323,21327,22343,2448,196027
2018/12/19,19700,19850,19600,19750,▼100,－0.50%,19920,20383,21410,22368,4419,196374
2018/12/18,19500,19900,19500,19850,▼50,－0.25%,19940,20410,21500,22384,3715,196928
2018/12/17,19800,20300,19650,19900,0.0,0.00%,20010,20433,21608,22398,8495,197638
2018/12/14,19950,20150,19800,19900,▼300,－1.49%,20080,20443,21708,22407,3764,197603
2018/12/13,20000,20250,19850,20200,▲350,＋1.76%,20150,20460,21850,22418,7639,197971
2018/12/12,20400,20400,19800,19850,▼350,－1.73%,20210,20423,21982,22427,5267,197344
2018/12/11,20550,20550,19800,20200,▼50,－0.25%,20370,20473,22108,22441,4276,197473
2018/12/10,20250,20500,19800,20250,0.0,0.00%,20550,20495,22223,22453,21773,197240
2018/12/07,21000,21000,20200,20250,▼250,－1.22%,20650,20518,22336,22472,7865,198974
2018/12/06,20750,20800,20350,20500,▼150,－0.73%,20650,20515,22445,22495,10972,199665
2018/12/05,21100,21450,20250,20650,▼450,－2.13%,20630,20500,22558,22522,11600,201079
2018/12/04,20750,21200,20400,21100,▲350,＋1.69%,20610,20475,22646,22545,8148,200285
2018/12/03,20700,20850,20450,20750,▲500,＋2.47%,20570,20443,22728,22566,11800,200911
2018/11/30,20400,20650,20150,20250,▼150,－0.74%,20590,20423,22804,22590,6214,198833
2018/11/29,20700,20700,20300,20400,▼150,－0.73%,20680,20468,22879,22620,8045,199523
2018/11/28,21100,21350,20100,20550,▼350,－1.67%,20770,20465,22936,22652,17034,199695
2018/11/27,21000,21500,20600,20900,▲50,＋0.24%,20720,20455,22994,22691,16907,199590
2018/11/26,21000,21250,20750,20850,▲150,＋0.72%,20600,20428,23043,22727,7498,198564
2018/11/23,21000,21300,20600,20700,▼150,－0.72%,20450,20393,23086,22759,16427,198852
2018/11/22,20350,21000,19750,20850,▲550,＋2.71%,20360,20375,23126,22800,7289,202204
2018/11/21,20500,20700,20250,20300,0.0,0.00%,20080,20395,23160,22841,12315,201193
2018/11/20,20050,20550,19900,20300,▲200,＋1.00%,20190,20465,23213,22879,22538,202891
2018/11/19,20500,20500,19900,20100,▼150,－0.74%,20260,20560,23278,22922,6910,202026
2018/11/16,19750,20400,19700,20250,▲800,＋4.11%,20380,20708,23348,22968,41351,202980
2018/11/15,20850,20850,19300,19450,▼1400,－6.71%,20370,20838,23420,23015,45009,201085
2018/11/14,20650,20900,20350,20850,▲200,＋0.97%,20520,21013,23508,23068,4497,206950
2018/11/13,20400,20650,20100,20650,▼50,－0.24%,20380,21128,23560,23101,1223,207877
2018/11/12,20200,20800,20100,20700,▲500,＋2.48%,20340,21255,23606,23130,6961,208206
2018/11/09,20100,20500,19950,20200,0.0,0.00%,20270,21360,23658,23174,7921,207650
2018/11/08,20150,20550,20100,20200,▲50,＋0.25%,20460,21470,23725,23222,9577,208134
2018/11/07,20450,20500,19950,20150,▼300,－1.47%,20490,21553,23784,23264,6117,207766
2018/11/06,20750,20750,20250,20450,▲100,＋0.49%,20530,21670,23825,23303,5333,209142
2018/11/05,21400,21400,20250,20350,▼800,－3.78%,20510,21838,23868,23342,11334,209228
2018/11/02,20200,21350,20200,21150,▲800,＋3.93%,20470,22010,23909,23379,5677,210562
2018/11/01,20150,21250,20150,20350,0.0,0.00%,20310,22145,23920,23415,20074,210813
2018/10/31,20350,20950,19950,20350,0.0,0.00%,20490,22348,23932,23460,10971,210683
2018/10/30,20150,20500,19750,20350,▲200,＋0.99%,20760,22550,23940,23503,17290,211162
2018/10/29,20350,20650,20000,20150,▼200,－0.98%,21130,22795,23947,23545,10406,211866
2018/10/26,21150,21500,19900,20350,▼900,－4.24%,21710,23063,23961,23601,13512,212033
2018/10/25,21250,21250,20900,21250,▼450,－2.07%,22210,23283,23974,23642,4421,212262
2018/10/24,22200,22200,21650,21700,▼500,－2.25%,22550,23453,23963,23668,3451,212905
2018/10/23,23050,23050,21900,22200,▼850,－3.69%,22840,23625,23950,23690,5217,213590
2018/10/22,22750,23150,22750,23050,▲200,＋0.88%,23040,23833,23943,23710,1030,215353
2018/10/19,23100,23600,22400,22850,▼100,－0.44%,22990,23975,23913,23722,4557,215462
2018/10/18,23400,23400,22700,22950,▼200,－0.86%,22900,24253,23895,23730,1552,216037
2018/10/17,23500,23750,22950,23150,▼50,－0.22%,22680,24510,23861,23735,5349,216474
2018/10/16,23350,23350,22800,23200,▲400,＋1.75%,22550,24725,23828,23730,5130,217629
2018/10/15,22700,23250,22400,22800,▲400,＋1.79%,22670,24918,23802,23723,2696,218699
2018/10/12,21300,22500,21300,22400,▲550,＋2.52%,22870,25130,23779,23716,7742,218775
2018/10/11,22000,22000,21050,21850,▼650,－2.89%,23160,25350,23761,23715,16369,218542
2018/10/10,23800,23800,22000,22500,▼1300,－5.46%,23670,25620,23742,23719,29509,215147
2018/10/08,23650,24250,23650,23800,0.0,0.00%,24050,25793,23716,23712,21421,212393
2018/10/05,23700,24250,23550,23800,▼50,－0.21%,24340,25903,23669,23693,14860,213053
2018/10/04,24300,24400,23750,23850,▼550,－2.25%,24680,25980,23623,23673,29135,213093
2018/10/02,24800,24800,24200,24400,0.0,0.00%,24860,26025,23576,23660,21571,213105
2018/10/01,25100,25550,23900,24400,▼850,－3.37%,24910,25995,23534,23637,38105,211019
2018/09/28,25800,25800,24950,25250,▼250,－0.98%,25060,25978,23504,23627,8324,210512
2018/09/27,24500,26100,24500,25500,▲750,＋3.03%,25280,25905,23452,23618,9520,211437
2018/09/21,24400,25100,24400,24750,▲100,＋0.41%,25360,25803,23401,23610,6597,212868
2018/09/20,24750,26300,24150,24650,▼500,－1.99%,26090,25720,23359,23598,10179,213471
2018/09/19,27000,27100,24850,25150,▼1200,－4.55%,26780,25633,23325,23581,15899,213434
2018/09/18,26200,27450,26000,26350,▲450,＋1.74%,27240,25550,23268,23564,20894,215325
2018/09/17,28400,28550,25600,25900,▼2500,－8.80%,27380,25443,23188,23535,41786,213776
2018/09/14,28200,29200,28200,28400,▲300,＋1.07%,27610,25360,23105,23508,15550,216646
2018/09/13,27450,29250,27300,28100,▲650,＋2.37%,27290,25170,22986,23465,45493,214578
2018/09/12,27700,27750,27150,27450,▲400,＋1.48%,27120,25000,22872,23437,6642,208880
2018/09/11,26900,27600,26650,27050,0.0,0.00%,26820,24828,22774,23403,6573,209344
2018/09/10,26900,27500,26750,27050,▲250,＋0.93%,26610,24645,22684,23358,11563,208544
2018/09/07,27500,27500,26300,26800,▼450,－1.65%,26270,24485,22608,23308,10626,208356
2018/09/06,25800,27500,25750,27250,▲1300,＋5.01%,25860,24355,22544,23263,39477,209279
2018/09/05,26150,26500,25750,25950,▼50,－0.19%,25170,24180,22487,23213,40132,201520
2018/09/04,25650,26150,25000,26000,▲650,＋2.56%,24790,24013,22443,23170,19248,201165
2018/09/03,24950,26250,24800,25350,▲600,＋2.42%,24350,23863,22404,23122,20506,197816
2018/08/31,24050,24850,23800,24750,▲950,＋3.99%,23970,23738,22377,23080,8941,196700
2018/08/30,24200,24200,23800,23800,▼250,－1.04%,23640,23590,22362,23040,3931,195163
2018/08/29,24000,24100,23550,24050,▲250,＋1.05%,23460,23453,22368,23007,6651,194848
2018/08/28,23650,24100,23200,23800,▲350,＋1.49%,23350,23293,22388,22968,5516,194493
2018/08/27,23100,23600,23000,23450,▲350,＋1.52%,23430,23140,22411,22941,7129,194246
2018/08/24,22950,23300,22750,23100,▲200,＋0.87%,23590,23018,22433,22912,2900,194488
2018/08/23,24400,24400,22400,22900,▼600,－2.55%,23890,22920,22473,22874,25231,194500
2018/08/22,23900,24100,23500,23500,▼700,－2.89%,24250,22805,22522,22838,8145,195504
2018/08/21,23850,24250,23800,24200,▼50,－0.21%,24350,22675,22544,22800,7726,197023
2018/08/20,24700,25000,23900,24250,▼350,－1.42%,24190,22555,22566,22751,4256,197888
2018/08/17,25200,25250,24000,24600,▼100,－0.40%,24110,22403,22588,22702,10702,198574
2018/08/16,24900,25200,23000,24700,▲700,＋2.92%,24030,22263,22611,22653,31228,200270
2018/08/14,23000,24350,22950,24000,▲600,＋2.56%,23840,22073,22628,22601,14436,198103
2018/08/13,24100,24100,23000,23400,▼450,－1.89%,23560,21933,22643,22552,5402,197705
2018/08/10,24300,24350,23750,23850,▼350,－1.45%,23480,21843,22653,22512,5985,198840
2018/08/09,23650,24250,23650,24200,▲450,＋1.89%,23280,21723,22689,22466,7783,198862
2018/08/08,23200,23950,23200,23750,▲1150,＋5.09%,22800,21578,22719,22422,15658,198968
2018/08/07,23000,23050,22400,22600,▼400,－1.74%,22260,21425,22743,22378,2913,197671
2018/08/06,23150,23350,22350,23000,▲150,＋0.66%,21910,21343,22782,22343,2894,197737
2018/08/03,22000,23050,21950,22850,▲1050,＋4.82%,21460,21243,22816,22303,12428,197560
2018/08/02,21050,22450,21050,21800,▲750,＋3.56%,21090,21153,22849,22263,13075,196646
2018/08/01,21000,21150,20400,21050,▲200,＋0.96%,20960,21113,22909,22235,6465,196435
2018/07/31,20750,20900,20500,20850,▲100,＋0.48%,20870,21155,22989,22211,2128,196173
2018/07/30,20950,20950,20500,20750,▼250,－1.19%,20880,21243,23065,22187,1591,196209
2018/07/27,20700,21800,20700,21000,▼150,－0.71%,21090,21310,23144,22161,3990,196575
2018/07/26,20600,21500,20250,21150,▲550,＋2.67%,21130,21383,23241,22129,1477,196934
2018/07/25,20900,20900,20250,20600,▼300,－1.44%,21260,21438,23310,22094,6196,197571
2018/07/24,21300,21400,20300,20900,▼900,－4.13%,21320,21538,23372,22058,12962,198060
2018/07/23,21200,21850,20150,21800,▲600,＋2.83%,21380,21580,23429,22016,10587,199767
2018/07/20,21500,21850,21150,21200,▼600,－2.75%,21340,21565,23477,21964,3206,200253
2018/07/19,21350,22200,20800,21800,▲900,＋4.31%,21390,21553,23531,21917,6058,200904
2018/07/18,21200,21400,20900,20900,▼300,－1.42%,21290,21525,23566,21863,13593,200746
2018/07/17,21700,21700,21200,21200,▼400,－1.85%,21250,21543,23609,21816,7291,202241
2018/07/16,21300,21600,21300,21600,▲150,＋0.70%,21200,21563,23632,21762,9840,202351
2018/07/13,21150,21450,20900,21450,▲150,＋0.70%,21080,21565,23643,21700,8804,201085
2018/07/12,20900,21300,20250,21300,▲600,＋2.90%,21000,21618,23653,21646,4635,201462
2018/07/11,20900,21200,20600,20700,▼250,－1.19%,20940,21700,23669,21594,2061,201902
2018/07/10,21700,21750,20850,20950,▼50,－0.24%,21180,21855,23697,21548,4389,202394
2018/07/09,21050,21100,20750,21000,▼50,－0.24%,21510,21975,23708,21499,2381,202478
2018/07/06,21200,21200,20800,21050,▲50,＋0.24%,21730,22108,23718,21453,8627,203355
2018/07/05,22550,22550,20850,21000,▼900,－4.11%,22010,22240,23723,21409,3270,203585
2018/07/04,21300,22150,21300,21900,▼700,－3.10%,22260,22383,23745,21363,1757,204684
2018/07/03,22100,22700,21050,22600,▲500,＋2.26%,22400,22495,23740,21313,6933,205782
2018/07/02,22000,22500,21900,22100,▼350,－1.56%,22230,22628,23750,21257,9703,207217
2018/06/29,22250,22450,21650,22450,▲200,＋0.90%,22110,22783,23785,21204,5760,205431
2018/06/28,23450,23450,21850,22250,▼350,－1.55%,21810,22898,23819,21146,17112,205556
2018/06/27,22000,23000,22000,22600,▲850,＋3.91%,21610,23063,23837,21091,13127,208845
2018/06/26,21500,21900,21350,21750,▲250,＋1.16%,21340,23223,23837,21037,3584,208802
2018/06/25,20500,21600,20500,21500,▲550,＋2.63%,21310,23378,23860,20989,3670,209689
2018/06/22,21250,21250,20750,20950,▼300,－1.41%,21340,23578,23883,20942,7873,209699
2018/06/21,20900,21300,20850,21250,0.0,0.00%,21650,23810,23911,20902,4509,210052
2018/06/20,21050,21650,20950,21250,▼350,－1.62%,21990,24045,23944,20857,7324,210130
2018/06/19,21850,21900,21100,21600,▼50,－0.23%,22500,24268,24002,20813,4836,212007
2018/06/18,22900,23200,20650,21650,▼850,－3.78%,22850,24433,24032,20767,10564,212325
2018/06/15,22950,22950,22300,22500,▼450,－1.96%,23250,24553,24031,20720,4541,212617
2018/06/14,24200,24200,22750,22950,▼850,－3.57%,23490,24728,24007,20665,5920,212539
2018/06/12,23600,23800,23000,23800,▲450,＋1.93%,23670,24880,23983,20608,7809,214758
2018/06/11,23100,23800,23100,23350,▼300,－1.27%,23740,24950,23940,20544,6763,214402
2018/06/08,23150,24950,23100,23650,▼50,－0.21%,24120,25028,23897,20484,10781,214005
2018/06/07,24200,24200,23200,23700,▼150,－0.63%,24430,25098,23840,20422,12879,215309
2018/06/05,24050,24150,23600,23850,▼300,－1.24%,24640,25155,23784,20358,8878,214711
2018/06/04,25800,26050,24100,24150,▼1100,－4.36%,24980,25233,23719,20293,12278,215455
2018/06/01,25700,25750,24850,25250,▲50,＋0.20%,25310,25318,23647,20227,5074,219139
2018/05/31,24700,25300,24450,25200,▲450,＋1.82%,25230,25325,23549,20150,12085,220055
2018/05/30,25300,25300,24450,24750,▼800,－3.13%,25290,25340,23471,20074,7345,217775
2018/05/29,25200,25700,24900,25550,▼250,－0.97%,25460,25443,23391,20001,7752,218273
2018/05/28,24200,25800,24200,25800,▲950,＋3.82%,25540,25430,23275,19924,11161,219521
2018/05/25,25050,25050,24300,24850,▼650,－2.55%,25520,25355,23155,19844,16602,215788
2018/05/24,25600,25700,24300,25500,▼100,－0.39%,25530,25330,23055,19772,26961,221548
2018/05/23,25750,26500,25400,25600,▼350,－1.35%,25240,25288,22937,19695,20969,223746
2018/05/21,25900,26500,25750,25950,▲250,＋0.97%,25320,25230,22816,19617,17324,223123
2018/05/18,24800,25750,24800,25700,▲800,＋3.21%,25330,25128,22694,19535,22873,220091
2018/05/17,24050,25000,24050,24900,▲850,＋3.53%,25230,25018,22574,19453,13303,210529
2018/05/16,25350,25350,23450,24050,▼1950,－7.50%,25230,24900,22462,19380,81701,206939
2018/05/15,26300,26300,25500,26000,0.0,0.00%,25430,24813,22370,19313,13190,207979
2018/05/14,25700,26300,25500,26000,▲800,＋3.17%,25200,24615,22243,19228,15485,207153
2018/05/11,25050,25500,24050,25200,▲300,＋1.20%,25080,24428,22125,19143,41575,205925
2018/05/10,25600,25600,24600,24900,▼150,－0.60%,25210,24285,22013,19065,15727,195307
2018/05/09,25050,25400,24250,25050,▲200,＋0.80%,25310,24120,21904,18991,15748,191811
2018/05/08,24850,25750,24850,24850,▼550,－2.17%,25400,23948,21790,18918,12424,187887
2018/05/04,25850,27000,24900,25400,▼450,－1.74%,25790,23775,21676,18845,25711,187994
2018/05/03,25600,26350,25400,25850,▲450,＋1.77%,25770,23620,21560,18766,15962,186228
2018/05/02,26150,26500,24850,25400,▼100,－0.39%,25460,23408,21433,18683,18969,186062
2018/04/30,26800,26850,25200,25500,▼1300,－4.85%,25250,23298,21308,18606,27089,184006
2018/04/27,25900,26900,24850,26800,▲1500,＋5.93%,25080,23233,21178,18526,52131,183007
2018/04/26,25000,26500,24800,25300,▲1000,＋4.12%,24610,23118,21017,18439,31428,170898
2018/04/25,24500,25050,23950,24300,▼50,－0.21%,24330,23018,20878,18364,27289,168409
2018/04/24,24650,24800,24000,24350,▼300,－1.22%,24170,22933,20744,18293,9106,170922
2018/04/23,24500,25300,24200,24650,▲200,＋0.82%,23810,22873,20603,18224,35250,172073
2018/04/20,24250,24450,23500,24450,▲550,＋2.30%,23340,22785,20452,18150,27880,168474
2018/04/19,23300,23900,23050,23900,▲400,＋1.70%,22860,22693,20303,18080,17866,168490
2018/04/18,22650,23500,22600,23500,▲950,＋4.21%,22530,22660,20160,18014,14689,166168
2018/04/17,22800,22800,22250,22550,▲250,＋1.12%,22300,22720,20023,17951,12634,163556
2018/04/16,22050,22300,21900,22300,▲250,＋1.13%,22110,22763,19893,17896,31431,162472
2018/04/13,21850,22250,21700,22050,▼200,－0.90%,21970,22728,19758,17843,5623,156363
2018/04/12,22050,22600,21450,22250,▼100,－0.45%,21840,22678,19639,17793,16616,156736
2018/04/11,21500,22350,21500,22350,▲750,＋3.47%,21850,22640,19518,17742,9974,158958
2018/04/10,21600,21650,21300,21600,0.0,0.00%,21700,22585,19398,17691,9014,158569
2018/04/09,21300,21800,21300,21600,▲200,＋0.93%,22020,22543,19291,17647,7649,164922
2018/04/06,22300,22450,21250,21400,▼900,－4.04%,22540,22475,19188,17603,16935,164151
2018/04/05,21700,22600,21700,22300,▲700,＋3.24%,23160,22423,19094,17563,17532,166563
2018/04/04,23250,23250,21500,21600,▼1600,－6.90%,23360,22305,18982,17516,37139,167201
2018/04/03,24200,24200,23050,23200,▼1000,－4.13%,23560,22215,18886,17478,20507,167299
2018/04/02,25000,25050,23800,24200,▼300,－1.22%,23550,22025,18763,17430,21396,168961
2018/03/30,23950,24650,23150,24500,▲1200,＋5.15%,23290,21840,18623,17370,27823,170778
2018/03/29,22600,23800,22300,23300,▲700,＋3.10%,22910,21613,18473,17308,46470,173030
2018/03/28,23250,23250,22350,22600,▼550,－2.38%,22900,21378,18346,17255,14336,175225
2018/03/27,22500,23200,22500,23150,▲250,＋1.09%,23320,21178,18237,17209,10373,174093
2018/03/26,22150,22900,22000,22900,▲300,＋1.33%,23370,20963,18118,17160,8453,174374
2018/03/23,22000,23500,22000,22600,▼650,－2.80%,23110,20738,18001,17110,14126,174209
2018/03/22,24600,24650,23100,23250,▼1450,－5.87%,22800,20525,17893,17064,31386,173988
2018/03/21,23400,24850,23400,24700,▲1300,＋5.56%,22450,20295,17769,17013,57255,175432
2018/03/20,22200,26000,22200,23400,▲1800,＋8.33%,21760,19985,17625,16953,142217,166810
2018/03/19,20950,21800,20900,21600,▲550,＋2.61%,21230,19723,17502,16901,16639,169703
2018/03/16,21500,21500,21000,21050,▼450,－2.09%,20960,19570,17408,16873,9696,169039
2018/03/15,21050,22150,21000,21500,▲250,＋1.18%,20820,19435,17324,16849,26051,170103
2018/03/14,20950,21550,20600,21250,▲500,＋2.41%,20510,19308,17233,16821,12067,170574
2018/03/13,20150,20800,20150,20750,▲500,＋2.47%,20220,19168,17148,16795,10879,171699
2018/03/12,20400,20850,20200,20250,▼100,－0.49%,19950,19050,17072,16772,7656,170848
2018/03/09,20150,20400,19900,20350,▲400,＋2.01%,20000,18948,17004,16752,11462,172069
2018/03/08,19800,20000,19600,19950,▲150,＋0.76%,19920,18830,16933,16733,9998,172020
2018/03/07,19350,20100,19300,19800,▲400,＋2.06%,19650,18755,16868,16717,14030,172424
2018/03/06,20300,20700,19400,19400,▼1100,－5.37%,19410,18675,16807,16702,31984,172797
2018/03/05,20600,20850,20200,20500,▲550,＋2.76%,19300,18603,16751,16693,37482,176730
2018/03/02,18400,19950,18400,19950,▲1350,＋7.26%,18880,18460,16678,16679,47239,177349
2018/02/28,18550,18950,18500,18600,0.0,0.00%,18560,18320,16612,16669,9561,174054
2018/02/27,18450,18900,18400,18600,▼250,－1.33%,18570,18238,16573,16671,6848,173896
2018/02/26,18800,18850,18400,18850,▲450,＋2.45%,18550,18123,16533,16673,6159,174560
2018/02/23,18450,18700,18400,18400,▲50,＋0.27%,18410,17975,16489,16674,2971,175122
2018/02/22,18450,18850,18000,18350,▼300,－1.61%,18440,17833,16454,16677,8774,175715
2018/02/21,18750,18800,18150,18650,▲150,＋0.81%,18440,17690,16418,16679,6823,175950
2018/02/20,18400,18650,18050,18500,▲350,＋1.93%,18500,17525,16375,16679,11177,175241
2018/02/19,18600,18600,18100,18150,▼400,－2.16%,18490,17365,16333,16680,5369,176364
2018/02/14,18000,18600,17450,18550,▲200,＋1.09%,18540,17193,16298,16683,8719,176823
2018/02/13,18900,18900,18350,18350,▼600,－3.17%,18470,16975,16255,16683,2883,178484
2018/02/12,18100,19150,18100,18950,▲500,＋2.71%,18400,16805,16213,16685,13240,178674
2018/02/09,18350,18600,18000,18450,▲50,＋0.27%,18300,16608,16160,16681,8538,179561
2018/02/08,18850,18850,17850,18400,▲200,＋1.10%,18250,16443,16118,16681,10050,181858
2018/02/07,17950,18800,17850,18200,▲200,＋1.11%,18160,16280,16078,16683,37905,182306
2018/02/06,18300,18400,17650,18000,▼450,－2.44%,18050,16140,16047,16688,8971,185087
2018/02/05,18200,18750,18100,18450,▲250,＋1.37%,17880,16030,16014,16699,35121,183893
2018/02/02,18000,18200,17950,18200,▲250,＋1.39%,17580,15885,15972,16705,14562,181143
2018/02/01,17650,18050,17500,17950,▲300,＋1.70%,17200,15768,15934,16713,16051,180851
2018/01/31,17000,17750,17000,17650,▲500,＋2.92%,16790,15663,15903,16724,16240,180833
2018/01/30,16800,17300,16800,17150,▲200,＋1.18%,16370,15568,15874,16738,9244,180995
2018/01/29,16250,17000,16200,16950,▲650,＋3.99%,16040,15488,15862,16755,15748,180921
2018/01/26,15800,16350,15750,16300,▲400,＋2.52%,15720,15423,15851,16775,11719,179805
2018/01/25,15550,15950,15550,15900,▲350,＋2.25%,15520,15410,15843,16799,4264,179914
2018/01/24,15400,15550,15200,15550,▲50,＋0.32%,15280,15418,15844,16827,9760,179576
2018/01/23,15250,15500,15250,15500,▲150,＋0.98%,15010,15433,15849,16856,2637,181832
2018/01/22,15300,15350,15100,15350,▲50,＋0.33%,14900,15463,15858,16889,2981,181603
2018/01/19,14700,15300,14700,15300,▲600,＋4.08%,14830,15488,15868,16922,4239,181474
2018/01/18,14200,14900,14200,14700,▲500,＋3.52%,14800,15525,15879,16955,11936,180817
2018/01/17,15000,15000,14000,14200,▼750,－5.02%,14890,15590,15900,16993,31746,179945
2018/01/16,15200,15200,14850,14950,▼50,－0.33%,15130,15680,15929,17035,11069,179666
2018/01/15,15300,15300,14950,15000,▼150,－0.99%,15300,15733,15948,17073,4041,180017
2018/01/12,15300,15400,15100,15150,0.0,0.00%,15410,15783,15965,17110,4571,180868
2018/01/11,15350,15350,15000,15150,▼250,－1.62%,15550,15833,15983,17145,8459,181267
2018/01/10,15650,15650,15300,15400,▼400,－2.53%,15690,15885,16003,17179,8133,181652
2018/01/09,15600,15800,15400,15800,▲250,＋1.61%,15760,15925,16019,17211,6098,181854
2018/01/08,15850,15850,15550,15550,▼300,－1.89%,15710,15938,16033,17241,5174,181774
2018/01/05,15850,15950,15650,15850,0.0,0.00%,15730,15963,16051,17273,3360,182943
2018/01/04,15750,15950,15600,15850,▲100,＋0.63%,15770,15978,16071,17300,9114,182990
2018/01/03,15600,15900,15450,15750,▲200,＋1.29%,15810,15988,16096,17328,10038,183087
2018/01/02,16000,16200,15500,15550,▼100,－0.64%,15830,16005,16118,17353,9870,183273
2017/12/28,16000,16050,15650,15650,▼400,－2.49%,15940,16028,16142,17378,3008,183140
2017/12/27,16000,16050,15800,16050,0.0,0.00%,15980,16058,16165,17405,1289,183811
2017/12/26,15850,16100,15850,16050,▲200,＋1.26%,15980,16065,16181,17422,1601,184371
2017/12/22,15850,16000,15750,15850,▼250,－1.55%,15970,16075,16201,17433,5704,185371
2017/12/21,15800,16100,15800,16100,▲250,＋1.58%,16000,16098,16220,17444,2620,186598
2017/12/20,16250,16250,15850,15850,▼200,－1.25%,15980,16103,16235,17453,2558,187407
2017/12/19,16000,16250,15950,16050,▲50,＋0.31%,16010,16113,16257,17465,5182,188085
2017/12/18,16000,16150,16000,16000,0.0,0.00%,16030,16108,16281,17474,1071,187730
2017/12/15,16000,16350,16000,16000,0.0,0.00%,16070,16110,16301,17485,1598,187951
2017/12/14,16000,16150,15950,16000,0.0,0.00%,16110,16110,16337,17495,1314,188355
2017/12/13,16050,16150,15950,16000,▼150,－0.93%,16120,16103,16373,17505,3090,188602
2017/12/12,16200,16250,16000,16150,▼50,－0.31%,16130,16090,16409,17516,1379,189000
2017/12/11,16300,16300,16100,16200,0.0,0.00%,16130,16078,16443,17526,1439,189269
2017/12/08,16000,16200,16000,16200,▲150,＋0.93%,16100,16070,16472,17535,501,189403
2017/12/07,16050,16050,16000,16050,0.0,0.00%,16080,16075,16500,17545,1349,189403
2017/12/06,16150,16150,16050,16050,▼100,－0.62%,16070,16075,16533,17554,756,189403
2017/12/05,16050,16150,16000,16150,▲100,＋0.62%,16110,16068,16566,17563,4309,189298
2017/12/04,16100,16250,16050,16050,▼50,－0.31%,16120,16058,16597,17572,5390,189678
2017/12/01,16050,16150,16050,16100,▲100,＋0.63%,16160,16060,16635,17581,1767,190771
2017/11/30,16250,16250,16000,16000,▼250,－1.54%,16200,16050,16680,17590,2684,190172
2017/11/29,16200,16400,16000,16250,▲50,＋0.31%,16240,16070,16727,17596,3498,190216
2017/11/28,16100,16250,16000,16200,▼50,－0.31%,16200,16073,16770,17599,1602,190252
2017/11/27,16400,16400,16250,16250,▼50,－0.31%,16150,16053,16814,17603,3437,189947
2017/11/24,16250,16300,16000,16300,▲100,＋0.62%,16110,16040,16859,17607,3555,189690
2017/11/23,16100,16250,16100,16200,▲150,＋0.93%,16050,16018,16899,17610,5138,189685
2017/11/22,15950,16050,15950,16050,▲100,＋0.63%,15980,16008,16939,17613,8395,189542
2017/11/21,15850,16050,15850,15950,▼100,－0.62%,15920,16005,16983,17618,406,183658
2017/11/20,16000,16050,15900,16050,▲50,＋0.31%,15910,16005,17027,17624,6058,183646
