[일시]롯데푸드,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,642000,642000,633000,640000,▲1000,＋0.16%,642000,665050,672817,733100,1967,181124
2019/01/29,639000,643000,633000,639000,0.0,0.00%,646400,668100,673400,734875,2274,181319
2019/01/28,650000,650000,637000,639000,▼7000,－1.08%,645800,671600,673667,736933,3928,180893
2019/01/25,643000,651000,640000,646000,0.0,0.00%,646400,675500,673950,738975,2494,181115
2019/01/24,654000,656000,645000,646000,▼16000,－2.42%,645400,678450,674367,741058,2216,181796
2019/01/23,636000,664000,636000,662000,▲26000,＋4.09%,644000,682100,674933,743100,2822,182604
2019/01/22,642000,647000,636000,636000,▼6000,－0.93%,641800,685050,675467,744942,1583,182257
2019/01/21,645000,657000,638000,642000,▲1000,＋0.16%,647400,689050,676283,746867,1871,182080
2019/01/18,642000,645000,631000,641000,▲2000,＋0.31%,651800,692700,677150,748800,2767,182029
2019/01/17,655000,657000,639000,639000,▼12000,－1.84%,658600,696950,677983,750650,3090,181572
2019/01/16,662000,666000,651000,651000,▼13000,－1.96%,667400,701200,679200,752367,2604,181484
2019/01/15,667000,677000,664000,664000,0.0,0.00%,677400,703850,679967,753850,2663,181835
2019/01/14,670000,676000,662000,664000,▼11000,－1.63%,691000,704900,680750,755325,2332,181925
2019/01/11,681000,685000,674000,675000,▼8000,－1.17%,703400,706000,681717,757017,2857,182194
2019/01/10,694000,700000,680000,683000,▼18000,－2.57%,709400,705850,682900,758667,2508,181947
2019/01/09,728000,732000,700000,701000,▼31000,－4.23%,706800,705950,684050,760358,2382,182221
2019/01/08,745000,745000,726000,732000,▲6000,＋0.83%,706800,704200,684733,761983,986,182435
2019/01/07,713000,740000,707000,726000,▲21000,＋2.98%,702200,701700,685150,762900,2437,182413
2019/01/04,669000,710000,669000,705000,▲35000,＋5.22%,700400,699050,686750,763900,3162,182637
2019/01/03,693000,712000,670000,670000,▼31000,－4.42%,700400,697450,688600,765175,1849,182575
2019/01/02,702000,714000,685000,701000,▼8000,－1.13%,710200,698500,690583,766558,1263,182303
2018/12/28,731000,731000,705000,709000,▼8000,－1.12%,714200,697300,692117,767533,906,182721
2018/12/27,691000,731000,679000,717000,▲12000,＋1.70%,715600,694700,693483,768625,2033,183177
2018/12/26,705000,720000,695000,705000,▼14000,－1.95%,715200,692500,694883,769667,1371,183181
2018/12/24,721000,725000,708000,719000,▼2000,－0.28%,719400,690600,696967,771042,675,184738
2018/12/21,719000,728000,713000,721000,▲5000,＋0.70%,720400,689300,699050,772150,1526,184875
2018/12/20,720000,723000,703000,716000,▲1000,＋0.14%,717000,686250,700850,772967,1367,184831
2018/12/19,734000,734000,705000,715000,▼11000,－1.52%,710800,683650,702500,773700,1145,184707
2018/12/18,730000,731000,713000,726000,▲2000,＋0.28%,705000,681000,704133,774317,1055,185044
2018/12/17,718000,730000,702000,724000,▲20000,＋2.84%,694200,676500,705617,774825,1908,186575
2018/12/14,690000,709000,678000,704000,▲19000,＋2.77%,686400,673350,707100,775225,1698,187114
2018/12/13,680000,702000,678000,685000,▼1000,－0.15%,678800,671300,709183,775817,2843,185983
2018/12/12,679000,688000,662000,686000,▲14000,＋2.08%,678200,669650,711667,776467,1438,189140
2018/12/11,671000,691000,671000,672000,▼13000,－1.90%,675600,667550,714050,777075,1716,189231
2018/12/10,657000,685000,654000,685000,▲19000,＋2.85%,675800,666150,716700,778000,1227,189688
2018/12/07,683000,693000,665000,666000,▼16000,－2.35%,677000,664200,718850,778900,1481,189739
2018/12/06,682000,685000,671000,682000,▲9000,＋1.34%,679200,662850,721200,780200,1260,190484
2018/12/05,680000,680000,666000,673000,0.0,0.00%,674200,660650,723283,781258,876,190449
2018/12/04,687000,695000,671000,673000,▼18000,－2.60%,674200,658050,725567,782392,1802,190551
2018/12/03,676000,695000,669000,691000,▲14000,＋2.07%,673000,656900,727867,783192,1888,190509
2018/11/30,658000,677000,653000,677000,▲20000,＋3.04%,673400,654900,729983,783808,1752,190215
2018/11/29,673000,676000,657000,657000,▼16000,－2.38%,670000,654800,732367,784342,1313,190270
2018/11/28,674000,675000,660000,673000,▲6000,＋0.90%,671400,654700,734683,785100,906,190666
2018/11/27,685000,693000,666000,667000,▼26000,－3.75%,669200,653850,737083,785525,1446,189966
2018/11/26,656000,695000,656000,693000,▲33000,＋5.00%,663000,654050,739600,785850,1625,190632
2018/11/23,663000,671000,652000,660000,▼4000,－0.60%,656600,653400,741633,785983,448,191072
2018/11/22,655000,672000,650000,664000,▲2000,＋0.30%,657200,655100,744717,786400,848,191318
2018/11/21,637000,662000,629000,662000,▲26000,＋4.09%,654800,656150,747400,787008,2090,191545
2018/11/20,666000,667000,632000,636000,▼25000,－3.78%,651200,657750,750117,787575,2431,191481
2018/11/19,659000,669000,651000,661000,▼2000,－0.30%,652800,660500,753850,788300,1217,192158
2018/11/16,657000,664000,640000,663000,▲11000,＋1.69%,649800,663050,757233,788792,1197,192672
2018/11/15,638000,659000,638000,652000,▲8000,＋1.24%,645000,664750,760533,789342,1811,192387
2018/11/14,633000,649000,633000,644000,0.0,0.00%,642200,667700,763933,789783,1055,191806
2018/11/13,650000,650000,627000,644000,▼2000,－0.31%,637600,671600,767550,790425,1161,191564
2018/11/12,650000,651000,633000,646000,▲7000,＋1.10%,638800,676700,770867,791067,924,191454
2018/11/09,632000,650000,632000,639000,▲1000,＋0.16%,639800,682000,774250,791817,1211,191267
2018/11/08,626000,645000,626000,638000,▲17000,＋2.74%,647000,687150,777717,792617,1947,191476
2018/11/07,652000,658000,616000,621000,▼29000,－4.46%,650400,693100,781267,793375,3466,190905
2018/11/06,657000,659000,647000,650000,▼1000,－0.15%,657400,703150,785800,794208,1712,189917
2018/11/05,667000,683000,637000,651000,▼24000,－3.56%,661600,711450,789800,794725,2963,189724
2018/11/02,655000,685000,655000,675000,▲20000,＋3.05%,667400,718350,793383,795283,1403,189888
2018/11/01,651000,681000,650000,655000,▼1000,－0.15%,671200,724250,796350,795850,2970,189977
2018/10/31,663000,675000,653000,656000,▼15000,－2.24%,677200,731050,800200,796808,2961,190885
2018/10/30,680000,684000,661000,671000,▼9000,－1.32%,684800,738300,804000,797775,1961,190501
2018/10/29,706000,706000,672000,680000,▼14000,－2.02%,688800,746250,807750,798392,1574,190244
2018/10/26,678000,696000,674000,694000,▲9000,＋1.31%,695200,754450,811267,798858,1716,190741
2018/10/25,699000,700000,662000,685000,▼9000,－1.30%,695800,761200,814417,799408,2476,190940
2018/10/24,703000,703000,689000,694000,▲3000,＋0.43%,701000,767700,817450,799967,2899,190510
2018/10/23,712000,721000,684000,691000,▼21000,－2.95%,706600,773650,820450,800217,1723,190928
2018/10/22,697000,725000,692000,712000,▲15000,＋2.15%,717600,779850,823317,800433,1924,191023
2018/10/19,707000,719000,690000,697000,▼14000,－1.97%,725600,784900,825533,800550,3622,191159
2018/10/18,722000,733000,706000,711000,▼11000,－1.52%,734600,791500,827733,800617,1414,190490
2018/10/17,758000,765000,717000,722000,▼24000,－3.22%,743800,797650,829900,800600,2015,190082
2018/10/16,752000,759000,744000,746000,▼6000,－0.80%,763800,803000,832317,800317,2148,189445
2018/10/15,733000,764000,733000,752000,▲10000,＋1.35%,777800,807250,834433,799783,2223,189021
2018/10/12,780000,780000,740000,742000,▼15000,－1.98%,785200,810350,836667,799183,2083,188045
2018/10/11,819000,821000,751000,757000,▼65000,－7.91%,795400,813600,839233,798750,2647,187981
2018/10/10,807000,822000,806000,822000,▲6000,＋0.74%,802200,816100,840650,798258,12879,188571
2018/10/08,795000,817000,795000,816000,▲27000,＋3.42%,798000,815500,841050,797192,1667,188834
2018/10/05,797000,797000,780000,789000,▼4000,－0.50%,800800,815250,841750,796175,1095,189157
2018/10/04,785000,796000,782000,793000,▲2000,＋0.25%,811800,816700,842533,795442,1671,189363
2018/10/02,795000,805000,777000,791000,▼10000,－1.25%,819000,818050,842950,794558,2467,188880
2018/10/01,824000,835000,800000,801000,▼29000,－3.49%,823800,818300,843767,793542,1803,188381
2018/09/28,857000,857000,821000,830000,▼14000,－1.66%,826200,819100,844450,792517,1968,188266
2018/09/27,816000,846000,816000,844000,▲15000,＋1.81%,823200,818500,845117,791133,1519,188398
2018/09/21,834000,834000,814000,829000,▲14000,＋1.72%,817000,817050,845250,789617,1479,188012
2018/09/20,805000,835000,804000,815000,▲2000,＋0.25%,817000,817850,845083,788133,2158,187619
2018/09/19,811000,818000,810000,813000,▼2000,－0.25%,820800,818350,844900,786733,893,187213
2018/09/18,809000,816000,807000,815000,▲2000,＋0.25%,824000,818950,844500,785317,651,187136
2018/09/17,818000,827000,812000,813000,▼16000,－1.93%,827200,821200,844033,783667,806,187163
2018/09/14,834000,834000,822000,829000,▼5000,－0.60%,827400,823750,843350,782025,949,187138
2018/09/13,836000,836000,818000,834000,▲5000,＋0.60%,823000,825350,842450,780333,1798,186932
2018/09/12,828000,832000,810000,829000,▼2000,－0.24%,817600,826450,841267,778592,2114,186384
2018/09/11,806000,836000,805000,831000,▲17000,＋2.09%,813800,828050,840100,776842,3605,187076
2018/09/10,797000,817000,797000,814000,▲7000,＋0.87%,809800,828650,839300,775075,2349,185704
2018/09/07,815000,815000,800000,807000,0.0,0.00%,810600,830400,838950,773417,1904,185448
2018/09/06,808000,821000,803000,807000,▼3000,－0.37%,813200,832400,839200,771783,2428,185212
2018/09/05,806000,817000,801000,810000,▼1000,－0.12%,811000,834600,839233,770050,953,184706
2018/09/04,812000,819000,802000,811000,▼7000,－0.86%,812400,838750,839217,768317,2098,184774
2018/09/03,820000,832000,815000,818000,▼2000,－0.24%,813800,842700,838517,766608,2505,184784
2018/08/31,801000,821000,800000,820000,▲24000,＋3.02%,813200,845100,837633,764800,2295,184624
2018/08/30,814000,825000,791000,796000,▼21000,－2.57%,818200,846750,836317,762983,4029,184245
2018/08/29,825000,826000,815000,817000,▼1000,－0.12%,824000,851250,835517,761300,2997,182787
2018/08/28,818000,835000,813000,818000,▲3000,＋0.37%,825600,854600,833967,759475,4217,181119
2018/08/27,845000,847000,815000,815000,▼30000,－3.55%,834000,858500,832100,757392,4781,179165
2018/08/24,824000,845000,824000,845000,▲20000,＋2.42%,843800,862300,830333,755392,4326,177515
2018/08/23,829000,840000,820000,825000,0.0,0.00%,847000,864200,828083,753225,4109,175043
2018/08/22,856000,866000,823000,825000,▼35000,－4.07%,853200,866300,826617,751358,4538,173324
2018/08/21,864000,878000,859000,860000,▼4000,－0.46%,860400,868750,825033,749575,2934,171958
2018/08/20,876000,884000,862000,864000,▲3000,＋0.35%,857000,868900,822750,747342,1746,170656
2018/08/17,848000,888000,844000,861000,▲5000,＋0.58%,854000,867950,820350,744992,3521,169648
2018/08/16,863000,863000,851000,856000,▼5000,－0.58%,851200,866350,818150,742692,2474,168830
2018/08/14,849000,862000,833000,861000,▲18000,＋2.14%,850200,865600,815633,740425,1913,168305
2018/08/13,833000,859000,833000,843000,▼6000,－0.71%,856600,865900,813300,738208,2151,168105
2018/08/10,848000,865000,842000,849000,▲2000,＋0.24%,866000,867400,811267,735975,2695,168126
2018/08/09,852000,863000,832000,847000,▼4000,－0.47%,869400,869250,809383,733925,3601,167363
2018/08/08,882000,884000,850000,851000,▼42000,－4.70%,870600,871700,807517,731933,3435,166440
2018/08/07,883000,895000,875000,893000,▲3000,＋0.34%,877600,871250,805483,730000,1592,165811
2018/08/06,861000,902000,861000,890000,▲24000,＋2.77%,875800,868900,802617,727550,2982,168170
2018/08/03,854000,871000,854000,866000,▲13000,＋1.52%,877000,867300,799650,725050,2427,166839
2018/08/02,877000,893000,850000,853000,▼33000,－3.72%,882000,865800,797183,722967,3382,165567
2018/08/01,888000,918000,868000,886000,▲2000,＋0.23%,888000,864050,795350,720967,4609,164187
2018/07/31,898000,900000,865000,884000,▼12000,－1.34%,884200,861750,793417,718708,7624,159273
2018/07/30,892000,900000,887000,896000,▲5000,＋0.56%,882200,859650,791550,716667,2523,158532
2018/07/27,895000,896000,877000,891000,▲8000,＋0.91%,875600,858350,789033,714508,1742,157694
2018/07/26,875000,888000,863000,883000,▲16000,＋1.85%,866400,856400,786450,712400,3269,157376
2018/07/25,868000,890000,857000,867000,▼7000,－0.80%,855600,853200,784400,710392,3002,155988
2018/07/24,867000,880000,849000,874000,▲11000,＋1.27%,850400,850050,782483,708558,3445,155380
2018/07/23,854000,864000,845000,863000,▲18000,＋2.13%,849000,845800,779983,706567,2704,155251
2018/07/20,824000,856000,824000,845000,▲16000,＋1.93%,851000,842000,777550,704675,2905,154314
2018/07/19,839000,849000,819000,829000,▼12000,－1.43%,859200,838350,775567,702717,3559,152813
2018/07/18,866000,867000,840000,841000,▼26000,－3.00%,872600,835650,773500,700558,2792,151228
2018/07/17,873000,873000,855000,867000,▼6000,－0.69%,872800,831750,771300,698125,1295,150354
2018/07/16,878000,884000,863000,873000,▼13000,－1.47%,868600,826350,768317,695450,2581,151616
2018/07/13,896000,896000,880000,886000,▼10000,－1.12%,865600,821850,765133,692750,1901,151448
2018/07/12,852000,897000,848000,896000,▲54000,＋6.41%,855600,817200,761700,689942,5986,151207
2018/07/11,835000,847000,817000,842000,▼4000,－0.47%,840000,813500,758267,687050,2524,149657
2018/07/10,851000,861000,843000,846000,▼12000,－1.40%,839600,811850,755867,684575,2058,149208
2018/07/09,835000,860000,835000,858000,▲22000,＋2.63%,838800,810000,753333,682133,5072,148807
2018/07/06,814000,839000,811000,836000,▲18000,＋2.20%,841200,805550,750600,679575,3415,145138
2018/07/05,844000,851000,806000,818000,▼22000,－2.62%,844400,802000,748350,677192,3678,143136
2018/07/04,836000,854000,835000,840000,▼2000,－0.24%,844600,798150,746167,675000,2694,142504
2018/07/03,870000,876000,835000,842000,▼28000,－3.22%,837400,793550,743317,672667,3525,141989
2018/07/02,855000,870000,840000,870000,▲18000,＋2.11%,826800,787650,740583,670342,5852,141248
2018/06/29,815000,868000,804000,852000,▲33000,＋4.03%,810200,779450,737150,667775,6114,141303
2018/06/28,810000,820000,801000,819000,▲15000,＋1.87%,794200,772300,733983,665383,2201,139973
2018/06/27,781000,804000,776000,804000,▲15000,＋1.90%,785400,766850,731183,663167,2581,140202
2018/06/26,810000,815000,771000,789000,▲2000,＋0.25%,777200,763500,728567,661092,2423,140055
2018/06/25,772000,787000,758000,787000,▲15000,＋1.94%,771200,760550,726133,659183,1511,139707
2018/06/22,764000,789000,764000,772000,▼3000,－0.39%,770400,757350,723300,657275,2215,140428
2018/06/21,752000,796000,752000,775000,▲12000,＋1.57%,774600,754750,720700,655567,3543,140450
2018/06/20,757000,776000,741000,763000,▲4000,＋0.53%,784000,752450,718217,653817,5858,140774
2018/06/19,776000,793000,759000,759000,▼24000,－3.07%,793200,749550,715917,652117,4038,139750
2018/06/18,786000,799000,780000,783000,▼10000,－1.26%,803200,747650,713583,650508,3850,139719
2018/06/15,806000,817000,778000,793000,▼29000,－3.53%,800400,744550,710850,648600,9388,138604
2018/06/14,802000,822000,785000,822000,▲13000,＋1.61%,794800,741700,707883,646558,8515,139810
2018/06/12,814000,833000,795000,809000,0.0,0.00%,778600,737350,704367,644258,4467,139858
2018/06/11,780000,810000,767000,809000,▲40000,＋5.20%,766400,733350,700867,642025,6186,138961
2018/06/08,759000,780000,753000,769000,▲4000,＋0.52%,749400,728950,697417,639858,4405,135631
2018/06/07,735000,769000,733000,765000,▲24000,＋3.24%,736800,726100,694700,638075,4365,134856
2018/06/05,756000,756000,734000,741000,▼7000,－0.94%,725600,723750,691967,636417,3831,134891
2018/06/04,724000,750000,700000,748000,▲24000,＋3.31%,719400,723850,689650,634992,4854,135465
2018/06/01,703000,727000,700000,724000,▲18000,＋2.55%,717200,724950,687083,633483,2434,135674
2018/05/31,710000,719000,703000,706000,▼3000,－0.42%,718400,727350,684983,632058,1900,135195
2018/05/30,706000,715000,697000,709000,▼1000,－0.14%,721800,729300,682683,630825,3076,135563
2018/05/29,733000,733000,710000,710000,▼27000,－3.66%,724000,730650,680450,629642,2028,135529
2018/05/28,739000,749000,726000,737000,▲7000,＋0.96%,727800,733150,678367,628417,1699,136142
2018/05/25,728000,734000,719000,730000,▲7000,＋0.97%,721400,733900,676100,626975,1524,136426
2018/05/24,717000,728000,706000,723000,▲3000,＋0.42%,719600,733600,674117,625633,2387,136543
2018/05/23,727000,740000,713000,720000,▼9000,－1.23%,719200,733300,671933,624325,1366,136761
2018/05/21,705000,734000,702000,729000,▲24000,＋3.40%,722400,733600,669633,623050,1770,136960
2018/05/18,720000,720000,700000,705000,▼16000,－2.22%,723600,732400,667233,621717,2607,136521
2018/05/17,717000,728000,711000,721000,0.0,0.00%,728400,732600,665217,620683,1536,135469
2018/05/16,721000,730000,718000,721000,▼15000,－2.04%,728400,730950,663117,619483,2236,135224
2018/05/15,724000,736000,716000,736000,▲1000,＋0.14%,726600,729000,660683,618208,2133,134911
2018/05/14,732000,738000,717000,735000,▲6000,＋0.82%,723000,726200,658467,616833,1982,135025
2018/05/11,720000,731000,713000,729000,▲8000,＋1.11%,724600,723950,656350,615550,3293,135162
2018/05/10,705000,723000,701000,721000,▲9000,＋1.26%,732800,722400,654517,614308,2118,134454
2018/05/09,713000,732000,702000,712000,▼6000,－0.84%,743000,721050,652483,613117,2565,134035
2018/05/08,743000,749000,714000,718000,▼25000,－3.36%,749600,720150,650450,611992,2603,133305
2018/05/04,756000,780000,738000,743000,▼27000,－3.51%,753200,719300,648750,610825,3658,132890
2018/05/03,772000,780000,753000,770000,▼2000,－0.26%,756600,716500,646583,609417,3614,131015
2018/05/02,752000,774000,752000,772000,▲27000,＋3.62%,753000,711450,644000,607800,4305,130457
2018/04/30,736000,755000,735000,745000,▲9000,＋1.22%,743400,706750,641783,606275,2096,130973
2018/04/27,760000,769000,731000,736000,▼24000,－3.16%,737800,702700,639983,604975,4406,130979
2018/04/26,760000,767000,754000,760000,▲8000,＋1.06%,735800,699000,638350,603675,3485,129452
2018/04/25,735000,755000,725000,752000,▲28000,＋3.87%,724800,693550,636383,602300,4565,128673
2018/04/24,716000,737000,716000,724000,▲7000,＋0.98%,716200,688300,634633,601025,2445,128278
2018/04/23,726000,728000,709000,717000,▼9000,－1.24%,709000,684250,633150,600200,809,127685
2018/04/20,703000,730000,703000,726000,▲21000,＋2.98%,702000,679250,631800,599183,2731,127648
2018/04/19,704000,720000,702000,705000,▼4000,－0.56%,692800,673750,629867,598091,2941,127263
2018/04/18,684000,718000,680000,709000,▲21000,＋3.05%,689800,669800,627617,597175,5732,126528
2018/04/17,680000,706000,676000,688000,▲6000,＋0.88%,687600,665600,624950,596225,2428,124256
2018/04/16,689000,689000,672000,682000,▲2000,＋0.29%,688800,662150,622583,595450,2075,124063
2018/04/13,683000,696000,680000,680000,▼10000,－1.45%,691200,659000,620367,594724,2331,123618
2018/04/12,693000,707000,688000,690000,▼8000,－1.15%,695400,655750,618183,594016,2752,123257
2018/04/11,693000,704000,674000,698000,▲4000,＋0.58%,694800,651800,615833,593224,7331,123276
2018/04/10,690000,708000,688000,694000,0.0,0.00%,689000,646850,613283,592366,2901,119982
2018/04/09,701000,710000,685000,694000,▼7000,－1.00%,685800,642250,610933,591541,3105,118638
2018/04/06,687000,710000,685000,701000,▲14000,＋2.04%,679800,637850,608550,590716,5506,118606
2018/04/05,673000,699000,673000,687000,▲18000,＋2.69%,672000,632850,606033,589832,2986,117209
2018/04/04,678000,695000,657000,669000,▼9000,－1.33%,664800,628600,603833,589065,4921,116618
2018/04/03,657000,681000,657000,678000,▲14000,＋2.11%,660400,624850,602017,588449,4045,114824
2018/04/02,662000,680000,659000,664000,▲2000,＋0.30%,653400,620850,600100,587757,4635,113618
2018/03/30,651000,662000,647000,662000,▲11000,＋1.69%,644000,616050,598400,587182,2081,112484
2018/03/29,642000,655000,640000,651000,▲4000,＋0.62%,634800,611700,596783,586623,2407,112342
2018/03/28,641000,648000,636000,647000,▲4000,＋0.62%,629800,608400,595150,586010,2962,112126
2018/03/27,614000,649000,606000,643000,▲26000,＋4.21%,625400,606100,593617,585193,5594,112021
2018/03/26,617000,626000,561000,617000,▲1000,＋0.16%,620600,604500,592233,584589,2638,110199
2018/03/23,610000,628000,610000,616000,▼10000,－1.60%,621000,603250,591250,584275,1587,109717
2018/03/22,630000,630000,617000,626000,▲1000,＋0.16%,620800,601550,590433,584084,2273,109331
2018/03/21,611000,630000,605000,625000,▲6000,＋0.97%,617800,599500,589417,583858,1974,109055
2018/03/20,616000,634000,603000,619000,0.0,0.00%,612600,597450,588317,583673,2140,109004
2018/03/19,624000,630000,617000,619000,▲4000,＋0.65%,609200,596250,587433,583571,2977,109020
2018/03/16,608000,620000,598000,615000,▲4000,＋0.65%,606600,594050,586350,583379,1633,109384
2018/03/15,608000,612000,594000,611000,▲12000,＋2.00%,603800,593450,585233,583196,932,109599
2018/03/14,594000,602000,593000,599000,▼3000,－0.50%,602000,593300,584150,583079,663,109767
2018/03/13,600000,606000,599000,602000,▼4000,－0.66%,601000,594300,583183,583054,1284,109812
2018/03/12,611000,611000,603000,606000,▲5000,＋0.83%,600200,594150,582300,582987,2273,109838
2018/03/09,598000,610000,596000,601000,▼1000,－0.17%,592600,593350,581450,582928,1526,109568
2018/03/08,593000,602000,586000,602000,▲8000,＋1.35%,587400,594100,580867,582853,2055,109307
2018/03/07,590000,599000,584000,594000,▼4000,－0.67%,584000,594650,580333,582836,1251,109284
2018/03/06,581000,603000,573000,598000,▲30000,＋5.28%,585400,595700,579883,582925,2517,109472
2018/03/05,570000,581000,567000,568000,▼7000,－1.22%,588000,597750,579133,582957,1506,109638
2018/03/02,580000,582000,571000,575000,▼10000,－1.71%,592800,601200,578967,583264,1981,109792
2018/02/28,604000,604000,583000,585000,▼16000,－2.66%,594200,604350,578833,583536,1857,110102
2018/02/27,606000,612000,600000,601000,▼10000,－1.64%,594200,607200,578467,583685,898,110403
2018/02/26,599000,611000,592000,611000,▲19000,＋3.21%,590800,609500,577850,583725,2105,110508
2018/02/23,586000,594000,575000,592000,▲10000,＋1.72%,587600,610700,577150,583477,684,111046
2018/02/22,581000,587000,568000,582000,▼3000,－0.51%,584200,612900,576717,583477,752,110998
2018/02/21,591000,594000,581000,585000,▲1000,＋0.17%,588400,614300,576467,583520,757,111099
2018/02/20,591000,598000,584000,584000,▼11000,－1.85%,593000,613550,576200,583538,788,111175
2018/02/19,585000,597000,580000,595000,▲20000,＋3.48%,600000,611800,576150,583524,1370,111117
2018/02/14,589000,596000,571000,575000,▼28000,－4.64%,600800,609350,575850,583491,2931,111087
2018/02/13,617000,617000,594000,603000,▼5000,－0.82%,603800,608050,575733,583593,1816,111039
2018/02/12,612000,613000,601000,608000,▼11000,－1.78%,606400,605350,575200,583355,1885,111362
2018/02/09,598000,622000,583000,619000,▲20000,＋3.34%,607400,602400,574750,583099,4367,111725
2018/02/08,604000,604000,589000,599000,▲9000,＋1.53%,606600,598700,574100,582777,1442,111650
2018/02/07,612000,617000,590000,590000,▼26000,－4.22%,614600,596400,573750,582646,2619,111574
2018/02/06,610000,616000,590000,616000,▲3000,＋0.49%,624000,594450,573533,582549,3236,111677
2018/02/05,623000,623000,606000,613000,▼2000,－0.33%,628400,591150,572900,582243,1559,112249
2018/02/02,631000,640000,613000,615000,▼24000,－3.76%,634200,588250,572250,581930,1884,112311
2018/02/01,631000,639000,623000,639000,▲2000,＋0.31%,640600,585500,571600,581600,1922,112282
2018/01/31,641000,641000,597000,637000,▼1000,－0.16%,639800,581700,570767,581086,3883,112275
2018/01/30,639000,647000,635000,638000,▼4000,－0.62%,639600,577950,569967,580736,1985,111835
2018/01/29,645000,648000,631000,642000,▼5000,－0.77%,634000,574300,569000,580492,2010,111326
2018/01/26,630000,651000,630000,647000,▲12000,＋1.89%,619600,569850,568217,580231,3289,111573
2018/01/25,627000,649000,627000,635000,▼1000,－0.16%,600000,565250,567417,579952,2818,110956
2018/01/24,613000,639000,610000,636000,▲26000,＋4.26%,582200,561500,567250,579823,5790,110743
2018/01/23,571000,620000,566000,610000,▲40000,＋7.02%,564800,557600,566566,579660,9824,110123
2018/01/22,555000,570000,549000,570000,▲21000,＋3.83%,552600,555450,566316,579617,2863,108384
2018/01/19,544000,555000,543000,549000,▲3000,＋0.55%,548400,555200,566733,579850,1710,107948
2018/01/18,546000,553000,545000,546000,▼3000,－0.55%,547600,555700,567499,580331,1113,106711
2018/01/17,549000,553000,547000,549000,0.0,0.00%,549000,556700,568316,580804,1369,106629
2018/01/16,545000,554000,545000,549000,0.0,0.00%,549400,556950,569082,581285,1172,106639
2018/01/15,545000,550000,542000,549000,▲4000,＋0.73%,549600,556900,569849,581701,956,106499
2018/01/12,551000,557000,544000,545000,▼8000,－1.45%,550800,556750,570615,582182,2602,106447
2018/01/11,556000,560000,548000,553000,▲2000,＋0.36%,553800,556550,571448,582656,1529,106923
2018/01/10,549000,561000,548000,551000,▲1000,＋0.18%,555800,556350,572148,583030,1448,106138
2018/01/09,553000,556000,548000,550000,▼5000,－0.90%,558000,556550,572881,583413,1284,105900
2018/01/08,556000,564000,555000,555000,▼5000,－0.89%,561000,557350,573631,583755,1379,105863
2018/01/05,564000,566000,556000,560000,▼3000,－0.53%,560600,558100,574298,584097,673,105744
2018/01/04,562000,570000,562000,563000,▲1000,＋0.18%,559600,558450,574881,584421,1639,105827
2018/01/03,565000,565000,556000,562000,▼3000,－0.53%,559000,557950,575414,584720,1794,105935
2018/01/02,553000,565000,553000,565000,▲12000,＋2.17%,558200,557750,575964,585134,1087,105991
2017/12/28,560000,567000,553000,553000,▼2000,－0.36%,558600,557850,576463,585530,2099,105825
2017/12/27,555000,565000,553000,555000,▼5000,－0.89%,561000,558350,576870,586092,1049,105145
2017/12/26,559000,563000,557000,560000,▲2000,＋0.36%,561800,558800,576770,586654,1535,105000
2017/12/22,567000,567000,548000,558000,▼9000,－1.59%,563000,559250,576945,587133,1633,104622
2017/12/21,557000,567000,552000,567000,▲2000,＋0.35%,562200,559650,577301,587662,1610,104606
2017/12/20,555000,565000,551000,565000,▲6000,＋1.07%,558400,559650,577734,588082,1249,105179
2017/12/19,565000,565000,556000,559000,▼7000,－1.24%,554600,559850,578299,588577,832,105440
2017/12/18,551000,567000,551000,566000,▲12000,＋2.17%,551000,560950,579030,589170,1874,105615
2017/12/15,553000,555000,546000,554000,▲6000,＋1.09%,547600,561500,579709,589689,1153,105485
2017/12/14,548000,554000,544000,548000,▲2000,＋0.37%,547800,562200,580408,590292,2597,105493
2017/12/13,541000,555000,540000,546000,▲5000,＋0.92%,551400,563350,581159,590977,2887,105546
2017/12/12,549000,551000,536000,541000,▼8000,－1.46%,556200,565100,582008,591703,2686,104543
2017/12/11,552000,558000,546000,549000,▼6000,－1.08%,561400,567050,582924,592455,1946,104535
2017/12/08,560000,565000,553000,555000,▼11000,－1.94%,562200,568500,583674,593238,2205,104599
2017/12/07,570000,572000,560000,566000,▼4000,－0.70%,562800,569600,584406,594044,1392,104737
2017/12/06,559000,571000,557000,570000,▲3000,＋0.53%,563000,570200,584840,594767,2366,104905
2017/12/05,563000,567000,552000,567000,▲14000,＋2.53%,561600,570400,585338,595415,1921,104487
2017/12/04,561000,562000,553000,553000,▼5000,－0.90%,561000,570850,585968,596162,1454,104610
2017/12/01,561000,567000,558000,558000,▼9000,－1.59%,564200,572650,586782,597116,1854,104758
2017/11/30,570000,570000,559000,567000,▲4000,＋0.71%,565800,574200,587561,598052,2609,105067
2017/11/29,564000,568000,561000,563000,▼1000,－0.18%,565800,574850,588240,598856,1126,104678
2017/11/28,566000,570000,564000,564000,▼5000,－0.88%,567000,576450,588903,599767,983,104631
2017/11/27,566000,573000,565000,569000,▲3000,＋0.53%,570400,578200,589599,600645,846,104643
