[일시]일신방직,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,95700,96400,95700,96300,▲100,＋0.10%,96180,96740,96600,102798,894,167826
2019/01/29,96200,96300,95500,96200,▼100,－0.10%,95980,96735,96615,102904,1077,167629
2019/01/28,96200,96500,95900,96300,▲200,＋0.21%,95940,96725,96617,103003,1767,167672
2019/01/25,96100,96400,95500,96100,▲100,＋0.10%,95940,96680,96603,103100,1811,167626
2019/01/24,95800,96200,95500,96000,▲700,＋0.73%,95920,96630,96585,103191,573,167545
2019/01/23,95400,95900,95300,95300,▼700,－0.73%,96160,96700,96618,103291,1052,167425
2019/01/22,96300,96400,95500,96000,▼300,－0.31%,96780,96810,96668,103409,316,167371
2019/01/21,96900,96900,95500,96300,▲300,＋0.31%,97340,96875,96752,103505,849,167362
2019/01/18,96300,97400,95400,96000,▼1200,－1.23%,97800,96920,96847,103615,1709,167329
2019/01/17,98200,98200,96800,97200,▼1200,－1.22%,98220,97020,96963,103723,827,167305
2019/01/16,99100,99100,97800,98400,▼400,－0.40%,98200,97070,97068,103847,362,167285
2019/01/15,98600,98800,98200,98800,▲200,＋0.20%,97920,97050,97187,103977,534,167266
2019/01/14,98100,99100,98100,98600,▲500,＋0.51%,97480,96955,97348,104108,862,167187
2019/01/11,97500,99900,97400,98100,▲1000,＋1.03%,97160,96815,97547,104257,306,166970
2019/01/10,96900,97200,96100,97100,▲100,＋0.10%,96660,96670,97753,104402,255,166905
2019/01/09,96900,97500,96500,97000,▲400,＋0.41%,96420,96615,97952,104559,662,166890
2019/01/08,96800,97100,96000,96600,▼400,－0.41%,96260,96625,98168,104718,573,166740
2019/01/07,96500,97500,95000,97000,▲1400,＋1.46%,96140,96650,98333,104875,794,166631
2019/01/04,96400,96800,94900,95600,▼300,－0.31%,95820,96670,98517,105042,824,166549
2019/01/03,96200,96800,95900,95900,▼300,－0.31%,95720,96750,98782,105216,494,166487
2019/01/02,95300,96200,95300,96200,▲200,＋0.21%,96020,96795,99025,105413,362,166414
2018/12/28,95500,96000,95000,96000,▲600,＋0.63%,96280,96780,99255,105598,343,166400
2018/12/27,94800,95700,94400,95400,▲300,＋0.32%,96540,96795,99480,105786,372,166347
2018/12/26,96100,96100,94700,95100,▼2300,－2.36%,96900,96760,99707,105970,1665,166337
2018/12/24,97500,97800,96200,97400,▼100,－0.10%,97480,96790,99938,106148,410,166439
2018/12/21,97300,97500,96200,97500,▲200,＋0.21%,97640,96695,100123,106295,258,166459
2018/12/20,96100,97300,96100,97300,▲100,＋0.10%,97740,96595,100307,106428,372,166449
2018/12/19,96600,97400,96200,97200,▼800,－0.82%,97660,96515,100477,106584,1385,166412
2018/12/18,97700,98100,97200,98000,▼200,－0.20%,97380,96455,100657,106745,454,166757
2018/12/17,98000,98700,97700,98200,▲200,＋0.20%,96820,96330,100832,106945,242,166835
2018/12/14,96300,98700,96300,98000,▲1100,＋1.14%,96380,96230,101012,107123,1171,166803
2018/12/13,96000,97200,95800,96900,▲1100,＋1.15%,96220,96175,101203,107310,418,166648
2018/12/12,95300,95900,94400,95800,▲600,＋0.63%,96260,96205,101405,107503,1753,166527
2018/12/11,95500,95500,94000,95200,▼800,－0.83%,96580,96280,101642,107704,2181,166419
2018/12/10,97200,97200,94200,96000,▼1200,－1.23%,96980,96340,101880,107890,2344,166511
2018/12/07,96500,97200,96300,97200,▲100,＋0.10%,97140,96390,102097,108098,408,166585
2018/12/06,96200,97400,96200,97100,▼300,－0.31%,96880,96420,102310,108293,410,166634
2018/12/05,96100,97400,95800,97400,▲200,＋0.21%,96720,96430,102525,108517,705,166669
2018/12/04,96000,97200,95700,97200,▲400,＋0.41%,96180,96375,102793,108763,1255,166599
2018/12/03,96900,96900,96000,96800,▲900,＋0.94%,95880,96330,103065,108953,1337,166742
2018/11/30,96000,96300,95300,95900,▼400,－0.42%,95620,96265,103352,109076,876,166703
2018/11/29,95700,96900,95000,96300,▲1600,＋1.69%,95540,96330,103687,109210,1988,166832
2018/11/28,95400,95400,94600,94700,▼1000,－1.04%,95420,96330,103998,109341,1664,166481
2018/11/27,95200,95800,94600,95700,▲200,＋0.21%,95680,96370,104353,109460,1165,166524
2018/11/26,95000,95800,94200,95500,0.0,0.00%,95640,96335,104667,109571,1846,166336
2018/11/23,95800,96000,94900,95500,▼200,－0.21%,95780,96460,105008,109683,742,166306
2018/11/22,96500,96500,94400,95700,▼300,－0.31%,96060,96600,105392,109788,1161,166374
2018/11/21,95000,96400,94200,96000,▲500,＋0.52%,96420,96865,105705,109882,1830,166448
2018/11/20,95200,95700,94700,95500,▼700,－0.73%,96680,97165,106088,109965,1583,166460
2018/11/19,97600,97600,95700,96200,▼700,－0.72%,96860,97540,106472,110048,6993,166330
2018/11/16,97500,97800,95300,96900,▼600,－0.62%,97020,97905,106802,110126,2609,165886
2018/11/15,97700,97700,96800,97500,▲200,＋0.21%,97200,98335,107078,110214,1418,165872
2018/11/14,96200,97400,93700,97300,▲900,＋0.93%,97160,98885,107345,110293,2907,166098
2018/11/13,96900,96900,95400,96400,▼600,－0.62%,96960,99545,107540,110378,1426,165987
2018/11/12,97800,97800,96500,97000,▼800,－0.82%,96940,100250,107725,110475,1328,166309
2018/11/09,96700,97800,96700,97800,▲500,＋0.51%,96640,100850,107925,110546,1696,166181
2018/11/08,97600,98100,96700,97300,▲1000,＋1.04%,96520,101460,108112,110598,602,166198
2018/11/07,96900,98000,96200,96300,0.0,0.00%,96320,101920,108307,110645,976,165878
2018/11/06,95800,96500,95200,96300,▲800,＋0.84%,96160,102505,108518,110697,1314,166049
2018/11/05,96600,96900,94200,95500,▼1700,－1.75%,95900,103265,108763,110748,3799,165953
2018/11/02,96100,97200,96100,97200,▲900,＋0.93%,96400,104015,108997,110811,1563,166329
2018/11/01,96200,97400,95800,96300,▲800,＋0.84%,96620,104655,109193,110863,1528,166355
2018/10/31,95000,96000,93700,95500,▲500,＋0.53%,97560,105315,109388,110932,1575,166507
2018/10/30,96500,97800,93300,95000,▼3000,－3.06%,98860,105990,109597,111007,2813,166475
2018/10/29,97500,98700,95000,98000,▼300,－0.31%,100460,106690,109797,111090,1847,166710
2018/10/26,101000,101000,98000,98300,▼2700,－2.67%,101560,107215,109963,111148,1648,166841
2018/10/25,101000,101000,99700,101000,▼1000,－0.98%,103000,107725,110150,111204,888,167281
2018/10/24,103500,103500,101000,102000,▼1000,－0.97%,104500,108050,110258,111238,1553,167468
2018/10/23,104000,104000,102000,103000,▼500,－0.48%,106200,108350,110383,111263,873,167659
2018/10/22,104000,106000,101500,103500,▼2000,－1.90%,107700,108625,110483,111283,2642,167868
2018/10/19,107500,107500,103000,105500,▼3000,－2.76%,108800,108900,110625,111288,5075,167981
2018/10/18,110000,110000,107000,108500,▼2000,－1.81%,109700,109100,110767,111279,1386,168626
2018/10/17,109500,111500,108500,110500,0.0,0.00%,109300,109125,110867,111246,1275,168810
2018/10/16,109000,111500,109000,110500,▲1500,＋1.38%,108800,109100,110967,111204,684,168651
2018/10/15,108000,110500,108000,109000,▼1000,－0.91%,109000,109050,111050,111163,1566,168669
2018/10/12,107000,110000,107000,110000,▲3500,＋3.29%,109300,109050,111167,111133,2032,168826
2018/10/11,106500,108000,106000,106500,▼1500,－1.39%,109300,109050,111267,111104,1672,168914
2018/10/10,110500,111500,107000,108000,▼3500,－3.14%,109900,109225,111417,111104,1917,169011
2018/10/08,110500,113000,109500,111500,▲1000,＋0.90%,110100,109500,111567,111092,1621,169287
2018/10/05,109500,110500,108000,110500,▲500,＋0.45%,109600,109600,111650,111054,1205,169290
2018/10/04,109500,110000,107000,110000,▲500,＋0.46%,109200,109775,111800,111025,1920,169470
2018/10/02,109000,110000,108000,109500,▲500,＋0.46%,108900,110075,111942,111000,1108,170046
2018/10/01,109000,109500,108000,109000,0.0,0.00%,108500,110350,112092,110983,545,170250
2018/09/28,108500,109000,108000,109000,▲500,＋0.46%,108300,110700,112233,110967,1143,170368
2018/09/27,108500,108500,107000,108500,0.0,0.00%,108200,110975,112358,110950,830,170368
2018/09/21,107500,108500,106500,108500,▲1000,＋0.93%,108300,111350,112467,110942,973,170466
2018/09/20,108000,108000,106500,107500,▼500,－0.46%,108500,111850,112550,110933,2406,169908
2018/09/19,108500,109000,107500,108000,▼500,－0.46%,108800,112200,112692,110925,1090,170274
2018/09/18,109000,109000,107000,108500,▼500,－0.46%,109200,112750,112833,110917,1476,170037
2018/09/17,109000,109500,107500,109000,▼500,－0.46%,109400,113250,113058,110908,1249,170045
2018/09/14,109000,109500,108000,109500,▲500,＋0.46%,109400,113600,113233,110896,2100,170019
2018/09/13,110000,110000,108500,109000,▼1000,－0.91%,109500,113800,113417,110888,1872,170157
2018/09/12,109500,110000,107500,110000,▲500,＋0.46%,109700,114025,113600,110883,6120,170401
2018/09/11,109000,109500,108500,109500,▲500,＋0.46%,110400,113975,113767,110863,1757,169627
2018/09/10,109500,109500,107500,109000,▼1000,－0.91%,111200,113875,113900,110833,1945,169205
2018/09/07,110000,110000,108000,110000,0.0,0.00%,112200,113875,114100,110821,2401,169222
2018/09/06,113000,113000,109000,110000,▼3500,－3.08%,113400,113825,114275,110796,4226,168857
2018/09/05,112000,113500,111500,113500,0.0,0.00%,114400,113775,114508,110771,918,168853
2018/09/04,113000,113500,109500,113500,▼500,－0.44%,114900,113550,114733,110725,5285,168846
2018/09/03,115500,115500,112500,114000,▼2000,－1.72%,115100,113425,114842,110688,1089,168746
2018/08/31,115000,116000,113500,116000,▲1000,＋0.87%,115500,113200,114800,110638,1121,168992
2018/08/30,114500,116000,113500,115000,▼1000,－0.86%,116000,112850,114733,110567,1548,169144
2018/08/29,114500,116000,113500,116000,▲1500,＋1.31%,115900,112500,114683,110496,1264,169068
2018/08/28,116000,116000,113000,114500,▼1500,－1.29%,116500,112100,114567,110417,1625,169010
2018/08/27,118500,118500,115000,116000,▼2500,－2.11%,117300,111725,114475,110358,1916,168936
2018/08/24,114000,119000,113500,118500,▲4000,＋3.49%,117300,111325,114358,110308,2261,168817
2018/08/23,118000,118500,113000,114500,▼4500,－3.78%,116300,110875,114183,110242,5392,168621
2018/08/22,118500,119000,115500,119000,▲500,＋0.42%,116100,110525,114058,110217,2404,168751
2018/08/21,116000,118500,114000,118500,▲2500,＋2.16%,114100,110050,113842,110150,1246,169024
2018/08/20,113500,116000,111500,116000,▲2500,＋2.20%,111900,109575,113625,110113,2975,169336
2018/08/17,113000,114000,111000,113500,0.0,0.00%,110500,109375,113450,110083,1050,169527
2018/08/16,109000,114000,108000,113500,▲4500,＋4.13%,109600,109400,113350,110075,3071,169781
2018/08/14,107000,109000,106000,109000,▲1500,＋1.40%,108700,109450,113242,110083,626,170522
2018/08/13,109000,109000,105500,107500,▼1500,－1.38%,108700,109825,113217,110125,1407,170611
2018/08/10,108500,109000,107500,109000,0.0,0.00%,109400,110225,113225,110167,422,170606
2018/08/09,109000,109000,107500,109000,0.0,0.00%,109500,110575,113167,110208,633,170667
2018/08/08,109000,109500,108000,109000,0.0,0.00%,109500,110925,113083,110258,679,170770
2018/08/07,110000,110000,108000,109000,▼2000,－1.80%,109300,111250,112983,110308,1285,170922
2018/08/06,109500,111000,108000,111000,▲1500,＋1.37%,109100,111650,112875,110358,992,171418
2018/08/03,108500,110000,108000,109500,▲500,＋0.46%,108300,111925,112733,110388,859,171603
2018/08/02,108500,109500,108500,109000,▲1000,＋0.93%,108000,112425,112625,110433,410,171779
2018/08/01,107500,109500,107500,108000,0.0,0.00%,108100,112900,112533,110471,915,171905
2018/07/31,107000,108500,105500,108000,▲1000,＋0.93%,108000,113425,112475,110517,1011,172238
2018/07/30,107500,108000,105500,107000,▼1000,－0.93%,108300,113900,112417,110558,1494,172268
2018/07/27,109000,110000,106500,108000,▼1500,－1.37%,108700,114375,112383,110608,2975,172312
2018/07/26,108000,110000,108000,109500,▲2000,＋1.86%,109500,114725,112333,110650,1034,171790
2018/07/25,109500,109500,105000,107500,▼2000,－1.83%,110400,114925,112258,110683,6158,171653
2018/07/24,107500,110000,107500,109500,▲500,＋0.46%,111800,115350,112217,110713,1775,171036
2018/07/23,112000,112000,107500,109000,▼3000,－2.68%,113200,115700,112142,110733,4164,170820
2018/07/20,114000,114000,111500,112000,▼2000,－1.75%,114500,116350,112083,110746,1697,170596
2018/07/19,115000,115000,111500,114000,▼500,－0.44%,115300,116725,111950,110708,1931,170949
2018/07/18,116500,116500,114500,114500,▼2000,－1.72%,115700,117050,111792,110654,1181,171114
2018/07/17,115500,117000,115000,116500,▲1000,＋0.87%,115900,117325,111625,110592,2036,171119
2018/07/16,114500,115500,113500,115500,▼500,－0.43%,116000,117500,111442,110517,1962,171228
2018/07/13,116000,116000,113000,116000,0.0,0.00%,116200,117600,111275,110442,3657,171015
2018/07/12,115000,116000,112000,116000,▲500,＋0.43%,116900,117850,111100,110375,2292,170168
2018/07/11,116000,116500,114000,115500,▼1500,－1.28%,117400,118075,110942,110313,1135,170015
2018/07/10,117500,117500,113500,117000,▲500,＋0.43%,118000,118500,110792,110258,2161,170118
2018/07/09,119500,119500,114000,116500,▼3000,－2.51%,118100,119000,110617,110188,3702,170515
2018/07/06,119500,119500,116500,119500,▲1000,＋0.84%,118100,119175,110458,110113,4334,171360
2018/07/05,118000,119000,114500,118500,0.0,0.00%,117200,118775,110250,110013,1958,171494
2018/07/04,117500,119000,113500,118500,▲1000,＋0.85%,116200,118450,110058,109925,2970,172226
2018/07/03,116500,120500,116500,117500,▲1000,＋0.86%,115700,118125,109875,109842,4331,172834
2018/07/02,114500,118500,114000,116500,▲1500,＋1.30%,115500,117700,109700,109767,3498,172338
2018/06/29,113500,115500,113500,115000,▲1500,＋1.32%,116600,117325,109542,109713,1315,172870
2018/06/28,116000,116000,111000,113500,▼2500,－2.16%,117500,117025,109417,109667,2005,172871
2018/06/27,115500,116000,114000,116000,▼500,－0.43%,118900,116750,109317,109638,1350,172800
2018/06/26,120500,121500,114000,116500,▼5500,－4.51%,119700,116300,109158,109583,4442,173095
2018/06/25,119500,122500,118000,122000,▲2500,＋2.09%,120400,115775,109000,109525,3606,173739
2018/06/22,120000,121500,118000,119500,▼1000,－0.83%,119500,114950,108758,109421,2721,174047
2018/06/21,121000,121500,117500,120500,▲500,＋0.42%,119800,114250,108558,109333,2419,174630
2018/06/20,119500,120500,116000,120000,0.0,0.00%,119800,113600,108358,109217,2144,174897
2018/06/19,117500,122000,115000,120000,▲2500,＋2.13%,120600,112950,108167,109096,6605,175407
2018/06/18,118500,120000,114000,117500,▼3500,－2.89%,122000,112325,107958,108988,6218,175192
2018/06/15,118500,125500,118500,121000,▲500,＋0.41%,122500,111850,107767,108904,10289,176189
2018/06/14,123500,124000,118500,120500,▼3500,－2.82%,120600,111075,107542,108800,4827,175418
2018/06/12,126000,129000,123000,124000,▼3000,－2.36%,118900,110250,107317,108704,15908,175209
2018/06/11,122000,128000,120500,127000,▲7000,＋5.83%,116500,109200,107033,108575,32606,175825
2018/06/08,111500,120500,111500,120000,▲8500,＋7.62%,112900,107975,106717,108425,17488,173397
2018/06/07,112000,112500,107500,111500,▼500,－0.45%,110700,107100,106533,108338,10833,170029
2018/06/05,112500,112500,111000,112000,0.0,0.00%,110200,106675,106475,108321,2425,169860
2018/06/04,109000,113000,108500,112000,▲3000,＋2.75%,109400,106250,106400,108296,21035,170361
2018/06/01,108000,109000,107500,109000,0.0,0.00%,108400,105875,106308,108279,3010,168699
2018/05/31,109000,110000,108000,109000,0.0,0.00%,107800,105650,106267,108292,7437,168184
2018/05/30,108000,109000,106500,109000,▲1000,＋0.93%,107100,105450,106242,108308,1873,167980
2018/05/29,107000,108000,105000,108000,▲1000,＋0.93%,106400,105250,106258,108333,1880,166697
2018/05/28,106000,107500,105500,107000,▲1000,＋0.94%,106300,105100,106300,108354,4201,167015
2018/05/25,103500,106000,103000,106000,▲500,＋0.47%,106300,105000,106375,108379,3995,166624
2018/05/24,105500,106000,104000,105500,0.0,0.00%,106600,104950,106458,108421,3340,166685
2018/05/23,107500,108000,105000,105500,▼2000,－1.86%,107100,104950,106600,108467,6104,166056
2018/05/21,107000,107500,105000,107500,▲500,＋0.47%,107100,104875,106717,108517,4347,165258
2018/05/18,107500,108000,105500,107000,▼500,－0.47%,106400,104725,106800,108558,1509,164284
2018/05/17,108000,108500,106000,107500,▼500,－0.46%,105600,104600,106925,108604,5904,164221
2018/05/16,106000,108500,106000,108000,▲2500,＋2.37%,104600,104500,107033,108646,8404,163875
2018/05/15,104500,108000,104500,105500,▲1500,＋1.44%,103500,104375,107108,108679,5823,162767
2018/05/14,103000,106000,103000,104000,▲1000,＋0.97%,103000,104375,107250,108733,5244,162202
2018/05/11,102500,103500,101500,103000,▲500,＋0.49%,102900,104500,107433,108817,3670,161616
2018/05/10,102500,102500,101000,102500,0.0,0.00%,103200,104675,107633,108892,3146,160878
2018/05/09,102000,102500,100500,102500,▼500,－0.49%,103600,104875,107842,109021,3110,161246
2018/05/08,104000,104000,101500,103000,▼500,－0.48%,104100,105100,108042,109142,3943,161239
2018/05/04,103500,104500,102000,103500,▼1000,－0.96%,104500,105300,108242,109258,5602,161282
2018/05/03,104500,104500,103500,104500,0.0,0.00%,104800,105475,108408,109367,1043,161567
2018/05/02,105000,105000,103000,104500,▼500,－0.48%,104900,105625,108558,109458,1769,161555
2018/04/30,104500,105000,103500,105000,0.0,0.00%,105000,105750,108700,109563,2907,162523
2018/04/27,105000,105000,103500,105000,0.0,0.00%,105100,105850,108833,109663,732,162344
2018/04/26,104000,105500,102500,105000,0.0,0.00%,104900,105975,108967,109767,2087,162336
2018/04/25,104000,105500,104000,105000,0.0,0.00%,104800,106100,109108,109863,245,162380
2018/04/24,106000,106000,104500,105000,▼500,－0.47%,104700,106175,109208,109988,792,162375
2018/04/23,104000,106000,103000,105500,▲1500,＋1.44%,104800,106275,109325,110100,845,162401
2018/04/20,104000,104000,103000,104000,▼500,－0.48%,104800,106375,109408,110196,719,162446
2018/04/19,104500,104500,103000,104500,0.0,0.00%,105100,106550,109467,110313,1729,162469
2018/04/18,105500,106000,103500,104500,▼1000,－0.95%,105500,106750,109517,110429,2042,162925
2018/04/17,104500,105500,104000,105500,0.0,0.00%,105900,106950,109558,110529,769,163016
2018/04/16,105500,105500,104500,105500,0.0,0.00%,106100,107050,109592,110625,541,163104
2018/04/13,105500,106000,104000,105500,▼1000,－0.94%,106400,107075,109608,110729,1359,163039
2018/04/12,106000,106500,105000,106500,0.0,0.00%,106700,107175,109650,110808,678,163087
2018/04/11,106500,106500,105000,106500,0.0,0.00%,106800,107200,109683,110892,1429,162878
2018/04/10,106500,106500,106000,106500,▼500,－0.47%,107000,107225,109725,110988,152,162924
2018/04/09,106000,107000,106000,107000,0.0,0.00%,107100,107300,109758,111075,156,162920
2018/04/06,106500,107000,106000,107000,0.0,0.00%,107100,107400,109767,111125,301,162915
2018/04/05,107500,108000,105500,107000,▼500,－0.47%,107200,107450,109775,111188,1164,162762
2018/04/04,106500,107500,106000,107500,▲500,＋0.47%,107300,107475,109792,111263,637,162648
2018/04/03,107500,107500,106500,107000,0.0,0.00%,107100,107425,109808,111342,149,162394
2018/04/02,107500,111000,107000,107000,▼500,－0.47%,107100,107400,109833,111425,1145,162387
2018/03/30,107500,107500,105500,107500,0.0,0.00%,107200,107425,109883,111483,649,162288
2018/03/29,107000,107500,105000,107500,▲1000,＋0.94%,107200,107550,109917,111533,1042,162246
2018/03/28,106000,106500,105000,106500,▼500,－0.47%,107400,107700,109958,111583,682,162261
2018/03/27,107000,107500,106000,107000,▼500,－0.47%,107800,107950,110008,111638,394,162339
2018/03/26,107000,107500,106000,107500,0.0,0.00%,107900,108150,110050,111700,1276,162260
2018/03/23,106500,108000,105500,107500,▼1000,－0.92%,107600,108475,110083,111767,775,161285
2018/03/22,109000,109000,107000,108500,0.0,0.00%,107600,108725,110108,111846,706,161369
2018/03/21,106500,108500,106000,108500,▲1000,＋0.93%,107300,108925,110075,111913,840,161495
2018/03/20,106000,107500,105500,107500,▲1500,＋1.42%,107000,109225,110025,111975,511,161581
2018/03/19,108000,108000,106000,106000,▼1500,－1.40%,107100,109550,110017,112054,643,161553
2018/03/16,106500,107500,106500,107500,▲500,＋0.47%,107700,109875,110042,112142,440,161557
2018/03/15,107000,107500,106000,107000,0.0,0.00%,107800,110200,110058,112208,951,161548
2018/03/14,107500,107500,105500,107000,▼1000,－0.93%,107900,110600,110092,112271,1440,161595
2018/03/13,109000,109500,107500,108000,▼1000,－0.92%,107800,111000,110117,112329,488,161738
2018/03/12,108500,109000,107500,109000,▲1000,＋0.93%,107500,111350,110133,112396,508,161827
2018/03/09,107000,108500,106500,108000,▲500,＋0.47%,107200,111625,110142,112467,513,161855
2018/03/08,107000,107500,106000,107500,▲1000,＋0.94%,107600,111975,110167,112529,643,161934
2018/03/07,105500,107500,104500,106500,0.0,0.00%,108200,112275,110192,112613,620,162026
2018/03/06,107500,107500,105000,106500,▼1000,－0.93%,109200,112625,110250,112708,1113,162108
2018/03/05,108500,109500,106000,107500,▼2500,－2.27%,110100,112950,110317,112817,1868,162314
2018/03/02,108500,110500,107500,110000,▼500,－0.45%,111400,113225,110375,112896,1313,163319
2018/02/28,111500,111500,109000,110500,▼1000,－0.90%,111900,113375,110408,112975,1356,163490
2018/02/27,111000,111500,109000,111500,▲500,＋0.45%,112300,113525,110408,113050,1813,163645
2018/02/26,112000,114000,110500,111000,▼3000,－2.63%,112900,113500,110383,113100,1268,163883
2018/02/23,112500,114000,112000,114000,▲1500,＋1.33%,113500,113550,110383,113154,3243,163978
2018/02/22,112000,112500,111500,112500,0.0,0.00%,113200,113375,110333,113175,653,163569
2018/02/21,115500,115500,111500,112500,▼2000,－1.75%,113500,113125,110317,113225,2296,163712
2018/02/20,114500,115000,112000,114500,▲500,＋0.44%,114000,112875,110317,113275,647,163803
2018/02/19,112000,114500,111500,114000,▲1500,＋1.33%,114100,112500,110283,113292,832,163772
2018/02/14,113000,114000,110000,112500,▼1500,－1.32%,114300,112175,110258,113304,1251,163962
2018/02/13,115000,115000,113000,114000,▼1000,－0.87%,114700,111875,110250,113329,480,164299
2018/02/12,113000,115000,113000,115000,0.0,0.00%,114900,111575,110217,113325,1947,164458
2018/02/09,112000,115500,112000,115000,0.0,0.00%,114600,111250,110200,113317,1928,165057
2018/02/08,114000,115500,113500,115000,▲500,＋0.44%,114300,110950,110150,113329,4591,165290
2018/02/07,115500,116000,112500,114500,▼500,－0.43%,113900,110625,110200,113358,4097,165047
2018/02/06,113000,115000,112000,115000,▲1500,＋1.32%,113600,110275,110242,113400,2989,164813
2018/02/05,113000,114500,111500,113500,0.0,0.00%,113200,109900,110275,113433,1682,164655
2018/02/02,114000,114000,111500,113500,▲500,＋0.44%,113200,109625,110325,113492,2392,164802
2018/02/01,113000,114000,111500,113000,0.0,0.00%,112700,109375,110358,113550,3334,165045
2018/01/31,112500,114500,110000,113000,0.0,0.00%,112500,109150,110425,113617,4393,164563
2018/01/30,114500,114500,111500,113000,▼500,－0.44%,112000,109000,110492,113700,1474,163360
2018/01/29,111000,115500,110000,113500,▲2500,＋2.25%,110900,108825,110567,113775,2515,163531
2018/01/26,112000,112500,109000,111000,▼1000,－0.89%,109700,108650,110617,113842,2358,163583
2018/01/25,109500,113000,109000,112000,▲1500,＋1.36%,108900,108575,110767,113925,1880,163945
2018/01/24,107500,111000,106500,110500,▲3000,＋2.79%,108000,108450,110875,113996,2862,163815
2018/01/23,107000,107500,106000,107500,0.0,0.00%,107200,108400,110983,114088,1153,163958
2018/01/22,106500,107500,106000,107500,▲500,＋0.47%,107300,108475,111158,114196,1984,163858
2018/01/19,106000,108000,106000,107000,▼500,－0.47%,107500,108425,111342,114304,709,164356
2018/01/18,107000,108000,106000,107500,▲1000,＋0.94%,107900,108350,111500,114413,892,164051
2018/01/17,107000,107500,106000,106500,▼1500,－1.39%,108100,108325,111658,114517,2325,163997
2018/01/16,107500,108500,107000,108000,▼500,－0.46%,108300,108375,111850,114638,902,164326
2018/01/15,108500,108500,107500,108500,▼500,－0.46%,108200,108400,111967,114738,705,164390
2018/01/12,108500,110000,108500,109000,▲500,＋0.46%,108100,108425,112100,114850,921,164451
2018/01/11,107500,108500,107000,108500,▲1000,＋0.93%,108000,108400,112250,114958,1262,164562
2018/01/10,106500,108000,106000,107500,0.0,0.00%,108000,108425,112392,115050,1837,164278
2018/01/09,108500,108500,106000,107500,▼500,－0.46%,108500,108525,112483,115146,1755,164142
2018/01/08,108500,108500,107500,108000,▼500,－0.46%,108900,108625,112600,115246,1500,164124
2018/01/05,108500,108500,107500,108500,0.0,0.00%,109300,108675,112733,115338,1124,164195
2018/01/04,110000,110000,107500,108500,▼1500,－1.36%,109500,108750,112875,115425,1202,164391
2018/01/03,109000,110000,109000,110000,▲500,＋0.46%,109700,108850,113017,115504,242,164932
2018/01/02,109000,110500,108500,109500,▼500,－0.45%,109600,108900,113083,115575,925,164979
2017/12/28,109000,110000,108000,110000,▲500,＋0.46%,109500,109025,113150,115638,2024,165199
2017/12/27,110000,110000,107500,109500,0.0,0.00%,108800,109050,113208,115708,864,165245
2017/12/26,109500,111000,108500,109500,0.0,0.00%,108000,109075,113267,115792,1158,165384
2017/12/22,107000,110000,107000,109500,▲500,＋0.46%,107500,109150,113350,115871,884,165206
2017/12/21,106500,110000,106000,109000,▲2500,＋2.35%,107100,109225,113450,115942,1610,165146
2017/12/20,107000,107000,105500,106500,▲1000,＋0.95%,107000,109350,113583,116017,2950,165151
2017/12/19,107000,108000,105500,105500,▼1500,－1.40%,107500,109650,113750,116113,4647,165801
2017/12/18,108000,108000,105000,107000,▼500,－0.47%,108100,110000,113925,116213,6070,166034
2017/12/15,107500,108000,106500,107500,▼1000,－0.92%,108500,110275,114092,116288,10069,166188
2017/12/14,109000,109000,107500,108500,▼500,－0.46%,108900,110500,114242,116358,4361,166811
2017/12/13,109000,109000,107500,109000,▲500,＋0.46%,109100,110675,114358,116421,3507,166668
2017/12/12,109000,109000,108000,108500,▼500,－0.46%,109100,110925,114450,116483,1714,167436
2017/12/11,110000,110000,108000,109000,▼500,－0.46%,109400,111100,114542,116542,2716,168122
2017/12/08,109500,110500,108000,109500,0.0,0.00%,109700,111550,114658,116604,3555,168457
2017/12/07,110000,111000,108500,109500,▲500,＋0.46%,110000,111925,114792,116663,2036,168571
2017/12/06,111000,111500,108500,109000,▼1000,－0.91%,110500,112300,114892,116729,3943,168639
2017/12/05,110500,111000,109500,110000,▼500,－0.45%,110800,112675,115033,116788,2771,169105
2017/12/04,110500,112000,110000,110500,▼500,－0.45%,110800,112950,115167,116867,1698,169856
2017/12/01,112000,113000,109000,111000,▼1000,－0.89%,110900,113275,115317,116933,4910,170394
2017/11/30,110500,112000,110000,112000,▲1500,＋1.36%,110900,113575,115417,116975,6934,170591
2017/11/29,111000,111000,109500,110500,▲500,＋0.45%,110800,113850,115542,117008,1637,170774
2017/11/28,111000,112500,109500,110000,▼1000,－0.90%,111200,114150,115692,117083,2584,171476
2017/11/27,110500,113500,110500,111000,0.0,0.00%,111700,114650,115817,117163,2028,172649
2017/11/24,111500,112000,110000,111000,▼500,－0.45%,112000,115025,115925,117229,3376,172971
2017/11/23,112500,113000,110000,111500,▼1000,－0.89%,112200,115325,116017,117304,2775,174308
2017/11/22,113000,113500,111500,112500,0.0,0.00%,112300,115650,116133,117367,2798,175479
2017/11/21,113000,113500,112000,112500,0.0,0.00%,112600,115950,116233,117417,2029,175420
2017/11/20,111500,113500,111500,112500,▲500,＋0.45%,112500,116150,116300,117454,1176,175993
2017/11/17,111500,113000,111500,112000,0.0,0.00%,113600,116375,116350,117471,1568,176298
