[일시]한화케미칼,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,22100,22700,21950,22600,▲700,＋3.20%,21800,20993,19590,19253,1045679,38948014
2019/01/29,21950,22100,21600,21900,▼100,－0.45%,21540,20853,19513,19236,655613,38792525
2019/01/28,21450,22200,21450,22000,▲550,＋2.56%,21410,20768,19421,19229,1106582,38851862
2019/01/25,20900,21650,20850,21450,▲400,＋1.90%,21360,20665,19323,19222,729996,38669681
2019/01/24,21100,21400,20850,21050,▼250,－1.17%,21360,20585,19224,19218,617939,38573422
2019/01/23,21100,21400,20750,21300,▲50,＋0.24%,21450,20548,19128,19220,639934,38516055
2019/01/22,21800,21900,21000,21250,▼500,－2.30%,21490,20503,19051,19213,890571,38511915
2019/01/21,21550,21950,21550,21750,▲300,＋1.40%,21550,20440,18986,19204,661384,38604289
2019/01/18,21750,21900,21250,21450,▼50,－0.23%,21510,20383,18904,19190,765889,38527914
2019/01/17,21450,21950,21300,21500,0.0,0.00%,21500,20313,18826,19180,905158,38488677
2019/01/16,21550,21550,21050,21500,▼50,－0.23%,21240,20278,18757,19170,1097035,38480220
2019/01/15,21400,21700,21200,21550,0.0,0.00%,20980,20228,18676,19158,838246,38622267
2019/01/14,21500,21600,21000,21550,▲150,＋0.70%,20550,20160,18597,19148,957724,38683059
2019/01/11,20450,21500,20300,21400,▲1200,＋5.94%,20150,20083,18524,19139,2176714,38949180
2019/01/10,20100,20400,19900,20200,0.0,0.00%,19720,20005,18443,19132,708061,38588229
2019/01/09,19500,20250,19450,20200,▲800,＋4.12%,19480,19953,18382,19138,770974,38552012
2019/01/08,19800,19900,19300,19400,▼150,－0.77%,19400,19915,18326,19139,515389,38526156
2019/01/07,19550,20200,19500,19550,▲300,＋1.56%,19560,19925,18282,19148,636467,38553746
2019/01/04,18850,19450,18600,19250,▲250,＋1.32%,19640,19883,18255,19161,746255,38436530
2019/01/03,19850,19850,18550,19000,▼800,－4.04%,19760,19873,18248,19176,1282979,38433747
2019/01/02,20350,20700,19600,19800,▼400,－1.98%,20020,19890,18248,19192,765015,38282418
2018/12/28,20000,20550,19900,20200,▲250,＋1.25%,20140,19845,18231,19200,598925,38359591
2018/12/27,20150,20250,19850,19950,▲100,＋0.50%,20100,19785,18213,19204,508244,38355432
2018/12/26,19900,20100,19700,19850,▼450,－2.22%,20230,19715,18196,19210,768058,38430288
2018/12/24,20200,20700,20150,20300,▼100,－0.49%,20270,19648,18187,19216,581954,38408130
2018/12/21,19900,20400,19800,20400,▲400,＋2.00%,20370,19550,18168,19229,842284,38515952
2018/12/20,20300,20350,19800,20000,▼600,－2.91%,20390,19425,18138,19241,970812,38454159
2018/12/19,20250,20700,20200,20600,▲550,＋2.74%,20430,19330,18109,19254,853220,38485915
2018/12/18,20600,20700,19900,20050,▼750,－3.61%,20310,19225,18077,19271,1293363,38436437
2018/12/17,20500,20900,20450,20800,▲300,＋1.46%,20270,19113,18053,19295,1009855,38471787
2018/12/14,20200,20900,20200,20500,▲300,＋1.49%,19940,18965,18020,19306,1679982,38568894
2018/12/13,20100,20400,20000,20200,▲200,＋1.00%,19730,18805,18001,19318,1386269,38588127
2018/12/12,20050,20400,19750,20000,▲150,＋0.76%,19610,18628,17983,19338,1353740,38463151
2018/12/11,19250,20000,18700,19850,▲700,＋3.66%,19350,18478,17963,19358,1401764,38629454
2018/12/10,19150,19350,18800,19150,▼300,－1.54%,19190,18315,17945,19392,699616,38748960
2018/12/07,19700,19900,19250,19450,▼150,－0.77%,19230,18243,17955,19436,1102531,38844234
2018/12/06,18650,20000,18650,19600,▲900,＋4.81%,19120,18155,17962,19478,3177446,39200606
2018/12/05,18600,18900,18500,18700,▼350,－1.84%,19000,18065,17963,19528,774920,39072507
2018/12/04,19350,19600,18950,19050,▼300,－1.55%,18970,18003,17983,19588,973101,39077888
2018/12/03,19300,19450,18950,19350,▲450,＋2.38%,18860,17940,18003,19642,972076,39163571
2018/11/30,19150,19300,18850,18900,▼100,－0.53%,18660,17888,18019,19691,989706,39244947
2018/11/29,18900,19300,18550,19000,▲450,＋2.43%,18460,17843,18042,19745,1852153,39369203
2018/11/28,18400,18650,17800,18550,▲50,＋0.27%,18280,17710,18073,19796,1204539,39320217
2018/11/27,18550,18650,18150,18500,▲150,＋0.82%,18270,17590,18119,19857,752180,39500756
2018/11/26,18050,18600,17850,18350,▲450,＋2.51%,18130,17440,18146,19918,1020391,39669336
2018/11/23,18200,18500,17850,17900,▼200,－1.10%,18030,17288,18167,19983,645558,39803853
2018/11/22,18700,18700,18000,18100,▼400,－2.16%,17910,17225,18195,20060,655717,39881699
2018/11/21,17650,18650,17650,18500,▲700,＋3.93%,17620,17188,18218,20137,1699820,40078633
2018/11/20,17450,18050,17450,17800,▼50,－0.28%,17320,17105,18243,20203,676810,40032611
2018/11/19,17450,18100,17450,17850,▲550,＋3.18%,17080,17053,18290,20281,956469,40087548
2018/11/16,16800,17700,16650,17300,▲650,＋3.90%,17050,17028,18336,20361,1137669,40176601
2018/11/15,16800,16850,16350,16650,▼350,－2.06%,17130,16995,18388,20451,746495,39917017
2018/11/14,16650,17150,16600,17000,▲400,＋2.41%,17360,17003,18441,20550,978142,40108555
2018/11/13,17200,17350,15950,16600,▼1100,－6.21%,17450,17013,18500,20641,2628573,40004656
2018/11/12,17600,17900,17400,17700,0.0,0.00%,17690,17010,18568,20740,629609,40234058
2018/11/09,17800,17950,17450,17700,▼100,－0.56%,17810,16950,18628,20839,471290,40223624
2018/11/08,17950,18100,17700,17800,▲350,＋2.01%,17870,16908,18687,20938,981490,40169882
2018/11/07,17900,18150,17300,17450,▼350,－1.97%,17580,16855,18738,21032,829887,40070649
2018/11/06,18450,18450,17600,17800,▼500,－2.73%,17320,16880,18803,21128,869646,40050573
2018/11/05,17900,18700,17200,18300,▲300,＋1.67%,16860,16933,18858,21209,2250438,40062304
2018/11/02,16500,18250,16500,18000,▲1650,＋10.09%,16260,16965,18916,21285,2459409,40213370
2018/11/01,16250,16850,16200,16350,▲200,＋1.24%,15990,17005,18959,21369,863418,39454754
2018/10/31,15750,16200,15450,16150,▲650,＋4.19%,16190,17145,19037,21472,1160264,39288371
2018/10/30,15300,15850,14700,15500,▲200,＋1.31%,16330,17283,19120,21579,1687340,39053331
2018/10/29,16650,16900,15250,15300,▼1350,－8.11%,16580,17473,19213,21691,2333283,39052575
2018/10/26,17350,17400,16500,16650,▼700,－4.03%,16990,17668,19313,21803,912288,39551043
2018/10/25,16500,17350,16400,17350,▲500,＋2.97%,16990,17763,19375,21903,989273,39770416
2018/10/24,17000,17200,16750,16850,▲100,＋0.60%,16880,17810,19422,21995,786380,39669246
2018/10/23,17250,17250,16600,16750,▼600,－3.46%,16950,17900,19476,22096,690283,39661457
2018/10/22,16600,17350,16300,17350,▲700,＋4.20%,16910,17993,19534,22201,839896,39741418
2018/10/19,16550,16650,16250,16650,▼150,－0.89%,16740,18068,19583,22303,761304,39718820
2018/10/18,17150,17200,16700,16800,▼400,－2.33%,16780,18203,19639,22407,489261,39790080
2018/10/17,16900,17450,16900,17200,▲650,＋3.93%,16770,18318,19700,22515,1145994,39849644
2018/10/16,16500,16850,16450,16550,▲50,＋0.30%,16920,18398,19753,22611,454281,39587807
2018/10/15,16850,16900,16500,16500,▼350,－2.08%,17380,18510,19821,22712,712281,39559412
2018/10/12,16600,17050,16550,16850,▲100,＋0.60%,17870,18673,19895,22819,1063130,39628576
2018/10/11,17000,17500,16750,16750,▼1200,－6.69%,18260,18823,19953,22926,1650365,39588740
2018/10/10,18800,18850,17850,17950,▼900,－4.77%,18740,18970,20015,23035,1547807,39711309
2018/10/08,18800,19050,18700,18850,▼100,－0.53%,18930,19068,20068,23130,531220,39962429
2018/10/05,18600,19100,18550,18950,▲150,＋0.80%,19020,19135,20103,23219,721372,40012490
2018/10/04,19150,19250,18600,18800,▼350,－1.83%,19070,19205,20137,23308,987604,39913259
2018/10/02,18900,19300,18900,19150,▲250,＋1.32%,19020,19278,20169,23401,632874,39843007
2018/10/01,19350,19400,18850,18900,▼400,－2.07%,18850,19365,20194,23480,614355,39706175
2018/09/28,19300,19400,19050,19300,▲100,＋0.52%,18800,19485,20224,23568,744900,39765028
2018/09/27,18350,19300,18350,19200,▲650,＋3.50%,18660,19525,20246,23652,1260069,39859802
2018/09/21,18650,18800,18400,18550,▲250,＋1.37%,18590,19545,20290,23740,796864,39466475
2018/09/20,18700,18750,18000,18300,▼350,－1.88%,18750,19598,20345,23832,1264508,39553091
2018/09/19,18650,18750,18450,18650,▲50,＋0.27%,18910,19658,20398,23922,563784,39702646
2018/09/18,18750,18800,18450,18600,▼250,－1.33%,18940,19725,20465,24016,859683,39704652
2018/09/17,19100,19300,18800,18850,▼500,－2.58%,18980,19825,20537,24106,842597,39769447
2018/09/14,19150,19500,19150,19350,▲250,＋1.31%,19160,19913,20593,24195,625612,40028356
2018/09/13,18800,19200,18750,19100,▲300,＋1.60%,19260,19965,20635,24288,1124222,40006797
2018/09/12,18900,19000,18700,18800,0.0,0.00%,19380,20003,20693,24373,873577,39832584
2018/09/11,19800,19850,18700,18800,▼950,－4.81%,19600,20090,20754,24467,3066919,39916560
2018/09/10,19750,19950,19550,19750,▼100,－0.50%,19880,20185,20839,24564,611522,40619057
2018/09/07,19600,19950,19400,19850,▲150,＋0.76%,20000,20260,20917,24656,781032,40709990
2018/09/06,19900,19950,19600,19700,▼200,－1.01%,20080,20330,20994,24745,927209,40918319
2018/09/05,20100,20250,19850,19900,▼300,－1.49%,20320,20390,21092,24840,868122,41002141
2018/09/04,20450,20500,19900,20200,▼150,－0.74%,20600,20463,21192,24929,955070,41026536
2018/09/03,20300,20650,20300,20350,▲100,＋0.49%,20580,20508,21281,25022,708030,41106828
2018/08/31,20750,20800,20200,20250,▼650,－3.11%,20430,20578,21363,25113,1516727,41113335
2018/08/30,21250,21250,20750,20900,▼400,－1.88%,20300,20595,21448,25203,1151148,41572648
2018/08/29,20250,21350,20200,21300,▲1200,＋5.97%,20020,20600,21518,25285,3037760,41756935
2018/08/28,19800,20150,19650,20100,▲500,＋2.55%,19760,20593,21594,25366,1238341,41180817
2018/08/27,19650,19850,19450,19600,0.0,0.00%,19860,20640,21690,25455,985505,41134940
2018/08/24,19500,19650,19300,19600,▲100,＋0.51%,20060,20725,21800,25560,962837,41090647
2018/08/23,20100,20100,19250,19500,▼500,－2.50%,20220,20765,21924,25673,1966446,41170540
2018/08/22,20600,20700,20000,20000,▼600,－2.91%,20290,20798,22055,25791,1029484,41716158
2018/08/21,20650,20700,20250,20600,0.0,0.00%,20400,20803,22163,25906,834489,41786474
2018/08/20,20650,20950,20500,20600,▲200,＋0.98%,20420,20785,22273,26016,754640,41969874
2018/08/17,19950,20550,19950,20400,▲550,＋2.77%,20550,20770,22387,26114,990517,41865401
2018/08/16,20200,20200,19250,19850,▼700,－3.41%,20720,20750,22515,26223,1816780,41742703
2018/08/14,20700,20800,20300,20550,▼150,－0.72%,20930,20780,22659,26337,939278,42100117
2018/08/13,21600,21650,20500,20700,▼550,－2.59%,21090,20773,22782,26445,1171058,42139980
2018/08/10,21350,21400,21000,21250,0.0,0.00%,21170,20768,22913,26541,513022,42275377
2018/08/09,21050,21500,20900,21250,▲350,＋1.67%,21270,20753,23050,26632,1136550,42414265
2018/08/08,21150,21350,20900,20900,▼450,－2.11%,21140,20705,23189,26723,791465,42519532
2018/08/07,21200,21450,20950,21350,▲250,＋1.18%,21160,20685,23326,26818,585140,42708540
2018/08/06,21700,22000,21050,21100,▼650,－2.99%,21120,20673,23453,26912,1009863,42766507
2018/08/03,20850,21800,20700,21750,▲1150,＋5.58%,21110,20668,23560,27006,1791916,42991880
2018/08/02,21000,21350,20500,20600,▼400,－1.90%,21020,20628,23653,27104,886520,42473920
2018/08/01,21300,21350,20800,21000,▼150,－0.71%,20980,20635,23778,27216,959238,42518974
2018/07/31,21050,21250,20800,21150,▲100,＋0.48%,20810,20618,23908,27336,558114,42733022
2018/07/30,21250,21350,20900,21050,▼250,－1.17%,20600,20595,24038,27457,713751,42844130
2018/07/27,20600,21400,20600,21300,▲900,＋4.41%,20440,20573,24169,27575,1221621,43101174
2018/07/26,20300,20450,20100,20400,▲250,＋1.24%,20240,20600,24293,27693,786075,43095346
2018/07/25,20300,20600,20100,20150,▲50,＋0.25%,20160,20673,24432,27825,939286,43008452
2018/07/24,20400,20450,20000,20100,▼150,－0.74%,20220,20740,24569,27955,852830,43021482
2018/07/23,20500,21000,20200,20250,▼50,－0.25%,20280,20868,24716,28083,812461,43012086
2018/07/20,19950,20500,19950,20300,▲300,＋1.50%,20350,21000,24868,28203,568533,43238053
2018/07/19,20450,20550,19800,20000,▼450,－2.20%,20480,21095,25022,28332,920453,43243641
2018/07/18,20500,20750,20400,20450,▲50,＋0.25%,20540,21190,25174,28454,436145,43325364
2018/07/17,20700,20900,20400,20400,▼200,－0.97%,20550,21298,25329,28565,602172,43303066
2018/07/16,20950,21150,20600,20600,▼350,－1.67%,20690,21400,25469,28673,541235,43467123
2018/07/13,20500,21150,20500,20950,▲650,＋3.20%,20770,21565,25603,28783,900233,43507039
2018/07/12,20650,20850,20300,20300,▼200,－0.98%,20770,21738,25743,28895,1186149,43322253
2018/07/11,20800,21050,20300,20500,▼600,－2.84%,20860,21948,25900,29012,975550,43480747
2018/07/10,21300,21650,21000,21100,▲100,＋0.48%,20890,22200,26055,29113,736154,43626246
2018/07/09,20800,21150,20500,21000,▲50,＋0.24%,20810,22440,26193,29210,606721,43862213
2018/07/06,20750,21050,20250,20950,▲200,＋0.96%,20730,22668,26335,29317,740522,43933139
2018/07/05,20650,20850,20450,20750,▲100,＋0.48%,20910,22885,26478,29425,536610,44134779
2018/07/04,20550,20900,20400,20650,▼50,－0.24%,21130,23113,26633,29533,528385,44155262
2018/07/03,20800,21050,20350,20700,▲100,＋0.49%,21300,23338,26766,29642,792781,44134326
2018/07/02,21850,21900,20600,20600,▼1250,－5.72%,21690,23595,26913,29740,1248493,43926470
2018/06/29,22100,22250,21250,21850,0.0,0.00%,22150,23858,27058,29843,770348,43955135
2018/06/28,21500,22450,21500,21850,▲350,＋1.63%,22220,24075,27190,29932,984780,44145854
2018/06/27,22650,22650,21400,21500,▼1150,－5.08%,22230,24335,27318,30013,1438092,44151495
2018/06/26,22500,22800,22200,22650,▼250,－1.09%,22450,24628,27446,30087,497518,44659466
2018/06/25,22300,23000,22100,22900,▲700,＋3.15%,22410,24820,27568,30151,930455,44810057
2018/06/22,21700,22300,21150,22200,▲300,＋1.37%,22610,25033,27676,30210,1233556,44862525
2018/06/21,22500,22650,21750,21900,▼700,－3.10%,23050,25295,27797,30276,1088088,44917386
2018/06/20,22200,23050,22200,22600,▲150,＋0.67%,23570,25605,27941,30346,1204144,44912841
2018/06/19,23950,23950,22400,22450,▼1450,－6.07%,24160,25900,28053,30406,2496210,44916732
2018/06/18,24400,24750,23600,23900,▼500,－2.05%,24850,26173,28180,30467,1140642,45376932
2018/06/15,24700,24850,24150,24400,▼100,－0.41%,25180,26405,28289,30517,994847,45334659
2018/06/14,25400,25500,24500,24500,▼1050,－4.11%,25360,26660,28395,30562,1395185,45397465
2018/06/12,26200,26200,25500,25550,▼350,－1.35%,25520,26915,28497,30609,676691,45643137
2018/06/11,25750,26050,25350,25900,▲350,＋1.37%,25440,27093,28588,30654,570192,45792692
2018/06/08,25300,26100,25200,25550,▲250,＋0.99%,25430,27248,28666,30699,1077261,45795609
2018/06/07,25350,25500,25100,25300,0.0,0.00%,25490,27345,28763,30735,1111188,45811999
2018/06/05,25250,25500,25150,25300,▲150,＋0.60%,25670,27448,28863,30773,851287,45820391
2018/06/04,25900,26000,25050,25150,▼700,－2.71%,26020,27588,28958,30815,1587029,45761564
2018/06/01,26050,26250,25800,25850,0.0,0.00%,26460,27768,29053,30862,529217,45847963
2018/05/31,26350,26500,25700,25850,▼350,－1.34%,26590,27923,29138,30898,1220062,45894864
2018/05/30,27000,27000,26150,26200,▼850,－3.14%,26850,28078,29220,30924,770760,45872481
2018/05/29,27250,27400,27050,27050,▼300,－1.10%,27100,28203,29320,30949,338542,46008671
2018/05/28,26650,27450,26650,27350,▲850,＋3.21%,27310,28288,29423,30972,723969,46017126
2018/05/25,27100,27250,26450,26500,▼650,－2.39%,27540,28340,29527,30992,972554,45986536
2018/05/24,27600,27650,27050,27150,▼300,－1.09%,27820,28460,29648,31020,710027,46184097
2018/05/23,27900,28000,27350,27450,▼650,－2.31%,28100,28573,29759,31046,954021,46299291
2018/05/21,28550,28550,28050,28100,▼400,－1.40%,28510,28675,29842,31068,478282,46610288
2018/05/18,27950,28600,27900,28500,▲600,＋2.15%,28810,28728,29932,31087,554274,46788026
2018/05/17,28500,28750,27800,27900,▼650,－2.28%,28930,28790,30014,31100,1092887,46805270
2018/05/16,29150,29200,28450,28550,▼950,－3.22%,29150,28835,30108,31117,815698,46950121
2018/05/15,30000,30250,29250,29500,▼100,－0.34%,28940,28838,30170,31132,991737,47070051
2018/05/14,29100,29850,28900,29600,▲500,＋1.72%,28510,28830,30214,31143,1110701,47086607
2018/05/11,29350,29650,28800,29100,▲100,＋0.34%,28210,28838,30256,31140,816133,47040926
2018/05/10,27750,29150,27700,29000,▲1500,＋5.45%,28140,28873,30310,31149,1273757,47115569
2018/05/09,27100,27700,27100,27500,▲150,＋0.55%,28130,28890,30370,31156,750463,46931584
2018/05/08,28350,28550,27350,27350,▼750,－2.67%,28420,28993,30452,31183,999623,47015734
2018/05/04,28750,28750,28100,28100,▼650,－2.26%,28690,29103,30555,31215,895464,47021939
2018/05/03,29050,29100,28650,28750,▼200,－0.69%,28820,29200,30653,31242,401055,47194441
2018/05/02,29350,29850,28750,28950,0.0,0.00%,28750,29193,30764,31262,1109686,47253373
2018/04/30,28800,29000,28500,28950,▲250,＋0.87%,28740,29220,30877,31285,484058,47420646
2018/04/27,29000,29250,28500,28700,▼50,－0.17%,28830,29238,30981,31312,570550,47446150
2018/04/26,28550,29050,28550,28750,▲350,＋1.23%,28990,29293,31094,31347,559165,47431155
2018/04/25,28650,29150,28250,28400,▼500,－1.73%,29070,29333,31218,31370,972082,47218559
2018/04/24,29500,29600,28850,28900,▼500,－1.70%,29340,29370,31340,31388,742338,47212307
2018/04/23,29800,29800,29100,29400,▼100,－0.34%,29320,29423,31451,31400,603051,47270187
2018/04/20,29150,29600,29100,29500,▲350,＋1.20%,29160,29423,31538,31420,393721,47230359
2018/04/19,29850,30300,29000,29150,▼600,－2.02%,29130,29420,31642,31443,921032,47238479
2018/04/18,29100,29800,29000,29750,▲950,＋3.30%,29250,29490,31734,31478,884562,47456241
2018/04/17,28800,28850,28550,28800,▲200,＋0.70%,29260,29470,31801,31510,514625,47364434
2018/04/16,29500,29600,28500,28600,▼750,－2.56%,29370,29533,31876,31547,1043026,47452727
2018/04/13,29750,30000,29350,29350,▼400,－1.34%,29560,29625,31963,31585,478879,47721553
2018/04/12,29900,30050,29650,29750,▼50,－0.17%,29600,29695,32047,31613,618637,47858392
2018/04/11,29500,30000,29500,29800,▲450,＋1.53%,29660,29738,32124,31645,762271,48023131
2018/04/10,29400,29600,29050,29350,▼200,－0.68%,29420,29798,32170,31681,479010,48149411
2018/04/09,29300,29800,29300,29550,0.0,0.00%,29450,29860,32228,31715,453968,48147737
2018/04/06,29900,29900,29350,29550,▼500,－1.66%,29400,29950,32298,31746,451664,48178897
2018/04/05,28950,30100,28950,30050,▲1450,＋5.07%,29450,30038,32372,31779,924809,48341680
2018/04/04,29500,29800,28600,28600,▼900,－3.05%,29350,30088,32433,31800,683737,48119149
2018/04/03,29000,29500,28600,29500,▲200,＋0.68%,29460,30198,32518,31837,483431,48173852
2018/04/02,29900,29950,29250,29300,▼500,－1.68%,29550,30270,32568,31861,538117,48220716
2018/03/30,29750,30100,29450,29800,▲250,＋0.85%,29570,30345,32628,31888,462306,48424103
2018/03/29,29350,30100,29200,29550,▲400,＋1.37%,29500,30465,32674,31919,743590,48469279
2018/03/28,29650,29800,29000,29150,▼800,－2.67%,29700,30648,32708,31947,737385,48598618
2018/03/27,30000,30200,29700,29950,▲550,＋1.87%,29740,30870,32728,31973,580659,48696772
2018/03/26,29450,30000,29200,29400,▼50,－0.17%,29760,31063,32734,32020,582286,48771329
2018/03/23,29950,30200,29450,29450,▼1100,－3.60%,29970,31283,32743,32083,715398,48851763
2018/03/22,29450,30550,29450,30550,▲1200,＋4.09%,30230,31430,32755,32149,1108297,48975551
2018/03/21,30000,30000,29250,29350,▼700,－2.33%,30240,31578,32752,32211,1189370,48900441
2018/03/20,30500,30550,29900,30050,▼400,－1.31%,30570,31783,32759,32283,780473,48924726
2018/03/19,30900,30950,30450,30450,▼300,－0.98%,30680,31958,32753,32344,444770,49055418
2018/03/16,30600,30850,30400,30750,▲150,＋0.49%,30860,32048,32745,32399,482544,49069337
2018/03/15,30900,30950,30450,30600,▼400,－1.29%,30970,32118,32728,32456,849033,49003759
2018/03/14,30400,31000,30400,31000,▲400,＋1.31%,31060,32193,32722,32510,541450,49006574
2018/03/13,31350,31350,30450,30600,▼750,－2.39%,31020,32260,32720,32560,1190752,48949114
2018/03/12,31700,31700,31100,31350,▲50,＋0.16%,31090,32360,32732,32602,683224,48883040
2018/03/09,31150,31850,31150,31300,▲250,＋0.81%,30980,32413,32708,32638,623960,48894381
2018/03/08,30750,31250,30350,31050,▲250,＋0.81%,31160,32525,32684,32672,825389,48925382
2018/03/07,31000,31450,30800,30800,▼150,－0.48%,31590,32673,32673,32699,615668,48831175
2018/03/06,31150,31250,30850,30950,▲150,＋0.49%,32150,32903,32671,32733,787061,48772738
2018/03/05,32100,32150,30600,30800,▼1400,－4.35%,32720,33140,32659,32770,1293571,48844125
2018/03/02,32450,32800,31850,32200,▼1000,－3.01%,33320,33360,32628,32808,959917,48705967
2018/02/28,33400,33550,32850,33200,▼400,－1.19%,33360,33525,32578,32831,752308,48639706
2018/02/27,34200,34300,33550,33600,▼200,－0.59%,33420,33675,32521,32847,442046,48601788
2018/02/26,34250,34650,33750,33800,0.0,0.00%,33390,33780,32457,32859,703427,48662676
2018/02/23,33200,34350,32900,33800,▲1400,＋4.32%,33340,33868,32392,32875,1365757,48799600
2018/02/22,33250,33250,32150,32400,▼1100,－3.28%,33030,33910,32333,32886,891458,48592240
2018/02/21,33250,33700,32950,33500,▲50,＋0.15%,32980,34075,32295,32909,491218,48745733
2018/02/20,33550,33850,33250,33450,▼100,－0.30%,32700,34135,32243,32925,413410,48921744
2018/02/19,32750,33850,32750,33550,▲1300,＋4.03%,32480,34150,32186,32938,731692,49005760
2018/02/14,32350,32700,32100,32250,▲100,＋0.31%,32290,34138,32126,32952,383573,49078506
2018/02/13,32250,33000,32100,32150,▲50,＋0.16%,32320,34218,32093,32978,524806,49113327
2018/02/12,32500,32750,31750,32100,▼250,－0.77%,32600,34328,32071,33002,615584,49105586
2018/02/09,31500,32550,31250,32350,▼250,－0.77%,32980,34443,32025,33030,650521,49114134
2018/02/08,32400,33150,32300,32600,▲200,＋0.62%,33590,34453,31988,33042,736856,49008605
2018/02/07,34000,34400,32250,32400,▼1150,－3.43%,34210,34465,31943,33050,823229,48900975
2018/02/06,32800,33650,32500,33550,▼450,－1.32%,34770,34533,31914,33059,1148301,48926175
2018/02/05,34550,34850,33900,34000,▼1400,－3.95%,35160,34553,31874,33060,768479,48815246
2018/02/02,36000,36150,34950,35400,▼300,－0.84%,35600,34540,31830,33056,870299,48763315
2018/02/01,35050,36000,34450,35700,▲500,＋1.42%,35660,34455,31760,33037,1222750,48695580
2018/01/31,35050,35550,34450,35200,▼300,－0.85%,35630,34295,31693,33013,743400,48708026
2018/01/30,36000,36450,35400,35500,▼700,－1.93%,35520,34180,31643,32998,750764,48669387
2018/01/29,36000,36600,35900,36200,▲500,＋1.40%,35560,34033,31599,32980,968881,48620606
2018/01/26,35650,35950,35200,35700,▲150,＋0.42%,35260,33803,31523,32960,673690,48446881
2018/01/25,34500,35650,34350,35550,▲900,＋2.60%,34870,33535,31435,32932,993006,48374561
2018/01/24,35700,36250,34450,34650,▼1050,－2.94%,34420,33273,31349,32912,1237557,48181950
2018/01/23,33600,35900,33200,35700,▲1000,＋2.88%,34260,33038,31302,32899,2357381,48223555
2018/01/22,33750,34800,33550,34700,▲950,＋2.81%,33990,32760,31244,32875,1165447,48093226
2018/01/19,33250,33850,32950,33750,▲450,＋1.35%,33930,32543,31222,32861,886900,48067863
2018/01/18,34000,34100,33100,33300,▼550,－1.62%,33690,32345,31220,32859,857495,47903976
2018/01/17,34350,34700,33600,33850,▼500,－1.46%,33600,32165,31218,32863,876463,47968749
2018/01/16,34500,34550,33650,34350,▼50,－0.15%,33580,31970,31206,32855,1015149,48078917
2018/01/15,33000,34900,32750,34400,▲1850,＋5.68%,33500,31740,31178,32838,2349331,48287147
2018/01/12,33200,33300,32350,32550,▼300,－0.91%,33370,31530,31167,32819,969256,48204587
2018/01/11,33850,33900,32100,32850,▼900,－2.67%,33600,31448,31192,32813,1518099,48075711
2018/01/10,34100,34350,33350,33750,▼200,－0.59%,33530,31370,31201,32800,972838,48213563
2018/01/09,34250,34400,33100,33950,▲200,＋0.59%,33360,31178,31194,32775,1290943,48341187
2018/01/08,33900,34200,33050,33750,▲50,＋0.15%,33080,30975,31186,32757,1139052,48302589
2018/01/05,32850,34100,32750,33700,▲1200,＋3.69%,32650,30805,31167,32739,1769238,48316252
2018/01/04,33150,33500,32450,32500,▼400,－1.22%,31980,30655,31155,32721,1392314,48347910
2018/01/03,32200,33200,32150,32900,▲350,＋1.08%,31540,30543,31154,32713,1245601,48484883
2018/01/02,32000,32700,31650,32550,▲950,＋3.01%,30950,30343,31148,32697,1637347,48398942
2017/12/28,30450,31700,30050,31600,▲1250,＋4.12%,30470,30178,31163,32683,1202174,48474333
2017/12/27,30200,30400,29900,30350,▲50,＋0.17%,30220,30085,31186,32675,434443,48273649
2017/12/26,30050,30500,30000,30300,▲350,＋1.17%,30110,30055,31218,32674,636728,48357027
2017/12/22,30200,30300,29750,29950,▼200,－0.66%,29990,30035,31307,32672,570493,48359275
2017/12/21,30550,30600,29950,30150,▼200,－0.66%,29990,30050,31423,32676,553466,48438834
2017/12/20,30100,30650,29950,30350,▲550,＋1.85%,29910,30050,31543,32673,882539,48561540
2017/12/19,29900,30150,29600,29800,▲100,＋0.34%,29880,30050,31671,32669,426788,48528102
2017/12/18,30200,30250,29700,29700,▼250,－0.83%,30100,30063,31808,32666,512837,48634840
2017/12/15,29900,30200,29750,29950,▲200,＋0.67%,30420,30075,31935,32666,654117,48701253
2017/12/14,30350,30650,29750,29750,▼450,－1.49%,30410,30093,32053,32667,986134,48805225
2017/12/13,30750,30800,29650,30200,▼700,－2.27%,30440,30145,32183,32676,1352217,48906783
2017/12/12,31350,31850,30550,30900,▼400,－1.28%,30470,30103,32298,32666,1229315,49250931
2017/12/11,30100,31350,30100,31300,▲1400,＋4.68%,30430,30063,32400,32649,1420901,49574045
2017/12/08,29900,30550,29850,29900,0.0,0.00%,30220,29993,32473,32626,571517,49330593
2017/12/07,30450,30600,29350,29900,▼450,－1.48%,30020,30033,32569,32617,786635,49286384
2017/12/06,30700,30800,30250,30350,▼350,－1.14%,29890,30095,32660,32614,769067,49450408
2017/12/05,30250,30800,29900,30700,▲450,＋1.49%,29770,30145,32726,32608,921459,49499105
2017/12/04,28900,30300,28900,30250,▲1350,＋4.67%,29580,30170,32794,32598,1006704,49589228
2017/12/01,29300,29450,28350,28900,▼350,－1.20%,29510,30240,32880,32586,1208315,49495746
2017/11/30,29950,29950,29250,29250,▼500,－1.68%,29780,30408,32988,32592,946128,49329887
