[일시]LG,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,76900,77200,75500,77200,▲1300,＋1.71%,76520,73160,71350,70564,281431,59751315
2019/01/29,76500,76800,75100,75900,▼1200,－1.56%,76060,72705,71180,70538,173312,59703032
2019/01/28,76700,77600,75700,77100,0.0,0.00%,75860,72405,71002,70531,202032,59671736
2019/01/25,75400,77200,75000,77100,▲1800,＋2.39%,75480,71985,70822,70517,302555,59669006
2019/01/24,73700,75300,73500,75300,▲400,＋0.53%,75160,71600,70593,70508,241607,59613456
2019/01/23,74600,75300,73100,74900,0.0,0.00%,74980,71410,70385,70504,177655,59563837
2019/01/22,74600,75800,74300,74900,▼300,－0.40%,74860,71245,70170,70516,115169,59588561
2019/01/21,75800,76200,74500,75200,▼300,－0.40%,74520,71070,69995,70520,164235,59588511
2019/01/18,75100,75500,74400,75500,▲1100,＋1.48%,73480,70875,69815,70523,187690,59579504
2019/01/17,74600,74900,74000,74400,▲100,＋0.13%,72540,70715,69613,70523,243924,59577239
2019/01/16,73400,74300,72600,74300,▲1100,＋1.50%,71740,70720,69453,70531,190700,59496401
2019/01/15,70700,73400,69900,73200,▲3200,＋4.57%,70940,70695,69295,70525,204124,59448802
2019/01/14,70800,70800,69100,70000,▼800,－1.13%,70060,70720,69165,70526,169610,59415879
2019/01/11,70800,71000,70000,70800,▲400,＋0.57%,70060,70785,69095,70561,214367,59385568
2019/01/10,70900,72500,70000,70400,▲100,＋0.14%,69800,70620,69002,70573,358356,59378303
2019/01/09,68600,70900,68300,70300,▲1500,＋2.18%,69400,70510,68922,70592,213079,59355749
2019/01/08,71000,71000,68600,68800,▼1200,－1.71%,68960,70520,68822,70604,119131,59340322
2019/01/07,70100,70600,69000,70000,▲500,＋0.72%,69180,70620,68723,70635,177297,59326613
2019/01/04,69600,69800,67500,69500,▲1100,＋1.61%,68920,70705,68677,70654,176280,59331412
2019/01/03,68200,69700,67600,68400,▲300,＋0.44%,68900,70815,68680,70662,117519,59337919
2019/01/02,69400,70000,67800,68100,▼1800,－2.58%,69520,71015,68738,70667,135878,59322163
2018/12/28,69000,70500,68700,69900,▲1200,＋1.75%,70220,71220,68810,70682,145775,59336340
2018/12/27,68400,69500,67200,68700,▼700,－1.01%,70520,71375,68855,70683,149994,59314467
2018/12/26,70700,71400,68700,69400,▼2100,－2.94%,71040,71515,68932,70690,173278,59339020
2018/12/24,71600,72200,70700,71500,▼100,－0.14%,71620,71665,68985,70700,135299,59360409
2018/12/21,72000,72000,70600,71600,▲200,＋0.28%,72220,71635,69000,70705,331052,59435473
2018/12/20,71600,72200,70400,71400,▲100,＋0.14%,72660,71550,69013,70698,180563,59509065
2018/12/19,72400,73300,71100,71300,▼1000,－1.38%,73120,71515,69017,70697,289797,59562536
2018/12/18,74600,74600,72100,72300,▼2200,－2.95%,73120,71505,69020,70696,331006,59624094
2018/12/17,74700,75900,74100,74500,▲700,＋0.95%,72160,71495,69008,70691,332291,59711597
2018/12/14,74500,74800,72700,73800,▲100,＋0.14%,70900,71410,68962,70669,383038,59771468
2018/12/13,71700,73700,71400,73700,▲2400,＋3.37%,70240,71265,68935,70643,546844,59720476
2018/12/12,68600,71600,67900,71300,▲3800,＋5.63%,69660,71025,68897,70642,230477,59712646
2018/12/11,67500,68200,67000,67500,▼700,－1.03%,69740,70905,68902,70654,266260,59696181
2018/12/10,69000,70000,67500,68200,▼2300,－3.26%,70580,70935,68958,70719,331029,59778028
2018/12/07,70700,71000,70100,70500,▼300,－0.42%,71420,70975,69003,70776,186050,59834849
2018/12/06,72500,72500,69800,70800,▼900,－1.26%,71760,70845,69020,70830,221289,59848983
2018/12/05,71400,72800,70900,71700,0.0,0.00%,72200,70670,69028,70898,157964,59839878
2018/12/04,71800,72400,70700,71700,▼700,－0.97%,72160,70430,69018,70956,221726,59853968
2018/12/03,73100,73600,72200,72400,▲200,＋0.28%,72300,70185,69017,71001,140452,59832342
2018/11/30,73000,73500,71900,72200,▼800,－1.10%,72000,69875,68995,71039,321168,59858082
2018/11/29,72800,73300,72100,73000,▲1500,＋2.10%,71540,69615,68983,71079,201001,59854603
2018/11/28,72800,72800,71000,71500,▼900,－1.24%,71080,69225,68947,71106,173313,59806424
2018/11/27,70800,72400,69800,72400,▲1500,＋2.12%,71000,68965,68967,71128,134760,59841924
2018/11/26,70800,71600,70000,70900,▲1000,＋1.43%,70940,68515,68962,71136,126453,59820481
2018/11/23,70700,71400,69500,69900,▼800,－1.13%,71320,68110,68960,71161,158476,59857970
2018/11/22,71100,71100,69200,70700,▼400,－0.56%,71520,67715,68972,71213,193398,59846623
2018/11/21,72400,72500,70400,71100,▼1000,－1.39%,71160,67400,68968,71258,200654,59863414
2018/11/20,72800,73400,71700,72100,▼700,－0.96%,70720,67065,68948,71298,156527,59877401
2018/11/19,70400,73100,70400,72800,▲1900,＋2.68%,69920,66630,68918,71335,287253,59913404
2018/11/16,68900,71600,68200,70900,▲2000,＋2.90%,69160,66230,68887,71373,239390,59875864
2018/11/15,68500,69300,68000,68900,0.0,0.00%,68560,65925,68893,71440,126684,59889098
2018/11/14,68200,69000,68000,68900,▲800,＋1.17%,68240,65750,68948,71531,135647,59911191
2018/11/13,69400,69400,66900,68100,▼900,－1.30%,67840,65595,69017,71613,212933,59907331
2018/11/12,68100,69400,68000,69000,▲1100,＋1.62%,67580,65450,69098,71708,131228,59931173
2018/11/09,66800,68400,66700,67900,▲600,＋0.89%,67020,65280,69172,71797,218183,59930245
2018/11/08,67200,68700,67200,67300,▲400,＋0.60%,66840,65100,69270,71898,232252,59935452
2018/11/07,66200,67300,65300,66900,▲100,＋0.15%,66420,64880,69370,72013,269946,59874113
2018/11/06,67000,67500,65500,66800,▲600,＋0.91%,66300,64895,69508,72131,143257,59888149
2018/11/05,66200,66500,64600,66200,▼800,－1.19%,65620,65040,69638,72221,240792,59884343
2018/11/02,65400,67000,65200,67000,▲1800,＋2.76%,64940,65325,69778,72307,139401,59875843
2018/11/01,65900,66400,65100,65200,▼1100,－1.66%,63940,65595,69895,72402,217969,59833636
2018/10/31,63600,66600,62900,66300,▲2900,＋4.57%,63780,65965,70060,72535,278055,59775865
2018/10/30,62400,64200,62000,63400,▲600,＋0.96%,63400,66315,70212,72663,169122,59726610
2018/10/29,63000,64000,62600,62800,▲800,＋1.29%,63400,66775,70423,72810,200747,59711266
2018/10/26,63700,64100,61400,62000,▼2400,－3.73%,63800,67255,70623,72957,140312,59738905
2018/10/25,64700,64700,62800,64400,0.0,0.00%,64360,67775,70862,73113,279229,59775254
2018/10/24,63900,64600,63300,64400,▲1000,＋1.58%,64560,68135,71045,73260,190249,59814500
2018/10/23,63800,64500,62600,63400,▼1400,－2.16%,64840,68490,71232,73417,141332,59848048
2018/10/22,64800,65000,63500,64800,0.0,0.00%,65200,68900,71433,73588,204528,59820602
2018/10/19,65600,65900,63900,64800,▼600,－0.92%,65360,69245,71608,73753,227796,59798922
2018/10/18,65800,65800,64900,65400,▼400,－0.61%,65260,69615,71755,73922,110608,59807203
2018/10/17,65500,66100,65300,65800,▲600,＋0.92%,64760,69915,71887,74083,82919,59807691
2018/10/16,66700,66700,64800,65200,▼400,－0.61%,65040,70205,72027,74237,161246,59784773
2018/10/15,65200,66000,64300,65600,▲1300,＋2.02%,65940,70490,72143,74390,232477,59817692
2018/10/12,64500,65100,63000,64300,▲1400,＋2.23%,67200,70755,72262,74548,366044,59818067
2018/10/11,64100,66900,62900,62900,▼4300,－6.40%,68820,71115,72387,74725,514140,59827913
2018/10/10,70300,70400,66400,67200,▼2500,－3.59%,70760,71535,72547,74908,367747,59804603
2018/10/08,72300,72400,69200,69700,▼2200,－3.06%,71980,71730,72632,75065,260502,59839863
2018/10/05,73300,73300,70500,71900,▼500,－0.69%,72560,71825,72643,75195,277460,59810228
2018/10/04,73800,73900,71200,72400,▼200,－0.28%,72660,71785,72595,75303,360611,59803047
2018/10/02,73200,74100,72400,72600,▼700,－0.95%,72660,71740,72553,75398,196657,59793938
2018/10/01,72500,73600,72500,73300,▲700,＋0.96%,72460,71650,72512,75491,126642,59778873
2018/09/28,72700,73900,72400,72600,▲200,＋0.28%,72100,71620,72448,75598,306833,59755265
2018/09/27,71100,73000,71000,72400,0.0,0.00%,71900,71595,72415,75718,486879,59758218
2018/09/21,72500,72900,71800,72400,▲800,＋1.12%,71760,71515,72410,75833,222677,59596086
2018/09/20,71300,71800,70300,71600,▲100,＋0.14%,71720,71425,72383,75953,216875,59548536
2018/09/19,71200,71700,70600,71500,▼100,－0.14%,71680,71370,72377,76070,237580,59512776
2018/09/18,71100,71600,69900,71600,▼100,－0.14%,71700,71290,72372,76206,213766,59450307
2018/09/17,71700,73100,71200,71700,▼500,－0.69%,71560,71225,72373,76332,126588,59417351
2018/09/14,72000,73000,71400,72200,▲800,＋1.12%,71400,71185,72377,76451,225968,59406560
2018/09/13,72000,72100,71000,71400,▼200,－0.28%,71260,71140,72350,76591,237747,59444700
2018/09/12,71200,71600,70800,71600,▲700,＋0.99%,71240,71180,72387,76734,180139,59419785
2018/09/11,70900,71100,70500,70900,0.0,0.00%,71140,71250,72407,76882,137643,59386694
2018/09/10,70900,71100,70100,70900,▼600,－0.84%,71280,71355,72480,77038,147793,59377318
2018/09/07,71900,71900,70800,71500,▲200,＋0.28%,71320,71480,72548,77200,227753,59381413
2018/09/06,71400,71800,70800,71300,▲200,＋0.28%,71320,71595,72640,77347,120607,59383697
2018/09/05,71200,71800,70800,71100,▼500,－0.70%,71220,71695,72768,77497,177044,59379838
2018/09/04,71200,71800,71200,71600,▲500,＋0.70%,71540,71900,72893,77658,136908,59346704
2018/09/03,71100,71900,70800,71100,▼400,－0.56%,71640,72050,72985,77803,100419,59324840
2018/08/31,70800,71600,70800,71500,▲700,＋0.99%,71580,72225,73083,77947,205828,59296573
2018/08/30,72400,72600,70800,70800,▼1900,－2.61%,71400,72350,73175,78079,207545,59251391
2018/08/29,71700,72700,71500,72700,▲600,＋0.83%,71340,72565,73265,78204,198466,59253121
2018/08/28,70900,72200,70900,72100,▲1300,＋1.84%,70780,72700,73288,78313,229474,59268643
2018/08/27,70700,71600,70000,70800,▲200,＋0.28%,70420,72900,73310,78416,222607,59177222
2018/08/24,70200,70600,69300,70600,▲100,＋0.14%,70440,73100,73362,78522,173750,59162635
2018/08/23,70000,70500,69500,70500,▲600,＋0.86%,70580,73385,73453,78652,171065,59139981
2018/08/22,70300,70800,69700,69900,▼400,－0.57%,70920,73630,73547,78780,171010,59117484
2018/08/21,70500,70600,69900,70300,▼600,－0.85%,71540,73915,73648,78918,278993,59107248
2018/08/20,71700,72200,70600,70900,▼400,－0.56%,72080,74175,73752,79048,159195,59073453
2018/08/17,71600,71800,71100,71300,▼900,－1.25%,72580,74395,73860,79162,128119,59038698
2018/08/16,71500,72900,71000,72200,▼800,－1.10%,73080,74510,73987,79284,201280,59021253
2018/08/14,74000,74000,71000,73000,0.0,0.00%,73300,74565,74113,79383,226869,59019611
2018/08/13,73600,74000,72200,73000,▼400,－0.54%,73740,74625,74210,79497,127841,58998669
2018/08/10,73300,74600,73000,73400,▼400,－0.54%,74060,74585,74317,79603,156147,58991944
2018/08/09,73400,74100,73100,73800,▲500,＋0.68%,74300,74550,74422,79705,262028,58973884
2018/08/08,74200,74600,72900,73300,▼1900,－2.53%,74340,74450,74525,79795,263282,58955926
2018/08/07,74600,75300,74000,75200,▲600,＋0.80%,74700,74410,74655,79888,198611,58989993
2018/08/06,75500,75500,73900,74600,0.0,0.00%,74740,74265,74753,79979,136585,58936335
2018/08/03,73600,74900,73200,74600,▲600,＋0.81%,75040,74055,74803,80059,161835,58903326
2018/08/02,74700,75600,73500,74000,▼1100,－1.46%,75080,73775,74835,80154,143306,58851763
2018/08/01,76400,76500,74600,75100,▼300,－0.40%,75540,73570,74908,80273,201614,58790780
2018/07/31,76100,76200,74300,75400,▼700,－0.92%,75600,73320,75010,80400,218020,58728840
2018/07/30,74800,76100,74100,76100,▲1300,＋1.74%,75640,73025,75113,80538,171258,58694064
2018/07/27,77000,77000,73800,74800,▼1500,－1.97%,75520,72750,75197,80647,340212,58641499
2018/07/26,74500,77400,74500,76300,▲900,＋1.19%,75620,72615,75290,80780,251488,58499107
2018/07/25,75300,76600,75200,75400,▼200,－0.26%,75080,72340,75363,80925,239550,58469996
2018/07/24,75800,76600,73800,75600,▲100,＋0.13%,74660,72130,75475,81082,253845,58466199
2018/07/23,74600,76100,74600,75500,▲200,＋0.27%,74380,71910,75602,81243,237074,58508098
2018/07/20,73700,76100,73700,75300,▲1700,＋2.31%,73720,71720,75743,81391,333284,58566357
2018/07/19,72700,74100,72600,73600,▲300,＋0.41%,73200,71550,75898,81551,209374,58716951
2018/07/18,73600,74400,73100,73300,▼900,－1.21%,72840,71400,76088,81720,221079,58815055
2018/07/17,71600,75600,71600,74200,▲2000,＋2.77%,72680,71415,76278,81888,292770,58915099
2018/07/16,71800,73500,71800,72200,▼500,－0.69%,72300,71345,76447,82043,154720,58929226
2018/07/13,72100,74200,72100,72700,▲900,＋1.25%,71940,71500,76637,82223,134781,58908318
2018/07/12,73000,73000,70800,71800,▼700,－0.97%,71200,71615,76833,82405,337628,58917032
2018/07/11,70700,73400,70600,72500,▲200,＋0.28%,70820,71875,77063,82592,275592,58956872
2018/07/10,70400,72700,70400,72300,▲1900,＋2.70%,70340,72200,77268,82773,233407,58983204
2018/07/09,69000,70800,68400,70400,▲1400,＋2.03%,69780,72515,77498,82948,193682,59030907
2018/07/06,69100,69900,67300,69000,▼900,－1.29%,69820,72850,77747,83131,497855,59090624
2018/07/05,69500,70600,69200,69900,▼200,－0.29%,70440,73250,78012,83336,84997,59020709
2018/07/04,69000,70400,69000,70100,▲600,＋0.86%,70620,73605,78243,83500,214300,59024780
2018/07/03,70800,71000,69300,69500,▼1100,－1.56%,70840,73910,78470,83656,167643,58950343
2018/07/02,71700,72800,70400,70600,▼1500,－2.08%,71180,74140,78747,83819,244589,58941366
2018/06/29,71200,72300,70600,72100,▲1300,＋1.84%,71400,74280,79022,83981,294014,58886622
2018/06/28,70100,72600,70100,70800,▼400,－0.56%,71360,74370,79255,84137,257310,58880879
2018/06/27,70300,72400,70300,71200,0.0,0.00%,71320,74635,79523,84305,294941,58865744
2018/06/26,71400,72300,70700,71200,▼500,－0.70%,71800,74880,79763,84463,277321,58822330
2018/06/25,72200,72300,71000,71700,▼200,－0.28%,72120,75120,80040,84616,288327,58753154
2018/06/22,70100,72100,69600,71900,▲1300,＋1.84%,72840,75360,80290,84752,343289,58729305
2018/06/21,72900,73400,70200,70600,▼3000,－4.08%,73460,75635,80525,84893,378677,58552364
2018/06/20,72800,74400,72700,73600,▲800,＋1.10%,74740,76050,80832,85054,259523,58526797
2018/06/19,74400,75800,72700,72800,▼2500,－3.32%,75820,76360,81082,85194,264954,58482235
2018/06/18,75800,77100,74900,75300,▲300,＋0.40%,76980,76660,81357,85338,262190,58536865
2018/06/15,76700,77000,74400,75000,▼2000,－2.60%,77340,76865,81595,85457,454126,58430706
2018/06/14,77200,78400,76600,77000,▼2000,－2.53%,77740,77100,81852,85554,320144,58422227
2018/06/12,78600,79600,78200,79000,▲400,＋0.51%,77740,77250,82053,85638,292842,58482210
2018/06/11,76600,78900,76600,78600,▲1500,＋1.95%,77180,77355,82225,85698,300699,58464120
2018/06/08,76300,77600,76000,77100,▲100,＋0.13%,76280,77480,82422,85769,205628,58429548
2018/06/07,77400,77700,75700,77000,0.0,0.00%,75540,77505,82620,85856,346994,58409788
2018/06/05,76200,77000,76000,77000,▲800,＋1.05%,74920,77480,82810,85938,240752,58348139
2018/06/04,75000,76200,74200,76200,▲2100,＋2.83%,74740,77550,82983,86030,343686,58287750
2018/06/01,73100,74100,73000,74100,▲700,＋0.95%,74720,77800,83143,86131,305839,58238018
2018/05/31,73900,74000,73200,73400,▼500,－0.68%,75100,78175,83338,86262,547134,58240781
2018/05/30,75100,75200,73700,73900,▼2200,－2.89%,75720,78560,83522,86387,291381,58243816
2018/05/29,75900,76500,75600,76100,0.0,0.00%,76420,78885,83682,86529,120012,58222005
2018/05/28,77100,77200,75300,76100,▲100,＋0.13%,76980,79115,83850,86634,199764,58200570
2018/05/25,77000,77200,76000,76000,▼500,－0.65%,77720,79415,84013,86731,243305,58162131
2018/05/24,76600,77000,75800,76500,▼900,－1.16%,78280,79775,84188,86838,401282,58170881
2018/05/23,76700,77800,76600,77400,▼1500,－1.90%,78860,80150,84345,86943,340815,58144716
2018/05/21,80000,80400,78600,78900,▼900,－1.13%,79320,80510,84463,87037,221474,58074433
2018/05/18,78800,79800,78800,79800,▲1000,＋1.27%,79540,80815,84582,87126,156780,58053422
2018/05/17,79400,80000,78700,78800,▼600,－0.76%,79800,81060,84653,87193,235197,58034057
2018/05/16,79500,80300,78600,79400,▼300,－0.38%,80260,81335,84783,87270,140248,58049597
2018/05/15,79500,80200,78400,79700,▼300,－0.38%,79900,81545,84890,87336,183376,58045165
2018/05/14,81100,81400,79700,80000,▼1100,－1.36%,79260,81785,84988,87413,141463,58054303
2018/05/11,80700,81300,79600,81100,0.0,0.00%,78940,82065,85065,87461,198493,58061639
2018/05/10,78400,81100,78300,81100,▲3500,＋4.51%,78960,82250,85122,87487,443695,58073092
2018/05/09,76500,77900,76100,77600,▲1100,＋1.44%,79060,82500,85205,87516,341270,57946991
2018/05/08,78100,79200,76300,76500,▼1900,－2.42%,79760,82885,85315,87610,506179,57923456
2018/05/04,80700,80800,78400,78400,▼2800,－3.45%,80540,83305,85473,87703,351473,57790510
2018/05/03,81900,82000,81100,81200,▼400,－0.49%,81000,83575,85637,87778,210272,57776748
2018/05/02,81400,81600,80500,81600,▲500,＋0.62%,81180,83700,85790,87821,302001,57698885
2018/04/30,80900,81500,80400,81100,▲700,＋0.87%,81500,83925,85963,87867,171720,57614586
2018/04/27,81000,81700,79800,80400,▼300,－0.37%,82080,84225,86097,87922,241999,57544484
2018/04/26,82200,82500,80500,80700,▼1400,－1.71%,82920,84510,86270,87983,337092,57473699
2018/04/25,83500,83600,81300,82100,▼1100,－1.32%,83780,84820,86487,88037,529686,57384986
2018/04/24,84300,84400,82900,83200,▼800,－0.95%,84300,84995,86688,88069,231871,57321466
2018/04/23,85300,85300,83500,84000,▼600,－0.71%,84520,85225,86883,88092,210413,57285695
2018/04/20,85300,85300,84100,84600,▼400,－0.47%,84440,85360,87038,88117,168426,57241904
2018/04/19,84100,85300,84100,85000,▲300,＋0.35%,84420,85430,87203,88135,170874,57183248
2018/04/18,84700,85300,84300,84700,▲400,＋0.47%,84540,85630,87352,88142,188070,57097641
2018/04/17,83500,84800,83200,84300,▲700,＋0.84%,84560,85825,87498,88157,166986,57023120
2018/04/16,85100,85100,83000,83600,▼900,－1.07%,84920,86075,87640,88179,188865,56977333
2018/04/13,85800,86500,83900,84500,▼1100,－1.29%,85260,86375,87810,88202,286563,56942384
2018/04/12,84500,85600,84500,85600,▲800,＋0.94%,85340,86670,87977,88211,226382,56810536
2018/04/11,85300,86100,84100,84800,▼1300,－1.51%,84980,86845,88120,88191,249353,56760647
2018/04/10,84600,86300,84500,86100,▲800,＋0.94%,84760,87070,88278,88155,229614,56676581
2018/04/09,85100,85900,84000,85300,▲400,＋0.47%,84760,87285,88398,88123,213195,56593644
2018/04/06,83700,85400,82600,84900,▲1100,＋1.31%,85120,87470,88515,88098,229979,56568823
2018/04/05,84500,85400,83500,83800,▲100,＋0.12%,85360,87645,88660,88067,211782,56581570
2018/04/04,86100,86800,82900,83700,▼2400,－2.79%,85980,87825,88757,88057,331736,56537596
2018/04/03,86700,87100,85600,86100,▼1000,－1.15%,86360,87930,88842,88041,206103,56465299
2018/04/02,85800,87600,85800,87100,▲1000,＋1.16%,86700,87915,88892,87995,174943,56468534
2018/03/30,86400,87000,85700,86100,▼800,－0.92%,86620,87780,88940,87924,258526,56432068
2018/03/29,86200,88000,85700,86900,▲1300,＋1.52%,86600,87650,89018,87854,238948,56413456
2018/03/28,86600,87400,84800,85600,▼2200,－2.51%,87020,87615,89087,87784,237040,56320819
2018/03/27,87900,89200,86700,87800,▲1100,＋1.27%,87620,87630,89163,87739,189348,56287633
2018/03/26,86500,87800,85500,86700,▲700,＋0.81%,87920,87565,89192,87679,140194,56248620
2018/03/23,87200,87700,85700,86000,▼3000,－3.37%,88500,87525,89213,87630,209682,56229208
2018/03/22,88100,89800,88000,89000,▲400,＋0.45%,89380,87450,89262,87592,215517,56142984
2018/03/21,88500,90200,88500,88600,▼700,－0.78%,89400,87300,89277,87544,188787,56111176
2018/03/20,89100,90100,88600,89300,▼300,－0.33%,89540,87075,89307,87508,147701,56126186
2018/03/19,90600,90700,89200,89600,▼800,－0.88%,89760,86940,89318,87472,125024,56090173
2018/03/16,89400,90400,89200,90400,▲1300,＋1.46%,89640,86750,89318,87422,239233,56042492
2018/03/15,89900,89900,88000,89100,▼200,－0.22%,89240,86510,89257,87363,152092,55927922
2018/03/14,89000,89700,87900,89300,▼1100,－1.22%,88900,86285,89223,87302,172316,55886734
2018/03/13,87600,90400,87000,90400,▲1400,＋1.57%,88200,86045,89172,87243,251721,55880688
2018/03/12,90000,90000,85500,89000,▲600,＋0.68%,87280,85830,89117,87160,176608,55862348
2018/03/09,87300,89200,87100,88400,▲1000,＋1.14%,86360,85590,89092,87099,214971,55806918
2018/03/08,86700,87400,85400,87400,▲1600,＋1.86%,85380,85470,89065,87033,309301,55765409
2018/03/07,84700,86600,84700,85800,0.0,0.00%,85140,85510,89077,86989,317209,55712320
2018/03/06,85300,85800,83700,85800,▲1400,＋1.66%,85160,85740,89118,86955,245589,55658588
2018/03/05,82800,85200,82800,84400,▲900,＋1.08%,85300,86050,89185,86938,224784,55596189
2018/03/02,84300,85600,82700,83500,▼2700,－3.13%,85600,86285,89252,86934,308112,55532391
2018/02/28,86600,86700,85600,86200,▲300,＋0.35%,85800,86650,89377,86953,248066,55556211
2018/02/27,86000,86800,85700,85900,▼600,－0.69%,85760,87025,89418,86907,232167,55507811
2018/02/26,86300,86600,85200,86500,▲600,＋0.70%,85400,87440,89448,86863,181421,55478971
2018/02/23,85300,86000,84700,85900,▲1400,＋1.66%,85420,87860,89488,86816,153604,55441236
2018/02/22,84700,85500,84300,84500,▼1500,－1.74%,85400,88230,89542,86782,182482,55412126
2018/02/21,84400,86000,83700,86000,▲1900,＋2.26%,85620,88730,89610,86751,310881,55416306
2018/02/20,85600,86200,83900,84100,▼2500,－2.89%,85340,89125,89670,86713,258975,55364285
2018/02/19,87700,87700,85200,86600,▲800,＋0.93%,85420,89595,89732,86683,216713,55330172
2018/02/14,86400,86700,84700,85800,▲200,＋0.23%,85320,89905,89757,86629,234691,55371003
2018/02/13,84800,86300,83900,85600,▲1000,＋1.18%,85000,90305,89782,86584,294401,55329635
2018/02/12,84600,85200,82400,84600,▲100,＋0.12%,85080,90750,89837,86532,186241,55296162
2018/02/09,85400,85900,83600,84500,▼1600,－1.86%,85800,91230,89857,86467,329974,55282608
2018/02/08,85500,87300,84500,86100,▲1900,＋2.26%,86980,91720,89852,86409,384668,55257273
2018/02/07,86400,87900,84200,84200,▼1800,－2.09%,88160,92080,89827,86341,445223,55207336
2018/02/06,88500,88800,84300,86000,▼2200,－2.49%,89140,92485,89905,86285,499763,55240996
2018/02/05,90500,90900,88100,88200,▼2200,－2.43%,90100,92865,89933,86209,311405,55197167
2018/02/02,92000,92100,89600,90400,▼1600,－1.74%,91200,92935,89918,86108,273527,55111186
2018/02/01,89200,92200,89200,92000,▲2900,＋3.25%,91960,92855,89852,85993,431754,54920185
2018/01/31,90800,90800,87000,89100,▼1700,－1.87%,92540,92710,89770,85851,531602,54889355
2018/01/30,93700,93900,90500,90800,▼2900,－3.09%,93380,92755,89747,85739,337643,54835564
2018/01/29,94500,96200,93000,93700,▼500,－0.53%,94120,92755,89697,85618,306608,54789923
2018/01/26,93800,94600,92700,94200,▼700,－0.74%,94160,92620,89587,85466,210848,54741514
2018/01/25,94300,96500,93100,94900,▲1600,＋1.71%,94020,92420,89450,85314,445090,54610846
2018/01/24,93700,94300,92600,93300,▼1200,－1.27%,93600,92150,89300,85153,229429,54492647
2018/01/23,93000,94700,92600,94500,▲600,＋0.64%,93700,91885,89195,85004,287509,54529457
2018/01/22,93500,93900,92300,93900,▲400,＋0.43%,93700,91605,89067,84833,145345,54476651
2018/01/19,91800,93500,91800,93500,▲700,＋0.75%,93760,91405,88932,84673,158949,54419900
2018/01/18,93300,94200,92000,92800,▼1000,－1.07%,93920,91250,88815,84526,178809,54358319
2018/01/17,93300,94400,93200,93800,▼700,－0.74%,94020,91110,88718,84383,197896,54292846
2018/01/16,93500,94500,93200,94500,▲300,＋0.32%,93720,90900,88593,84238,205082,54238236
2018/01/15,94700,94700,92500,94200,▼100,－0.11%,93540,90510,88445,84092,181317,54133146
2018/01/12,94300,94600,93300,94300,▲1000,＋1.07%,92620,90155,88262,83932,246619,54082150
2018/01/11,93700,93800,91300,93300,▲1000,＋1.08%,91520,89750,88032,83770,274631,53993836
2018/01/10,93100,93800,91900,92300,▼1300,－1.39%,90680,89440,87847,83621,206096,53952700
2018/01/09,89800,94800,89600,93600,▲4000,＋4.46%,90220,89200,87680,83463,419749,53954946
2018/01/08,89200,90500,88800,89600,▲800,＋0.90%,89660,88860,87473,83290,231615,53935194
2018/01/05,89200,89200,87800,88800,▼300,－0.34%,89940,88785,87357,83148,260522,53817580
2018/01/04,90200,90800,88500,89100,▼900,－1.00%,90220,88760,87240,83025,261247,53799075
2018/01/03,90000,91000,89600,90000,▼800,－0.88%,90300,88795,87098,82919,238461,53684168
2018/01/02,90900,91500,89200,90800,▼200,－0.22%,89900,88715,86908,82813,175563,53650544
2017/12/28,90300,91300,89500,91000,▲800,＋0.89%,89520,88725,86690,82708,106393,53648902
2017/12/27,88300,90500,87200,90200,▲700,＋0.78%,89300,88610,86482,82601,162583,53645642
2017/12/26,88000,89700,87700,89500,▲1500,＋1.70%,89340,88485,86315,82493,200642,53729504
2017/12/22,89800,89800,87300,88000,▼900,－1.01%,89440,88455,86167,82395,181817,53778565
2017/12/21,89000,90000,88200,88900,▼1000,－1.11%,89760,88510,86047,82312,159405,53877517
2017/12/20,89900,90900,89100,89900,▼500,－0.55%,89320,88495,85922,82223,189830,53904614
2017/12/19,89600,91400,89600,90400,▲400,＋0.44%,88760,88480,85812,82134,214200,53919549
2017/12/18,89500,90700,88700,90000,▲400,＋0.45%,87920,88350,85708,82046,197447,53928823
2017/12/15,87800,89800,87400,89600,▲2900,＋3.34%,87340,88255,85625,81943,398732,53929627
2017/12/14,87800,88900,86700,86700,▼400,－0.46%,86920,88140,85525,81862,562440,53981073
2017/12/13,85900,87300,85900,87100,▲900,＋1.04%,86940,88250,85470,81804,228369,53962803
2017/12/12,86300,87700,85700,86200,▼900,－1.03%,87140,88185,85380,81753,177410,53985036
2017/12/11,86900,87500,86300,87100,▼400,－0.46%,87560,88085,85313,81708,100324,54004614
2017/12/08,86600,87800,86500,87500,▲700,＋0.81%,88100,87960,85203,81658,210188,54030662
2017/12/07,88100,89100,86100,86800,▼1300,－1.48%,88280,88030,85107,81607,261608,54014992
2017/12/06,88800,88800,87200,88100,▼200,－0.23%,89120,88075,85000,81583,255255,54047993
2017/12/05,88400,89400,88000,88300,▼1500,－1.67%,89240,88035,84902,81531,180926,53985848
2017/12/04,89400,90100,88500,89800,▲1400,＋1.58%,89120,87940,84792,81507,137589,53982698
2017/12/01,90300,90800,87700,88400,▼2600,－2.86%,88940,87805,84690,81439,209348,53945128
2017/11/30,90100,91000,88800,91000,▲2300,＋2.59%,89080,87770,84617,81388,544404,53970455
