[일시]유한양행,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2016/01/19,271366,285418,266975,276636,▲7465,＋2.77%,265219,249455,244442,232604,55280,3739225
2016/01/18,263462,276197,263462,269171,▲1317,＋0.49%,261179,247150,243739,232367,40420,3747206
2016/01/15,255559,289809,254680,267854,▲14930,＋5.90%,259423,245130,243212,232180,109320,3757047
2016/01/14,256437,259511,250289,252924,▼6587,－2.54%,259247,242890,242671,232004,46520,3748374
2016/01/13,256437,262584,256437,259511,▲3074,＋1.20%,260125,241222,242276,231968,13855,3732287
2016/01/12,263462,263462,255998,256437,▼3952,－1.52%,257579,239400,241734,231869,24407,3733449
2016/01/11,263462,267854,259071,260389,▼6587,－2.47%,254329,238038,241119,231792,29653,3727513
2016/01/08,254680,266975,251607,266975,▲9660,＋3.75%,250026,236370,240439,231653,58165,3726737
2016/01/07,247216,257315,247216,257315,▲10538,＋4.27%,244493,234240,239583,231477,57358,3733444
2016/01/06,240629,247216,238873,246777,▲6587,＋2.74%,240980,232835,238939,231324,68150,3718319
2016/01/05,237555,244142,237116,240190,▲1317,＋0.55%,238609,232176,238338,231163,36400,3693730
2016/01/04,242385,248094,238434,238873,▼439,－0.18%,237555,231979,237980,231005,59355,3694963
2015/12/30,239751,241068,237116,239312,▼439,－0.18%,237116,231891,237804,230870,18724,3664555
2015/12/29,232725,240629,231847,239751,▲4830,＋2.06%,236589,231803,237570,230731,20805,3662559
2015/12/28,234043,235799,233164,234921,0.0,0.00%,235799,231979,237153,230566,18131,3660041
2015/12/24,236677,236677,234921,234921,▼1756,－0.74%,236414,232396,236794,230735,18314,3658303
2015/12/23,237555,237555,234921,236677,0.0,0.00%,235535,232681,236443,230954,19138,3660178
2015/12/22,237116,237555,234482,236677,▲878,＋0.37%,233955,232945,236136,231152,24264,3663202
2015/12/21,235799,238434,234921,235799,▼2196,－0.92%,231232,233252,235806,231196,26416,3662934
2015/12/18,228334,237994,227895,237994,▲7465,＋3.24%,227983,233735,235470,231229,28893,3672777
2015/12/17,229651,231408,227895,230530,▲1756,＋0.77%,224997,234064,235155,231229,32874,3673506
2015/12/16,224382,229651,223504,228773,▲5708,＋2.56%,224734,235031,234884,231412,32536,3672814
2015/12/15,222626,223504,219552,223065,▲3513,＋1.60%,224382,235975,234665,231576,16803,3678952
2015/12/14,219552,221748,219113,219552,▼3513,－1.57%,224646,238258,234526,231660,29750,3680646
2015/12/11,231408,231847,222187,223065,▼6147,－2.68%,226578,239553,234438,231704,29031,3673981
2015/12/10,227017,232725,227017,229212,▲2196,＋0.97%,228685,240980,234262,231748,31631,3669713
2015/12/09,225700,229651,223504,227017,▲2635,＋1.17%,230091,242254,233933,231785,13738,3667402
2015/12/08,241507,241507,223065,224382,▼4830,－2.11%,232110,243659,233611,231788,44202,3665877
2015/12/07,236677,236677,228773,229212,▼4391,－1.88%,234745,245108,233406,231679,24646,3672111
2015/12/04,234921,235799,232725,233603,▼2635,－1.12%,237555,246118,233098,231503,17347,3678004
2015/12/03,234921,237116,231408,236238,▼878,－0.37%,239487,247369,232637,231342,35904,3680113
2015/12/02,237994,238434,234921,237116,▼439,－0.18%,240366,248182,232264,231108,57540,3702901
2015/12/01,243264,243264,237116,237555,▼5708,－2.35%,241332,248709,231803,230841,87516,3693862
2015/11/30,244142,244581,234043,243264,0.0,0.00%,242385,248972,231408,230607,92218,3703724
2015/11/27,240629,243703,237555,243264,▲2635,＋1.09%,242825,249038,231064,230380,31246,3698423
2015/11/26,242385,242825,240190,240629,▼1317,－0.54%,243088,249301,230574,230105,17052,3693689
2015/11/25,243703,244142,237994,241946,▼878,－0.36%,244932,249543,230200,229856,31835,3697971
2015/11/24,246337,248094,242385,242825,▼2635,－1.07%,246074,249740,229908,229626,33538,3695251
2015/11/23,243264,247655,243264,245459,▲878,＋0.36%,251255,249675,229512,229458,42076,3699993
2015/11/20,249850,252924,244142,244581,▼5269,－2.11%,251255,249806,228986,229304,41938,3710769
2015/11/19,249411,251168,244581,249850,▲2196,＋0.89%,252661,249806,228341,229194,28139,3720982
2015/11/18,264341,265219,244581,247655,▼21077,－7.84%,253627,249038,227558,229066,64760,3718642
2015/11/17,246337,269171,246337,268732,▲23273,＋9.48%,255120,248533,226922,228868,70975,3729949
2015/11/16,251168,251168,245459,245459,▼6147,－2.44%,252046,246864,226014,228495,42745,3706796
2015/11/13,248533,254241,245459,251607,▼3074,－1.21%,252836,246052,225495,228385,32680,3694520
2015/11/12,254680,257315,252485,254680,▼439,－0.17%,254241,244823,224909,228246,25588,3679146
2015/11/11,251168,256876,249850,255120,▲1756,＋0.69%,253802,243066,224207,228173,36685,3662847
2015/11/10,249411,253363,242825,253363,▲3952,＋1.58%,252309,241288,223548,228089,41311,3652215
2015/11/09,259071,261706,245020,249411,▼9221,－3.57%,250202,239400,222919,227873,51054,3625127
2015/11/06,259950,263023,257315,258632,▲6147,＋2.43%,249236,237863,222523,227734,87642,3602795
2015/11/05,248972,252485,245459,252485,▲4830,＋1.95%,247216,235470,222099,227456,62911,3552576
2015/11/04,245459,250728,241946,247655,▲4830,＋1.99%,245811,233779,221799,227299,60454,3511126
2015/11/03,245020,246337,238434,242825,▼1756,－0.72%,245459,232813,221587,227222,45292,3480627
2015/11/02,248533,249850,241946,244581,▼3952,－1.59%,245196,231935,221470,227101,27409,3465106
2015/10/30,249411,255120,243703,248533,▲3074,＋1.25%,245898,230442,221228,226999,68831,3461947
2015/10/29,250728,250728,241507,245459,▼439,－0.18%,245108,228685,220833,226838,28918,3452443
2015/10/28,241507,246337,234043,245898,▲4391,＋1.82%,242912,227105,220686,226600,34164,3452022
2015/10/27,249850,249850,240190,241507,▼6587,－2.65%,241244,225721,220562,226376,20438,3444413
2015/10/26,245898,251168,241507,248094,▲3513,＋1.44%,240014,224492,220701,226201,54853,3441015
2015/10/23,237555,247655,237555,244581,▲10099,＋4.31%,236238,222867,220789,225824,70986,3420256
2015/10/22,234482,235799,230091,234482,▼3074,－1.29%,232725,221594,220767,225436,28821,3376574
2015/10/21,237116,240629,232725,237555,▲2196,＋0.93%,229739,220584,220994,225107,29290,3380850
2015/10/20,230091,237116,226139,235360,▲6147,＋2.68%,226139,219486,221147,224785,30707,3367532
2015/10/19,230091,230969,226139,229212,▲2196,＋0.97%,222187,218454,221338,224470,22958,3356204
2015/10/16,221308,227456,221308,227017,▲7465,＋3.40%,220079,217708,221660,224214,44483,3348203
2015/10/15,219113,220869,216917,219552,0.0,0.00%,216830,216983,222004,223965,19700,3323344
2015/10/14,215600,219552,212087,219552,▲3952,＋1.83%,216654,216478,222465,223841,27280,3323120
2015/10/13,221748,221748,209014,215600,▼3074,－1.41%,218410,215886,222867,223694,40690,3310269
2015/10/12,210770,221748,210770,218674,▲7904,＋3.75%,220342,215710,223372,223544,40535,3316909
2015/10/08,218674,219991,209453,210770,▼7904,－3.61%,219552,215315,223709,223241,49246,3295672
2015/10/07,221748,222187,218235,218674,▼9660,－4.23%,220079,215073,223987,222941,34344,3294941
2015/10/06,225700,230091,223065,228334,▲3074,＋1.36%,219113,214832,224031,222567,33743,3306226
2015/10/05,216478,225700,216039,225260,▲10538,＋4.91%,217093,213888,223936,222132,29811,3306913
2015/10/02,214722,220430,213405,214722,▲1317,＋0.62%,215425,213317,223892,221700,29192,3295570
2015/10/01,212087,215600,211648,213405,▼439,－0.21%,215600,213712,223980,221367,22713,3286250
2015/09/30,211648,213844,205062,213844,▼4391,－2.01%,216742,213734,224675,221052,57609,3281074
2015/09/25,216039,219113,212087,218235,▲1317,＋0.61%,216830,213954,225465,220705,15624,3276193
2015/09/24,215161,218674,215161,216917,▲1317,＋0.61%,216303,214261,226168,220313,10391,3283683
2015/09/23,215600,222626,215600,215600,▼3513,－1.60%,215864,214371,226585,219944,22473,3281691
2015/09/22,212526,220430,212087,219113,▲4830,＋2.25%,215600,214283,226988,219607,20755,3275155
2015/09/21,212966,214722,212087,214283,▼1317,－0.61%,214283,213624,227302,219245,12113,3268316
2015/09/18,215161,218674,212087,215600,▲878,＋0.41%,213317,213053,227939,218828,42293,3264463
2015/09/17,217357,217357,210770,214722,▲439,＋0.20%,211736,212746,228488,218377,29634,3269612
2015/09/16,212966,215161,209892,214283,▲1756,＋0.83%,211209,212724,228795,217949,19441,3261169
2015/09/15,210770,212526,208574,212526,▲3074,＋1.47%,210507,212724,228971,217532,18220,3256241
2015/09/14,207696,210770,206818,209453,▲1756,＋0.85%,209189,212922,229234,217133,22667,3246388
2015/09/11,212087,212087,206379,207696,▼4391,－2.07%,210067,213075,229637,216749,30062,3241629
2015/09/10,209892,212087,202866,212087,▲1317,＋0.62%,210419,213470,229966,216336,36893,3243059
2015/09/09,206818,212526,206818,210770,▲4830,＋2.35%,210770,213646,229952,215922,29683,3245478
2015/09/08,213405,213844,201549,205940,▼7904,－3.70%,213141,214393,229908,215516,51879,3247041
2015/09/07,209453,216039,205940,213844,▲4391,＋2.10%,214722,215754,230047,215110,27135,3233444
2015/09/04,211209,213405,202866,209453,▼4391,－2.05%,215600,216786,229952,214616,32375,3233282
2015/09/03,219113,223065,212966,213844,▼8782,－3.94%,218586,218059,229878,214147,26595,3226303
2015/09/02,210331,223943,205501,222626,▲8782,＋4.11%,219640,219157,229805,213650,21300,3237669
2015/09/01,215161,222187,213844,213844,▼4391,－2.01%,217883,219530,229695,213028,23691,3236838
2015/08/31,224821,227456,218235,218235,▼6147,－2.74%,216303,220079,229637,212490,44025,3239392
2015/08/28,219113,228773,219113,224382,▲5269,＋2.40%,213229,221001,229512,211930,53612,3236801
2015/08/27,214283,220869,214283,219113,▲5269,＋2.46%,210243,221704,229344,211323,51881,3251369
2015/08/26,206379,218674,202866,213844,▲7904,＋3.84%,209277,223241,229403,210763,54764,3264145
2015/08/25,202866,212526,194523,205940,▲3074,＋1.52%,209365,225217,229622,210272,69841,3264192
2015/08/24,209014,215161,198914,202866,▼6587,－3.14%,211473,227083,230047,209841,44036,3282489
2015/08/21,211648,212966,205940,209453,▼4830,－2.25%,213405,229344,230574,209423,41328,3289545
2015/08/20,209892,216039,207696,214283,0.0,0.00%,214634,231210,230815,208940,37058,3309330
2015/08/19,212966,215600,203744,214283,▼2196,－1.01%,214898,232835,230976,208406,51890,3323181
2015/08/18,212966,221308,212966,216478,▲3952,＋1.86%,217181,234547,231276,207887,27952,3330765
2015/08/17,213405,219552,210770,212526,▼3074,－1.43%,220518,236106,231584,207367,38143,3335977
2015/08/13,217357,218674,208135,215600,0.0,0.00%,224909,237841,232140,206866,44238,3346886
2015/08/12,228773,228773,199353,215600,▼10099,－4.47%,228773,239246,232630,206335,83468,3344652
2015/08/11,234043,234921,224821,225700,▼7465,－3.20%,232813,240761,232828,205801,30299,3356360
2015/08/10,235799,235799,230969,233164,▼1317,－0.56%,233691,241419,232945,205182,13307,3347628
2015/08/07,234482,237555,228773,234482,▼439,－0.19%,232023,241134,232813,204516,19629,3346129
2015/08/06,237116,238873,232286,234921,▼878,－0.37%,232462,240475,232798,203828,29490,3342084
2015/08/05,228334,236677,223943,235799,▲5708,＋2.48%,233164,239861,232857,203155,39520,3338711
2015/08/04,225700,231847,219552,230091,▲5269,＋2.34%,235975,239202,232733,202478,72049,3330495
2015/08/03,236677,236677,219991,224821,▼11856,－5.01%,240629,238697,232769,201860,65171,3328914
2015/07/31,237116,238873,228773,236677,▼1756,－0.74%,244318,240212,232842,201274,59178,3336918
2015/07/30,247655,255559,237116,238434,▼11417,－4.57%,246601,241441,232513,200583,95573,3347798
2015/07/29,259071,260389,239312,249850,▼3513,－1.39%,248269,242539,232191,199866,103879,3345060
2015/07/28,244581,256437,236677,253363,▲10099,＋4.15%,247655,242144,231701,199017,74172,3315217
2015/07/27,242385,248094,240629,243264,▼4830,－1.95%,246689,241463,230859,198146,68762,3325668
2015/07/24,245020,248094,243264,248094,▲1317,＋0.53%,247567,241200,230105,197370,72969,3299516
2015/07/23,244142,249411,244142,246777,0.0,0.00%,247391,241419,229220,196532,25249,3299130
2015/07/22,245459,247655,243264,246777,▼1756,－0.71%,246777,241507,228422,195709,23148,3300855
2015/07/21,246777,248533,238434,248533,▲878,＋0.35%,246601,240827,227602,194885,43495,3290898
2015/07/20,245898,250728,242825,247655,▲439,＋0.18%,244669,239641,226768,194036,34798,3276758
2015/07/17,246777,247655,242385,247216,▲3513,＋1.44%,240629,238675,225926,193202,31667,3273512
2015/07/16,249411,249411,240629,243703,▼2196,－0.89%,235448,237994,225217,192379,60495,3272004
2015/07/15,240629,249411,236238,245898,▲7026,＋2.94%,231232,237182,224521,191585,68438,3250311
2015/07/14,230530,240190,229212,238873,▲11417,＋5.02%,226578,235448,223716,190776,43926,3240443
2015/07/13,223065,227895,217357,227456,▲6147,＋2.78%,222801,233911,222772,190019,45508,3257353
2015/07/10,225700,229651,213844,221308,▼1317,－0.59%,228334,233252,221894,189342,105671,3252739
2015/07/09,219552,225700,212966,222626,0.0,0.00%,236326,232593,221104,188716,109645,3243474
2015/07/08,217796,222626,207696,222626,▲2635,＋1.20%,243878,231715,220328,188087,126280,3267714
2015/07/07,255998,261267,205501,219991,▼35128,－13.77%,247743,231057,219508,187446,178466,3272981
2015/07/06,257315,260828,251168,255120,▼6147,－2.35%,251695,230859,218754,186850,44128,3256851
2015/07/03,260389,263462,254680,261267,▲878,＋0.34%,248269,228620,217430,185946,56323,3250306
2015/07/02,245020,262145,244581,260389,▲18442,＋7.62%,246513,226095,215944,184969,84568,3240214
2015/07/01,241946,246777,237555,241946,▲2196,＋0.92%,244142,223789,214458,184010,55383,3232650
2015/06/30,236677,242385,232725,239751,▲1756,＋0.74%,242385,222823,213302,183216,57970,3229810
2015/06/29,245898,248094,237116,237994,▼14490,－5.74%,239400,222187,212226,182448,59280,3215561
2015/06/26,253802,258632,250289,252485,▲3952,＋1.59%,237468,221857,211187,181701,97137,3211048
2015/06/25,231408,251607,229651,248533,▲15369,＋6.59%,233691,220957,209716,180838,101431,3210309
2015/06/24,225260,234043,224382,233164,▲8343,＋3.71%,229476,219728,208267,180025,46519,3217180
2015/06/23,227895,230091,224382,224821,▼3513,－1.54%,225085,219267,207103,179345,69170,3210023
2015/06/22,234921,234921,224821,228334,▼5269,－2.26%,221748,219640,206094,178723,72731,3180570
2015/06/19,232286,239751,227895,233603,▲6147,＋2.70%,218937,219969,205032,178075,121983,3160444
2015/06/18,214283,230969,213844,227456,▲16247,＋7.69%,213844,220584,203861,177376,108725,3132320
2015/06/17,209453,214283,208135,211209,▲3074,＋1.48%,209365,221462,202705,176732,63933,3140247
2015/06/16,215600,222626,204623,208135,▼6147,－2.87%,209014,222275,201893,176234,66785,3138529
2015/06/15,207696,216039,205062,214283,▲6147,＋2.95%,210594,223504,201124,175733,63143,3147857
2015/06/12,205062,213405,205062,208135,▲3074,＋1.50%,209804,224053,200173,175181,72201,3149929
2015/06/11,212526,213844,204623,205062,▼4391,－2.10%,210331,225326,199280,174709,104890,3140748
2015/06/10,216478,216917,205501,209453,▼6587,－3.05%,212175,226995,198417,174237,77600,3106266
2015/06/09,211209,218235,211209,216039,▲5708,＋2.71%,214810,227939,197494,173713,55552,3103196
2015/06/08,209453,212526,206379,210331,▼439,－0.21%,217005,228751,196360,173157,49370,3097551
2015/06/05,215161,220430,209892,210770,▼3513,－1.64%,221221,229695,195343,172656,79412,3089026
2015/06/04,222626,223065,211209,214283,▼8343,－3.75%,225963,230003,194348,172158,112439,3072866
2015/06/03,230091,232286,218674,222626,▼4391,－1.93%,227895,230244,193301,171653,87404,3059389
2015/06/02,235799,245020,227017,227017,▼4391,－1.90%,228159,230134,192123,171079,75264,3032960
2015/06/01,233603,240629,223943,231408,▼3074,－1.31%,229212,228927,190922,170460,40263,3042102
2015/05/29,227017,238873,226578,234482,▲10538,＋4.71%,229915,227258,189634,169816,69364,3057078
2015/05/28,223943,232725,223504,223943,0.0,0.00%,232198,225282,188273,169136,50887,3051989
2015/05/27,229212,230091,218674,223943,▼8343,－3.59%,236414,224031,187066,168543,56128,3043797
2015/05/26,234482,238873,230530,232286,▼2635,－1.12%,237116,222714,185836,167943,42315,3029482
2015/05/22,249850,249850,232725,234921,▼10978,－4.46%,237204,221023,184497,167280,64307,3025799
2015/05/21,245020,263462,244142,245898,▲878,＋0.36%,235272,219135,183150,166571,91621,3024205
2015/05/20,224821,245898,224382,245020,▲17564,＋7.72%,232813,217071,181592,165784,86016,3018807
2015/05/19,233603,235360,224382,227456,▼5269,－2.26%,231496,214920,180040,165001,48321,3005265
2015/05/18,225700,237116,223065,232725,▲7465,＋3.31%,231671,213427,178774,164324,60752,3000774
2015/05/15,234043,236238,224821,225260,▼8343,－3.57%,231584,210902,177420,163621,59966,2989025
2015/05/14,234921,238873,232725,233603,▼4830,－2.03%,232374,208377,176220,162963,33277,2978528
2015/05/13,226139,239751,224821,238434,▲10099,＋4.42%,229037,205391,174859,162242,71706,2974671
2015/05/12,232286,232725,223504,228334,▼3952,－1.70%,225173,202273,173453,161484,55092,2979523
2015/05/11,230969,245898,227895,232286,▲3074,＋1.34%,223592,199529,172224,160833,53305,2971624
2015/05/08,216039,232286,213405,229212,▲12295,＋5.67%,217708,196653,170951,160134,64427,2964931
2015/05/07,217796,219552,210331,216917,▼2196,－1.00%,211473,193974,169706,159472,81180,2959394
2015/05/06,220869,220869,210770,219113,▼1317,－0.60%,207082,191735,168653,158897,80637,2977369
2015/05/04,207257,228334,202866,220430,▲17564,＋8.66%,203042,189342,167540,158345,102207,3003123
2015/04/30,197158,202866,196719,202866,▲4830,＋2.44%,198475,186949,166333,157752,66515,3008338
2015/04/29,196280,202427,193206,198036,▲3074,＋1.58%,197597,185565,165432,157327,51862,3018834
2015/04/28,200231,200231,191889,194962,▼3952,－1.99%,197421,184446,164635,156936,40370,3015161
2015/04/27,198914,199353,195401,198914,▲1317,＋0.67%,199353,182909,163844,156599,27731,3008765
2015/04/24,201549,206379,195840,197597,▼878,－0.44%,199968,181043,162995,156233,39828,2999726
2015/04/23,198475,201549,193645,198475,▲1317,＋0.67%,199968,179330,162168,155860,50093,2985501
2015/04/22,204623,212526,188815,197158,▼7465,－3.65%,196719,177618,161305,155516,87417,2983418
2015/04/21,200231,206818,193206,204623,▲2635,＋1.30%,192240,175993,160478,155194,93790,2980157
2015/04/20,197597,203744,194523,201988,▲4391,＋2.22%,186092,173929,159541,154887,97093,3003104
2015/04/17,183546,201549,181350,197597,▲15369,＋8.43%,180911,171734,158648,154612,140119,3022515
2015/04/16,177398,183985,174763,182228,▲7465,＋4.27%,176081,169977,157836,154356,84129,3034186
2015/04/15,172129,176520,171251,174763,▲878,＋0.51%,174588,168967,157265,154228,51821,3016147
2015/04/14,176081,177837,171690,173885,▼2196,－1.25%,174763,168089,156789,154148,35143,3005499
2015/04/13,173885,177837,172129,176081,▲2635,＋1.52%,174412,167123,156328,154074,32892,3002355
2015/04/10,175203,177398,171690,173446,▼1317,－0.75%,173446,165981,155845,154012,43931,3001808
2015/04/09,176081,180033,174763,174763,▼878,－0.50%,173271,165015,155384,153957,55763,2986719
2015/04/08,173007,176520,170812,175642,▲3513,＋2.04%,173358,163676,154945,153833,56491,2985027
2015/04/07,171690,173007,169933,172129,▲878,＋0.51%,173358,162359,154462,153705,35905,2986250
2015/04/06,173007,176520,169494,171251,▼1317,－0.76%,171778,161305,153994,153602,49431,2983513
2015/04/03,176959,176959,171251,172568,▼2635,－1.50%,169845,160317,153562,153511,31078,2988249
2015/04/02,176959,181350,174763,175203,▼439,－0.25%,168001,159285,153130,153405,94939,2996598
2015/04/01,171251,175642,166860,175642,▲11417,＋6.95%,165806,158275,152669,153299,145853,3000094
2015/03/31,162029,165103,161590,164225,▲2635,＋1.63%,163610,157199,152215,153181,44692,2956489
2015/03/30,162469,166860,161151,161590,▼1756,－1.08%,163435,156628,151959,153160,24238,2952705
2015/03/27,163347,165981,162469,163347,▼878,－0.53%,162732,156123,151784,153174,37844,2946434
2015/03/26,162908,164225,161590,164225,▼439,－0.27%,162556,155465,151586,153174,28117,2944795
2015/03/25,164225,165981,162469,164664,▲1317,＋0.81%,162117,154850,151352,153174,40186,2942433
2015/03/24,159395,166420,158517,163347,▲5269,＋3.33%,160624,154323,151118,153181,56594,2940232
2015/03/23,162469,162908,157199,158077,▼4391,－2.70%,158868,153774,150891,153196,35787,2918836
2015/03/20,162029,168177,161151,162469,▲439,＋0.27%,157902,153467,150759,153269,102153,2916587
2015/03/19,157199,162029,156321,162029,▲4830,＋3.07%,156233,152918,150576,153280,75287,2902480
2015/03/18,155443,157199,153247,157199,▲2635,＋1.70%,153423,152391,150342,153310,50385,2892018
2015/03/17,154565,155004,152808,154565,▲1317,＋0.86%,151842,152194,150188,153397,37310,2889900
2015/03/16,152808,155443,152369,153247,▼878,－0.57%,151140,152062,150137,153493,19914,2873846
2015/03/13,148856,154565,148417,154126,▲6147,＋4.15%,150788,152106,150057,153602,54472,2876692
2015/03/12,148856,150613,147539,147978,▼1317,－0.88%,150349,152128,149932,153701,54559,2853601
2015/03/11,150174,151491,148417,149295,▼1756,－1.16%,151754,152523,149954,153815,38378,2864416
2015/03/10,151491,152808,150613,151052,▼439,－0.29%,152720,152786,149969,153888,28581,2862784
2015/03/09,152808,153247,151052,151491,▼439,－0.29%,153072,152918,149969,153924,17722,2871047
2015/03/06,154565,155004,151930,151930,▼3074,－1.98%,153072,152962,150005,153961,30231,2867359
2015/03/05,153247,155443,152808,155004,▲878,＋0.57%,152720,152764,150035,153954,34978,2869694
2015/03/04,152369,154565,152369,154126,▲1317,＋0.86%,152106,152457,149998,153935,32485,2875930
2015/03/03,150613,154565,150613,152808,▲1317,＋0.87%,152106,152259,149998,153902,42322,2876248
2015/03/02,150613,152369,149735,151491,▲1317,＋0.88%,152018,151996,149998,153884,34170,2878102
2015/02/27,151930,152369,149735,150174,▼1756,－1.16%,152106,151820,150020,153888,36520,2880762
2015/02/26,154126,154565,151930,151930,▼2196,－1.42%,152369,151710,150049,153902,24607,2872267
2015/02/25,152808,154126,151491,154126,▲1756,＋1.15%,152281,151447,150064,153917,26433,2873839
2015/02/24,151491,152369,150613,152369,▲439,＋0.29%,152106,151118,149991,153902,22651,2867359
2015/02/23,151491,152808,150174,151930,▲439,＋0.29%,152018,150920,149976,153902,18116,2860513
2015/02/17,150613,152369,150174,151491,0.0,0.00%,152457,150744,149961,153858,21994,2853709
2015/02/16,152369,154126,151052,151491,▼1756,－1.15%,153072,150613,149874,153836,32781,2845923
2015/02/13,152369,153686,151052,153247,▲1317,＋0.87%,153950,150437,149822,153840,30461,2834847
2015/02/12,154126,155882,150613,151930,▼2196,－1.42%,154213,150086,149705,153829,30433,2828048
2015/02/11,153686,155004,152369,154126,▼439,－0.28%,154565,149800,149625,153833,39320,2822409
2015/02/10,155882,156321,153247,154565,▼1317,－0.85%,154213,149449,149515,153818,25600,2824239
2015/02/09,154565,156321,153247,155882,▲1317,＋0.85%,152896,149010,149442,153796,36503,2832099
2015/02/06,152808,154565,152808,154565,▲878,＋0.57%,151491,148637,149317,153771,27017,2834802
2015/02/05,152808,154565,151930,153686,▲1317,＋0.86%,150613,148242,149237,153760,33080,2832995
2015/02/04,147539,153686,147100,152369,▲4391,＋2.97%,149383,147759,149142,153752,80601,2836075
2015/02/03,148856,149295,147100,147978,▼878,－0.59%,148505,147407,149149,153760,17393,2841351
2015/02/02,149295,150174,147978,148856,▼1317,－0.88%,148505,147341,149171,153815,18659,2839565
2015/01/30,148417,150174,146661,150174,▲2635,＋1.79%,148066,147276,149222,153855,34041,2837373
2015/01/29,147539,148856,147100,147539,▼439,－0.30%,147539,147188,149237,153902,20221,2834943
2015/01/28,147539,148856,146661,147978,0.0,0.00%,147715,147254,149354,153976,20517,2836606
2015/01/27,147100,147978,145783,147978,▲1317,＋0.90%,147802,147407,149471,154038,23122,2832745
2015/01/26,147100,147539,145343,146661,▼878,－0.60%,147978,147583,149552,154093,24225,2829389
2015/01/23,149295,149735,145783,147539,▼878,－0.59%,148242,147759,149727,154166,36755,2830886
2015/01/22,148417,148856,147100,148417,0.0,0.00%,147978,147912,149910,154202,35148,2830901
2015/01/21,148856,149735,146222,148417,▼439,－0.29%,147539,147978,150232,154217,27849,2827698
2015/01/20,148417,149735,147539,148856,▲878,＋0.59%,147276,148066,150576,154243,25846,2829407
2015/01/19,145783,149295,145783,147978,▲1756,＋1.20%,146661,148198,150876,154276,43366,2830193
2015/01/16,146222,147539,144904,146222,0.0,0.00%,146749,148198,151191,154309,16747,2830611
2015/01/15,146661,147539,145343,146222,▼878,－0.60%,146836,148285,151506,154382,19288,2831982
2015/01/14,146661,147978,146222,147100,▲1317,＋0.90%,146397,148549,151820,154462,19980,2833928
2015/01/13,147539,147978,145783,145783,▼2635,－1.78%,146046,148615,152179,154532,31171,2838270
2015/01/12,148417,151052,147539,148417,▲1756,＋1.20%,146222,148659,152530,154612,39152,2836147
2015/01/09,144904,146661,144026,146661,▲2635,＋1.83%,146046,148703,152720,154663,19827,2837211
2015/01/08,145783,146661,142709,144026,▼1317,－0.91%,146397,148878,152947,154733,46862,2831031
2015/01/07,147978,147978,145343,145343,▼1317,－0.90%,147363,149230,153211,154810,20003,2828254
2015/01/06,147539,148856,146661,146661,▼878,－0.60%,148505,149647,153460,154872,14505,2830902
2015/01/05,147539,149295,147100,147539,▼878,－0.59%,149471,149998,153679,154927,20892,2830419
2015/01/02,147978,150174,147978,148417,▼439,－0.29%,149998,150261,153928,154993,13301,2829722
2014/12/30,150613,151930,147100,148856,▼2196,－1.45%,150437,150547,154148,155055,41111,2828330
2014/12/29,149735,151930,149735,151052,▼439,－0.29%,150613,150744,154360,155110,13910,2834460
2014/12/26,150174,151930,150174,151491,▲1317,＋0.88%,150437,150832,154565,155132,33294,2838296
2014/12/24,149295,150613,148856,150174,▼439,－0.29%,150437,150854,154762,155176,21049,2842893
2014/12/23,150174,151491,148856,150613,▲878,＋0.59%,149998,150986,154996,155223,25765,2845307
2014/12/22,150174,150174,147978,149735,▼439,－0.29%,149471,150942,155245,155293,19746,2848154
2014/12/19,151491,151491,148417,150174,▼1317,－0.87%,149822,151030,155501,155373,34121,2849580
2014/12/18,148417,151491,147978,151491,▲3513,＋2.37%,149471,151074,155780,155432,35553,2859497
2014/12/17,147539,149735,147539,147978,0.0,0.00%,148505,150810,155984,155458,35122,2858960
2014/12/16,151491,151491,147100,147978,▼3513,－2.32%,148768,150832,156277,155505,29807,2861878
2014/12/15,148417,151930,147539,151491,▲3074,＋2.07%,149208,150744,156607,155545,17463,2876856
2014/12/12,148417,149735,147100,148417,▲1756,＋1.20%,149120,150525,156848,155582,21204,2882859
2014/12/11,149295,149735,145783,146661,▼2635,－1.76%,150174,150481,157148,155648,39614,2881041
2014/12/10,149295,151052,148856,149295,▼878,－0.58%,151579,150657,157470,155714,21392,2889549
2014/12/09,151052,151930,149735,150174,▼878,－0.58%,152281,150613,157675,155747,15017,2889631
2014/12/08,152808,153247,150613,151052,▼2635,－1.71%,153072,150591,157807,155787,18008,2890864
2014/12/05,153247,154126,152808,153686,0.0,0.00%,153423,150437,157880,155805,9401,2893617
2014/12/04,152808,154126,151930,153686,▲878,＋0.57%,153247,150393,157916,155805,21798,2896079
2014/12/03,152808,155004,151930,152808,▼1317,－0.85%,152896,150174,157873,155787,26558,2896156
2014/12/02,151491,155443,151052,154126,▲1317,＋0.86%,152896,150130,157873,155794,36969,2902389
2014/12/01,151491,153686,150613,152808,0.0,0.00%,152018,149976,157807,155780,25925,2894580
2014/11/28,151052,153686,150174,152808,▲878,＋0.58%,151754,150064,157770,155765,25904,2888299
2014/11/27,151491,153247,150613,151930,▼878,－0.57%,151403,150174,157755,155783,17614,2888178
