[일시]금호산업,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,12600,13550,12500,13500,▲900,＋7.14%,12820,11785,11866,11416,597185,3912544
2019/01/29,12800,12850,12250,12600,▼350,－2.70%,12570,11678,11814,11392,437986,3757826
2019/01/28,12850,13300,12550,12950,▲250,＋1.97%,12360,11638,11769,11376,404249,3770898
2019/01/25,12350,12800,12200,12700,▲350,＋2.83%,12080,11595,11716,11355,249401,3922566
2019/01/24,12250,12500,11950,12350,▲100,＋0.82%,11850,11595,11668,11337,150178,3897922
2019/01/23,11550,12300,11450,12250,▲700,＋6.06%,11640,11615,11623,11320,261895,3925463
2019/01/22,11550,11650,11450,11550,0.0,0.00%,11490,11643,11589,11305,80291,3974549
2019/01/21,11550,11600,11300,11550,0.0,0.00%,11480,11705,11569,11292,68504,3983125
2019/01/18,11300,11550,11250,11550,▲250,＋2.21%,11400,11768,11552,11281,98368,3985334
2019/01/17,11500,11550,11000,11300,▼200,－1.74%,11300,11840,11544,11266,144078,3986523
2019/01/16,11600,11600,11300,11500,0.0,0.00%,11280,11920,11541,11255,87655,4001821
2019/01/15,11300,11500,11100,11500,▲350,＋3.14%,11250,11975,11539,11242,163939,4017004
2019/01/14,11150,11350,10950,11150,▲100,＋0.90%,11240,12033,11534,11229,119533,3974721
2019/01/11,11200,11200,10950,11050,▼150,－1.34%,11300,12085,11532,11221,86603,3957210
2019/01/10,11400,11400,11050,11200,▼150,－1.32%,11380,12115,11529,11212,80286,3960886
2019/01/09,11450,11450,11200,11350,▼100,－0.87%,11400,12135,11522,11203,71133,3978443
2019/01/08,11550,11550,11300,11450,0.0,0.00%,11400,12155,11511,11192,63345,3996736
2019/01/07,11550,11650,11400,11450,0.0,0.00%,11470,12170,11483,11179,94680,3993866
2019/01/04,11100,11450,11100,11450,▲150,＋1.33%,11600,12200,11463,11167,97442,3990223
2019/01/03,11400,11600,11200,11300,▼50,－0.44%,11850,12235,11457,11151,67216,3981711
2019/01/02,11950,11950,11300,11350,▼450,－3.81%,12140,12275,11459,11138,82992,3967099
2018/12/28,12150,12150,11550,11800,▼300,－2.48%,12430,12298,11465,11122,80988,3987019
2018/12/27,12300,12500,12000,12100,▼600,－4.72%,12630,12290,11462,11104,105924,4012261
2018/12/26,12750,12750,12550,12700,▼50,－0.39%,12770,12283,11464,11083,125318,4012048
2018/12/24,12700,12950,12600,12750,▼50,－0.39%,12830,12245,11451,11060,91615,4016084
2018/12/21,12800,12950,12550,12800,0.0,0.00%,12860,12200,11437,11041,79926,4012779
2018/12/20,12700,13050,12400,12800,0.0,0.00%,12820,12140,11422,11019,133284,4061319
2018/12/19,13000,13100,12600,12800,▼200,－1.54%,12790,12070,11399,10999,120357,4049557
2018/12/18,12900,13150,12600,13000,▲100,＋0.78%,12670,12020,11376,10983,94057,4053146
2018/12/17,12500,12900,12450,12900,▲300,＋2.38%,12400,11960,11354,10968,145810,4033924
2018/12/14,12750,12750,12150,12600,▼50,－0.40%,12140,11920,11344,10951,86560,4034447
2018/12/13,12250,12750,12250,12650,▲450,＋3.69%,11970,11895,11335,10941,197747,4041139
2018/12/12,11650,12250,11650,12200,▲550,＋4.72%,11790,11860,11317,10933,156945,4019011
2018/12/11,11750,11750,11150,11650,▲50,＋0.43%,11760,11845,11305,10926,60768,3999261
2018/12/10,11700,11750,11550,11600,▼150,－1.28%,11860,11835,11304,10928,45763,3996120
2018/12/07,11850,11850,11700,11750,0.0,0.00%,11960,11820,11300,10936,34207,3998244
2018/12/06,12000,12100,11600,11750,▼300,－2.49%,11970,11780,11291,10941,100163,3988657
2018/12/05,12000,12050,11900,12050,▼100,－0.82%,11950,11750,11281,10953,79289,4016880
2018/12/04,12200,12200,12000,12150,▲50,＋0.41%,11930,11695,11262,10962,88539,4028623
2018/12/03,11900,12100,11800,12100,▲300,＋2.54%,11890,11625,11241,10968,100529,4009670
2018/11/30,11700,11850,11550,11800,▲150,＋1.29%,11840,11538,11219,10974,65599,4000212
2018/11/29,12050,12050,11650,11650,▼300,－2.51%,11800,11468,11201,10985,86869,3991535
2018/11/28,11900,12000,11700,11950,0.0,0.00%,11750,11380,11187,10996,48935,4007201
2018/11/27,11900,12000,11700,11950,▲100,＋0.84%,11720,11271,11165,11006,80233,3983401
2018/11/26,11600,11950,11600,11850,▲250,＋2.16%,11690,11164,11148,11020,59897,3995049
2018/11/23,11400,11700,11300,11600,▲200,＋1.75%,11740,11055,11133,11035,57003,3974653
2018/11/22,11700,11800,11250,11400,▼400,－3.39%,11840,10985,11127,11049,83012,3965530
2018/11/21,11600,11800,11500,11800,0.0,0.00%,11950,10932,11125,11074,72523,3968071
2018/11/20,11750,12050,11650,11800,▼300,－2.48%,11970,10870,11114,11075,103251,3958193
2018/11/19,12150,12400,11900,12100,0.0,0.00%,11900,10832,11097,11091,156994,3939593
2018/11/16,12000,12200,11950,12100,▲150,＋1.26%,11740,10782,11082,11106,105144,3948753
2018/11/15,11900,12250,11800,11950,▲50,＋0.42%,11510,10747,11061,11126,204673,3936429
2018/11/14,11600,12100,11500,11900,▲450,＋3.93%,11350,10710,11045,11143,299438,3934967
2018/11/13,11150,11550,10850,11450,▲150,＋1.33%,11160,10667,11028,11159,148915,3905111
2018/11/12,10850,11300,10850,11300,▲350,＋3.20%,11020,10637,11014,11182,136142,3890867
2018/11/09,11150,11200,10900,10950,▼200,－1.79%,10830,10612,11003,11217,53946,3853206
2018/11/08,11300,11350,11000,11150,▲200,＋1.83%,10720,10597,10994,11256,79837,3849138
2018/11/07,10800,11650,10800,10950,▲200,＋1.86%,10470,10530,10979,11281,341091,3837579
2018/11/06,10450,11000,10400,10750,▲400,＋3.86%,10232,10495,10969,11305,134408,3785250
2018/11/05,10400,10400,10100,10350,▼50,－0.48%,10044,10512,10962,11335,29592,3773579
2018/11/02,9930,10400,9930,10400,▲500,＋5.05%,9908,10565,10967,11363,112967,3766500
2018/11/01,10000,10150,9840,9900,▲140,＋1.43%,9868,10630,10971,11398,99269,3735744
2018/10/31,9930,10000,9670,9760,▼50,－0.51%,9958,10717,10982,11434,114239,3773791
2018/10/30,9250,9950,9250,9810,▲140,＋1.45%,10116,10839,10994,11477,104575,3808194
2018/10/29,9910,10350,9660,9670,▼530,－5.20%,10364,10944,11007,11505,168207,3838021
2018/10/26,10500,10650,10000,10200,▼150,－1.45%,10650,11055,11018,11524,216289,3871398
2018/10/25,10300,10450,9950,10350,▼200,－1.90%,10890,11143,11020,11540,159794,3865902
2018/10/24,11100,11300,10450,10550,▼500,－4.52%,11060,11195,11016,11557,237115,3848292
2018/10/23,11200,11250,10900,11050,▼50,－0.45%,11160,11238,11009,11569,46886,3893115
2018/10/22,11350,11350,11050,11100,▼300,－2.63%,11120,11270,10988,11575,52276,3874472
2018/10/19,11200,11400,10800,11400,▲200,＋1.79%,11060,11330,10969,11581,108626,3860461
2018/10/18,11100,11450,11050,11200,▲150,＋1.36%,10910,11363,10945,11584,68123,3832233
2018/10/17,11000,11100,10900,11050,▲200,＋1.84%,10630,11380,10925,11587,35115,3814649
2018/10/16,10650,11050,10550,10850,▲50,＋0.46%,10470,11403,10910,11584,74602,3812078
2018/10/15,10600,10800,10350,10800,▲150,＋1.41%,10520,11440,10895,11584,88978,3809691
2018/10/12,9700,10650,9700,10650,▲850,＋8.67%,10640,11468,10884,11585,161700,3820381
2018/10/11,9940,10300,9800,9800,▼450,－4.39%,10850,11495,10873,11584,191848,3795783
2018/10/10,11000,11200,10050,10250,▼850,－7.66%,11220,11563,10875,11593,167933,3767391
2018/10/08,11350,11350,10800,11100,▼300,－2.63%,11610,11598,10871,11599,89727,3761754
2018/10/05,11700,11750,11000,11400,▼300,－2.56%,11770,11585,10845,11597,151207,3755209
2018/10/04,11750,11900,11650,11700,▲50,＋0.43%,11870,11555,10817,11592,121064,3739154
2018/10/02,12250,12250,11550,11650,▼550,－4.51%,11920,11505,10780,11587,170837,3724481
2018/10/01,11900,12300,11800,12200,▲300,＋2.52%,11870,11465,10746,11581,125199,3776366
2018/09/28,11800,11950,11600,11900,0.0,0.00%,11710,11385,10702,11574,112575,3749810
2018/09/27,12000,12100,11650,11900,▼50,－0.42%,11670,11338,10670,11568,102853,3718393
2018/09/21,11400,11950,11400,11950,▲550,＋4.82%,11750,11290,10646,11562,148783,3741538
2018/09/20,11550,11750,11300,11400,0.0,0.00%,11770,11255,10616,11552,111136,3697328
2018/09/19,11700,11800,11150,11400,▼300,－2.56%,11800,11248,10598,11548,145166,3702993
2018/09/18,12300,12300,11600,11700,▼600,－4.88%,11820,11235,10590,11548,208236,3706469
2018/09/17,12250,12400,12050,12300,▲250,＋2.07%,11800,11190,10581,11541,143107,3757940
2018/09/14,11550,12150,11550,12050,▲500,＋4.33%,11610,11133,10559,11529,195431,3784043
2018/09/13,11350,11600,11300,11550,▲50,＋0.43%,11440,11073,10546,11524,83929,3713605
2018/09/12,11750,11750,11400,11500,▼100,－0.86%,11360,11045,10549,11524,101437,3684049
2018/09/11,11500,11650,11250,11600,▲250,＋2.20%,11250,11015,10547,11524,181741,3676052
2018/09/10,11200,11400,11100,11350,▲150,＋1.34%,11100,10965,10552,11523,104242,3675441
2018/09/07,11300,11350,11100,11200,▲50,＋0.45%,10990,10930,10571,11524,58510,3644300
2018/09/06,11000,11200,10850,11150,▲200,＋1.83%,10890,10890,10592,11524,114927,3643705
2018/09/05,10850,11050,10850,10950,▲100,＋0.92%,10830,10845,10626,11523,107704,3635887
2018/09/04,10800,10850,10650,10850,▲50,＋0.46%,10760,10815,10662,11524,56362,3624686
2018/09/03,10800,10850,10600,10800,▲100,＋0.93%,10780,10790,10696,11527,45135,3618750
2018/08/31,10850,10950,10650,10700,▼150,－1.38%,10810,10780,10730,11524,81060,3627167
2018/08/30,10700,10850,10550,10850,▲250,＋2.36%,10920,10778,10769,11522,81551,3609988
2018/08/29,10900,11050,10500,10600,▼350,－3.20%,11000,10765,10806,11518,132239,3581359
2018/08/28,11100,11100,10950,10950,0.0,0.00%,11110,10758,10848,11517,49880,3557544
2018/08/27,10950,11100,10800,10950,▼300,－2.67%,11080,10740,10891,11511,93228,3544685
2018/08/24,11150,11250,11050,11250,0.0,0.00%,11120,10708,10936,11502,52412,3526758
2018/08/23,11150,11350,10950,11250,▲100,＋0.90%,11040,10663,10971,11493,112858,3516681
2018/08/22,10900,11200,10800,11150,▲350,＋3.24%,10990,10605,11022,11484,153448,3511066
2018/08/21,11050,11150,10700,10800,▼350,－3.14%,10940,10555,11036,11478,173805,3496907
2018/08/20,10950,11350,10900,11150,▲300,＋2.76%,10900,10503,11084,11476,90806,3579088
2018/08/17,11000,11100,10850,10850,▼150,－1.36%,10800,10445,11131,11466,64486,3572676
2018/08/16,10550,11150,10500,11000,▲100,＋0.92%,10710,10401,11192,11461,171484,3575124
2018/08/14,10600,11000,10600,10900,▲300,＋2.83%,10560,10350,11241,11453,132385,3602072
2018/08/13,10750,10800,10550,10600,▼50,－0.47%,10450,10312,11291,11447,95586,3569662
2018/08/10,10600,10800,10550,10650,▲250,＋2.40%,10400,10279,11350,11441,142358,3560041
2018/08/09,10400,10550,10200,10400,▲150,＋1.46%,10390,10254,11431,11431,99521,3564497
2018/08/08,10400,10550,10250,10250,▼100,－0.97%,10440,10233,11518,11422,72379,3546264
2018/08/07,10500,10500,10100,10350,0.0,0.00%,10510,10218,11583,11415,45187,3533794
2018/08/06,10600,10700,10350,10350,▼250,－2.36%,10530,10201,11641,11408,43622,3530416
2018/08/03,10650,10800,10500,10600,▼50,－0.47%,10580,10159,11707,11400,57717,3536473
2018/08/02,10550,10800,10450,10650,▲50,＋0.47%,10520,10116,11760,11392,117466,3550486
2018/08/01,10450,10650,10450,10600,▲150,＋1.44%,10460,10057,11825,11385,30735,3546220
2018/07/31,10600,10650,10300,10450,▼150,－1.42%,10360,10007,11886,11382,72823,3546066
2018/07/30,10500,10850,10400,10600,▲300,＋2.91%,10300,9963,11961,11380,140526,3545213
2018/07/27,10400,10450,10200,10300,▼50,－0.48%,10132,9932,12004,11375,67238,3551060
2018/07/26,10100,10500,10050,10350,▲250,＋2.48%,10068,9939,12031,11374,160876,3554516
2018/07/25,10150,10300,10000,10100,▼50,－0.49%,9992,9932,12061,11372,90527,3548029
2018/07/24,9750,10250,9720,10150,▲390,＋4.00%,9968,9942,12097,11370,168110,3551419
2018/07/23,9930,9930,9710,9760,▼220,－2.20%,9968,9979,12128,11368,124848,3540858
2018/07/20,9910,10050,9900,9980,▲10,＋0.10%,10004,10051,12162,11367,154748,3540733
2018/07/19,9980,10200,9900,9970,▼10,－0.10%,10038,10100,12192,11362,112342,3550160
2018/07/18,10150,10200,9900,9980,▼170,－1.67%,10038,10166,12223,11357,165142,3561959
2018/07/17,10100,11600,10000,10150,▲210,＋2.11%,10034,10252,12248,11354,1312331,3590619
2018/07/16,10200,10250,9940,9940,▼210,－2.07%,10004,10315,12259,11349,79063,3669894
2018/07/13,10100,10400,10000,10150,▲180,＋1.81%,9918,10413,12274,11345,130568,3678261
2018/07/12,9980,10150,9780,9970,▲10,＋0.10%,9836,10530,12286,11341,60452,3677713
2018/07/11,9930,10200,9760,9960,▼40,－0.40%,9736,10654,12296,11340,123322,3678340
2018/07/10,9640,10100,9550,10000,▲490,＋5.15%,9664,10814,12310,11337,177318,3716375
2018/07/09,9680,9690,9370,9510,▼230,－2.36%,9580,10971,12326,11334,121994,3725934
2018/07/06,9470,9800,9440,9740,▲270,＋2.85%,9672,11138,12349,11336,156391,3783388
2018/07/05,9610,9690,9220,9470,▼130,－1.35%,9814,11294,12368,11333,277557,3799721
2018/07/04,9550,9860,9540,9600,▲20,＋0.21%,9960,11473,12393,11333,188189,3785943
2018/07/03,10050,10200,9500,9580,▼390,－3.91%,10100,11645,12417,11332,331769,3772931
2018/07/02,10300,10500,9970,9970,▼480,－4.59%,10364,11824,12446,11330,144784,3741413
2018/06/29,10250,10500,10000,10450,▲250,＋2.45%,10610,12003,12466,11326,145204,3767473
2018/06/28,10200,10450,10050,10200,▼100,－0.97%,10710,12163,12478,11318,103004,3784679
2018/06/27,11000,11100,10200,10300,▼600,－5.50%,10930,12320,12488,11313,283877,3784139
2018/06/26,11100,11250,10850,10900,▼300,－2.68%,11210,12520,12498,11303,99368,3821014
2018/06/25,11000,11400,10950,11200,▲250,＋2.28%,11310,12575,12506,11292,82774,3847446
2018/06/22,11250,11400,10800,10950,▼350,－3.10%,11450,12698,12501,11277,196761,3856791
2018/06/21,11700,11850,11050,11300,▼400,－3.42%,11760,12848,12498,11267,134148,3831417
2018/06/20,11450,11700,11250,11700,▲300,＋2.63%,11990,13010,12501,11256,115873,3838758
2018/06/19,11900,12150,11350,11400,▼500,－4.20%,12280,13123,12500,11240,174862,3844221
2018/06/18,12400,12450,11800,11900,▼600,－4.80%,12630,13245,12502,11229,152743,3836062
2018/06/15,12350,12700,12150,12500,▲50,＋0.40%,12820,13358,12493,11215,182456,3824831
2018/06/14,12650,12950,12450,12450,▼700,－5.32%,12890,13508,12476,11195,169573,3797286
2018/06/12,13250,13550,12950,13150,0.0,0.00%,13010,13668,12456,11172,306895,3806180
2018/06/11,12950,13250,12850,13150,▲300,＋2.33%,12990,13718,12420,11143,247452,3777704
2018/06/08,13600,14300,12850,12850,0.0,0.00%,12990,13753,12387,11113,645003,3709812
2018/06/07,13100,13200,12800,12850,▼200,－1.53%,13130,13825,12358,11084,224557,3827907
2018/06/05,13050,13200,12550,13050,0.0,0.00%,13290,13870,12319,11058,124805,3786068
2018/06/04,13400,13650,12950,13050,▼100,－0.76%,13350,13945,12275,11035,160123,3769285
2018/06/01,13550,13650,13050,13150,▼400,－2.95%,13600,14008,12231,11014,203245,3769806
2018/05/31,13600,13950,13400,13550,▼100,－0.73%,13370,14095,12187,10990,200840,3750100
2018/05/30,13300,13750,13100,13650,▲300,＋2.25%,13390,14078,12130,10959,285005,3789779
2018/05/29,14250,14300,13350,13350,▼950,－6.64%,13450,13993,12068,10928,401553,3717905
2018/05/28,13100,15050,12950,14300,▲2300,＋19.17%,13690,13930,12015,10896,1150603,3753610
2018/05/25,12300,12950,11850,12000,▼1650,－12.09%,13620,13830,11947,10859,767829,3837512
2018/05/24,14000,14150,13100,13650,▼300,－2.15%,13990,13830,11920,10834,236141,3798157
2018/05/23,14300,14350,13850,13950,▼600,－4.12%,14090,13738,11867,10796,257597,3717794
2018/05/21,13950,14550,13950,14550,▲600,＋4.30%,14400,13630,11802,10756,339997,3755984
2018/05/18,13850,14200,13600,13950,▲100,＋0.72%,14620,13493,11729,10710,222523,3647210
2018/05/17,14250,14400,13600,13850,▼300,－2.12%,14660,13370,11664,10667,404034,3644202
2018/05/16,14500,15000,14000,14150,▼1350,－8.71%,14660,13218,11604,10626,565569,3621387
2018/05/15,15750,15800,14900,15500,▼150,－0.96%,14690,13053,11532,10584,595639,3629984
2018/05/14,14450,15700,14250,15650,▲1500,＋10.60%,14340,12820,11431,10531,1127821,3689076
2018/05/11,14000,14200,13800,14150,▲300,＋2.17%,14120,12565,11325,10476,237714,3555520
2018/05/10,14450,14700,13800,13850,▼450,－3.15%,14150,12400,11246,10434,306917,3515779
2018/05/09,14000,14450,13350,14300,▲550,＋4.00%,14360,12255,11175,10397,483039,3540550
2018/05/08,14450,14700,13550,13750,▼800,－5.50%,14140,12085,11094,10356,479853,3472354
2018/05/04,14500,14750,14250,14550,▲250,＋1.75%,13780,11940,11024,10320,330863,3444372
2018/05/03,15050,15100,13900,14300,▼600,－4.03%,13290,11763,10946,10277,762061,3393523
2018/05/02,13350,14900,13350,14900,▲1700,＋12.88%,12890,11598,10878,10236,1481682,3358213
2018/04/30,12100,13200,12100,13200,▲1250,＋10.46%,12310,11420,10799,10188,974193,3161981
2018/04/27,12150,12300,11650,11950,▼150,－1.24%,12030,11318,10747,10156,161679,3062846
2018/04/26,12350,12600,12050,12100,▼200,－1.63%,12000,11278,10717,10135,225791,3061036
2018/04/25,11950,12350,11750,12300,▲300,＋2.50%,11940,11213,10684,10114,324650,3059628
2018/04/24,11850,12000,11500,12000,▲200,＋1.69%,11780,11145,10643,10092,220794,3057184
2018/04/23,12300,12600,11750,11800,0.0,0.00%,11540,11113,10609,10072,616961,3004407
2018/04/20,11900,11900,11450,11800,0.0,0.00%,11350,11068,10572,10056,216670,3026314
2018/04/19,11800,11850,11400,11800,▲300,＋2.61%,11160,11018,10532,10035,446424,3004363
2018/04/18,10800,11600,10800,11500,▲700,＋6.48%,10910,11000,10492,10014,548318,2944506
2018/04/17,10850,10850,10750,10800,▼50,－0.46%,10780,11008,10460,9996,100681,2684244
2018/04/16,10850,10950,10700,10850,0.0,0.00%,10810,11043,10439,9984,135398,2658178
2018/04/13,10700,10850,10650,10850,▲300,＋2.84%,10820,11070,10416,9971,142613,2649968
2018/04/12,10800,11000,10350,10550,▼300,－2.76%,10820,11100,10397,9957,156886,2645097
2018/04/11,11000,11050,10800,10850,▼100,－0.91%,10910,11135,10384,9945,94732,2629478
2018/04/10,10900,11000,10700,10950,▲50,＋0.46%,10940,11143,10364,9932,125456,2629616
2018/04/09,10850,11150,10850,10900,▲50,＋0.46%,11020,11153,10342,9919,128726,2584501
2018/04/06,11000,11000,10650,10850,▼150,－1.36%,11070,11163,10322,9905,182702,2586827
2018/04/05,11000,11200,10850,11000,0.0,0.00%,11130,11148,10299,9893,134862,2568745
2018/04/04,11400,11450,10950,11000,▼350,－3.08%,11090,11118,10273,9878,165547,2548223
2018/04/03,10950,11550,10950,11350,▲200,＋1.79%,11080,11088,10247,9864,283028,2540616
2018/04/02,11600,13000,11150,11150,0.0,0.00%,11080,11045,10215,9849,1920269,2442023
2018/03/30,10850,11300,10700,11150,▲350,＋3.24%,11030,10995,10186,9833,239099,2589179
2018/03/29,10950,10950,10600,10800,▼150,－1.37%,10960,10935,10159,9818,183450,2550964
2018/03/28,11300,11300,10800,10950,▼400,－3.52%,11090,10902,10138,9808,196504,2545874
2018/03/27,10900,11550,10900,11350,▲450,＋4.13%,11230,10865,10108,9792,244721,2584899
2018/03/26,10750,10950,10550,10900,▲100,＋0.93%,11260,10817,10078,9772,149933,2568984
2018/03/23,11300,11300,10700,10800,▼650,－5.68%,11360,10797,10054,9759,271982,2529894
2018/03/22,11750,11800,11350,11450,▼200,－1.72%,11490,10757,10035,9745,173475,2490690
2018/03/21,11500,11800,11500,11650,▲150,＋1.30%,11450,10695,10011,9724,230254,2477882
2018/03/20,11350,11500,11050,11500,▲100,＋0.88%,11320,10615,9979,9700,172928,2440410
2018/03/19,11450,11850,11350,11400,▼50,－0.44%,11250,10552,9957,9673,209623,2407176
2018/03/16,11250,11450,10950,11450,▲200,＋1.78%,11190,10473,9937,9649,304275,2396708
2018/03/15,11150,11350,11000,11250,▲250,＋2.27%,11010,10374,9914,9625,201254,2354381
2018/03/14,11150,11150,10850,11000,▼150,－1.35%,10840,10276,9889,9604,151577,2370902
2018/03/13,11000,11300,11000,11150,▲50,＋0.45%,10720,10196,9867,9583,226683,2364979
2018/03/12,10700,11200,10600,11100,▲550,＋5.21%,10590,10118,9840,9561,442489,2355981
2018/03/09,10450,10700,10450,10550,▲150,＋1.44%,10400,10034,9810,9540,157694,2313342
2018/03/08,10350,10650,10350,10400,0.0,0.00%,10278,9986,9797,9522,155296,2270689
2018/03/07,10500,10600,10250,10400,▼100,－0.95%,10228,9958,9794,9510,104361,2268016
2018/03/06,10200,10600,10200,10500,▲350,＋3.45%,10188,9948,9797,9497,178573,2257468
2018/03/05,10100,10250,9990,10150,▲210,＋2.11%,10168,9931,9794,9486,116345,2252110
2018/03/02,10100,10150,9940,9940,▼210,－2.07%,10238,9928,9788,9478,110278,2249131
2018/02/28,10200,10300,10000,10150,▼50,－0.49%,10250,9939,9787,9473,130586,2255025
2018/02/27,10450,10550,10150,10200,▼200,－1.92%,10260,9939,9777,9465,167711,2240173
2018/02/26,10500,10850,10300,10400,▼100,－0.95%,10230,9921,9772,9458,345610,2232236
2018/02/23,10050,10500,10000,10500,▲500,＋5.00%,10200,9896,9748,9451,346408,2210550
2018/02/22,10150,10200,9950,10000,▼200,－1.96%,10062,9850,9725,9442,105319,2168289
2018/02/21,10000,10200,9990,10200,▲150,＋1.49%,9956,9821,9710,9439,114648,2152753
2018/02/20,10200,10350,10050,10050,▼200,－1.95%,9776,9781,9690,9436,181406,2135347
2018/02/19,9900,10300,9870,10250,▲440,＋4.49%,9646,9757,9669,9435,263018,2101812
2018/02/14,9470,9810,9400,9810,▲340,＋3.59%,9512,9722,9649,9434,94580,2020312
2018/02/13,9380,9610,9270,9470,▲170,＋1.83%,9434,9705,9637,9439,133335,2022353
2018/02/12,9400,9460,9280,9300,▼100,－1.06%,9458,9717,9631,9444,117720,1979532
2018/02/09,9460,9520,9290,9400,▼180,－1.88%,9568,9742,9626,9452,125063,1980335
2018/02/08,9420,9610,9420,9580,▲160,＋1.70%,9728,9754,9623,9460,81248,2001512
2018/02/07,9710,9750,9420,9420,▼170,－1.77%,9842,9756,9619,9469,123146,2008223
2018/02/06,9570,9610,9240,9590,▼260,－2.64%,9978,9771,9619,9478,208327,2003347
2018/02/05,10000,10050,9820,9850,▼350,－3.43%,10090,9764,9615,9487,210562,2020647
2018/02/02,10100,10400,10100,10200,▲50,＋0.49%,10150,9742,9607,9496,248815,2029778
2018/02/01,10000,10200,9970,10150,▲50,＋0.50%,10078,9705,9593,9500,160252,2012024
2018/01/31,10150,10150,9800,10100,▼50,－0.49%,10030,9668,9578,9504,248421,2009380
2018/01/30,10050,10200,9980,10150,0.0,0.00%,9926,9636,9566,9514,162916,2005292
2018/01/29,9900,10250,9810,10150,▲310,＋3.15%,9780,9605,9553,9525,346792,2013395
2018/01/26,9910,9990,9760,9840,▼70,－0.71%,9630,9573,9544,9534,121452,1984618
2018/01/25,9610,9960,9600,9910,▲330,＋3.44%,9576,9540,9541,9549,339175,1990540
2018/01/24,9470,9630,9420,9580,▲160,＋1.70%,9502,9522,9536,9564,122719,1895995
2018/01/23,9500,9550,9380,9420,▲20,＋0.21%,9482,9515,9541,9584,103065,1864646
2018/01/22,9610,9620,9330,9400,▼170,－1.78%,9540,9528,9538,9602,133755,1852119
2018/01/19,9460,9670,9460,9570,▲30,＋0.31%,9620,9557,9537,9623,94979,1862913
2018/01/18,9490,9640,9480,9540,▲60,＋0.63%,9632,9567,9533,9642,63792,1844727
2018/01/17,9710,9730,9470,9480,▼230,－2.37%,9648,9597,9530,9663,122170,1846222
2018/01/16,9760,9860,9640,9710,▼90,－0.92%,9696,9633,9527,9683,124680,1854829
2018/01/15,9700,9950,9590,9800,▲170,＋1.77%,9644,9653,9518,9715,200265,1858483
2018/01/12,9620,9740,9550,9630,▲10,＋0.10%,9568,9649,9506,9741,119868,1862490
2018/01/11,9730,9800,9570,9620,▼100,－1.03%,9534,9651,9499,9771,126801,1865178
2018/01/10,9450,9720,9440,9720,▲270,＋2.86%,9492,9647,9496,9800,192832,1862369
2018/01/09,9460,9490,9310,9450,▲30,＋0.32%,9438,9627,9489,9827,97391,1785671
2018/01/08,9460,9570,9300,9420,▼40,－0.42%,9456,9641,9487,9867,139026,1751798
2018/01/05,9410,9480,9300,9460,▲50,＋0.53%,9474,9682,9483,9902,94891,1731043
2018/01/04,9480,9530,9360,9410,▼40,－0.42%,9416,9737,9480,9939,119702,1724926
2018/01/03,9520,9710,9420,9450,▼90,－0.94%,9444,9784,9483,9975,171376,1635099
2018/01/02,9550,9600,9340,9540,▲30,＋0.32%,9444,9800,9481,10011,124079,1650377
2017/12/28,9270,9700,9110,9510,▲340,＋3.71%,9470,9818,9477,10036,234038,1640680
2017/12/27,9330,9520,9140,9170,▼380,－3.98%,9566,9820,9478,10058,293298,1565005
2017/12/26,9520,9660,9450,9550,▲100,＋1.06%,9684,9857,9476,10081,113149,1568827
2017/12/22,9680,9790,9420,9450,▼220,－2.28%,9804,9827,9466,10095,188491,1628868
2017/12/21,9990,10000,9630,9670,▼320,－3.20%,9954,9811,9464,10106,160405,1727806
2017/12/20,9820,10150,9750,9990,▲230,＋2.36%,10040,9782,9454,10111,166567,1753386
2017/12/19,10200,10300,9760,9760,▼390,－3.84%,9986,9733,9438,10112,212206,1738294
2017/12/18,10300,10350,9990,10150,▼50,－0.49%,9968,9685,9421,10114,198587,1742279
2017/12/15,10200,10450,9880,10200,▲100,＋0.99%,9848,9628,9390,10112,360695,1757067
2017/12/14,9770,10300,9660,10100,▲380,＋3.91%,9672,9573,9361,10112,369258,1797496
2017/12/13,9550,9780,9460,9720,▲50,＋0.52%,9596,9525,9336,10115,105270,1816905
2017/12/12,9450,9790,9450,9670,▲120,＋1.26%,9702,9488,9320,10121,141818,1810909
2017/12/11,9300,9590,9300,9550,▲230,＋2.47%,9878,9464,9298,10127,135178,1795097
2017/12/08,9900,9900,9280,9320,▼400,－4.12%,10038,9454,9281,10135,203129,1817421
2017/12/07,10300,10500,9670,9720,▼530,－5.17%,10130,9458,9271,10146,326780,1823649
2017/12/06,10600,10600,10100,10250,▼300,－2.84%,10166,9441,9248,10154,253502,1837361
2017/12/05,10550,10600,10150,10550,▲200,＋1.93%,10026,9397,9226,10159,398749,1839346
2017/12/04,9780,10450,9750,10350,▲570,＋5.83%,9896,9339,9198,10160,592187,1891080
2017/12/01,9970,10100,9710,9780,▼120,－1.21%,9616,9282,9178,10161,209649,1845865
2017/11/30,9490,10150,9400,9900,▲350,＋3.66%,9488,9263,9169,10170,666415,1873049
2017/11/29,9950,9950,9350,9550,▼350,－3.54%,9324,9237,9158,10176,729279,1786382
2017/11/28,8970,10400,8970,9900,▲950,＋10.61%,9216,9238,9153,10188,2612449,1866614
