[일시]한국공항,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,47000,48100,46550,47200,▲2200,＋4.89%,45420,42828,41828,40039,18863,248625
2019/01/29,45300,45300,44650,45000,▲150,＋0.33%,44620,42580,41693,39987,2064,247931
2019/01/28,44850,45500,44550,44850,▼400,－0.88%,44240,42465,41583,39955,2208,247045
2019/01/25,44800,46850,44400,45250,▲450,＋1.00%,43810,42328,41476,39920,10172,252892
2019/01/24,43400,45200,43400,44800,▲1600,＋3.70%,43460,42125,41346,39884,6731,253027
2019/01/23,43450,43450,42950,43200,▲100,＋0.23%,43130,41925,41212,39850,2414,252653
2019/01/22,43000,43500,42500,43100,▲400,＋0.94%,42870,41805,41106,39832,2710,251573
2019/01/21,43500,44000,42650,42700,▼800,－1.84%,42600,41688,41019,39811,2084,251470
2019/01/18,43350,44050,43150,43500,▲350,＋0.81%,42220,41608,40942,39794,3570,251772
2019/01/17,41950,43400,41950,43150,▲1250,＋2.98%,41870,41500,40844,39771,4857,251628
2019/01/16,41950,42400,41750,41900,▲150,＋0.36%,41540,41418,40758,39750,594,251378
2019/01/15,40750,41850,40750,41750,▲950,＋2.33%,41400,41408,40690,39747,1847,251337
2019/01/14,41750,42000,40450,40800,▼950,－2.28%,41300,41395,40622,39745,2434,251144
2019/01/11,41500,41900,41300,41750,▲250,＋0.60%,41390,41430,40567,39739,2221,250917
2019/01/10,41200,41700,41200,41500,▲300,＋0.73%,41320,41390,40496,39734,2511,250798
2019/01/09,41250,41500,40700,41200,▼50,－0.12%,41220,41360,40426,39733,1260,250757
2019/01/08,41000,41750,40900,41250,0.0,0.00%,41430,41375,40361,39731,854,250823
2019/01/07,41000,41950,41000,41250,▼150,－0.36%,41720,41373,40291,39728,1870,250816
2019/01/04,41000,41450,40000,41400,▲400,＋0.98%,41890,41393,40233,39722,988,250846
2019/01/03,42050,42250,41000,41000,▼1250,－2.96%,41850,41428,40174,39703,1774,250904
2019/01/02,42700,42950,42000,42250,▼450,－1.05%,41810,41493,40127,39688,2933,251065
2018/12/28,42250,42700,41950,42700,▲600,＋1.43%,41520,41483,40063,39660,2707,251065
2018/12/27,41450,42250,41350,42100,▲900,＋2.18%,41130,41448,39984,39632,1465,250899
2018/12/26,40500,41200,40400,41200,▲400,＋0.98%,40930,41430,39917,39610,6702,250707
2018/12/24,40850,41000,40500,40800,0.0,0.00%,40960,41475,39866,39591,5056,250675
2018/12/21,40750,41000,40100,40800,▲50,＋0.12%,41100,41558,39823,39580,4789,258045
2018/12/20,40750,41050,40600,40750,▼350,－0.85%,41280,41648,39768,39565,3282,261194
2018/12/19,41000,41500,40900,41100,▼250,－0.60%,41430,41745,39716,39550,4260,262824
2018/12/18,41800,41800,40400,41350,▼150,－0.36%,41510,41838,39658,39536,634,262922
2018/12/17,41000,41850,40950,41500,▼200,－0.48%,41430,41905,39596,39518,1193,262921
2018/12/14,41350,41800,40850,41700,▲200,＋0.48%,41310,41963,39533,39499,1620,264110
2018/12/13,41500,41500,41000,41500,0.0,0.00%,41270,42018,39478,39489,2141,264495
2018/12/12,41800,41800,41000,41500,▲550,＋1.34%,41210,41968,39415,39492,140,264502
2018/12/11,41000,41300,40300,40950,▲50,＋0.12%,41240,41868,39348,39489,552,264516
2018/12/10,41500,41850,40300,40900,▼600,－1.45%,41470,41770,39289,39505,1266,264648
2018/12/07,41000,42150,41000,41500,▲300,＋0.73%,41750,41710,39233,39539,1154,264928
2018/12/06,41300,41950,40950,41200,▼450,－1.08%,41860,41630,39166,39568,817,264915
2018/12/05,41200,41800,40950,41650,▼450,－1.07%,42020,41570,39103,39598,1948,264927
2018/12/04,42300,42850,41500,42100,▼200,－0.47%,42040,41453,39035,39625,889,264929
2018/12/03,42750,43050,42050,42300,▲250,＋0.59%,42040,41310,38963,39650,1782,264867
2018/11/30,42500,42500,41400,42050,▲50,＋0.12%,42070,41165,38890,39658,1210,263769
2018/11/29,41550,42500,41550,42000,▲250,＋0.60%,42180,41018,38828,39661,3668,263733
2018/11/28,42250,42250,41300,41750,▼350,－0.83%,42320,40838,38768,39672,1222,263054
2018/11/27,42550,42550,41750,42100,▼350,－0.82%,42560,40670,38713,39680,745,263038
2018/11/26,42500,43050,42000,42450,▼150,－0.35%,42680,40438,38648,39677,2305,263130
2018/11/23,42900,42900,42450,42600,▼100,－0.23%,42720,40153,38577,39673,1204,263238
2018/11/22,43050,43150,42400,42700,▼250,－0.58%,42760,39865,38495,39678,2665,263097
2018/11/21,42000,43200,41100,42950,▲250,＋0.59%,42320,39625,38424,39683,4738,262778
2018/11/20,42650,42700,41700,42700,▲50,＋0.12%,41630,39380,38356,39680,3057,262354
2018/11/19,42800,43500,41800,42650,▼150,－0.35%,40890,39128,38290,39680,4822,262514
2018/11/16,40650,42800,40350,42800,▲2300,＋5.68%,40300,38893,38222,39687,6674,262657
2018/11/15,39500,40700,39500,40500,▲1000,＋2.53%,39720,38645,38148,39695,5588,262288
2018/11/14,38550,39500,38550,39500,▲500,＋1.28%,39620,38503,38110,39718,6539,261787
2018/11/13,39500,39600,38400,39000,▼700,－1.76%,39580,38403,38103,39747,2892,260859
2018/11/12,39950,39950,39150,39700,▼200,－0.50%,39630,38328,38116,39781,2829,260202
2018/11/09,39950,40350,39450,39900,▼100,－0.25%,39570,38208,38128,39824,937,260602
2018/11/08,40200,40200,39450,40000,▲700,＋1.78%,39410,38078,38147,39866,1132,260487
2018/11/07,40200,40200,38750,39300,▲50,＋0.13%,39090,37930,38163,39907,1835,260096
2018/11/06,40600,40600,39100,39250,▼150,－0.38%,38910,37855,38193,39964,1083,259606
2018/11/05,39300,39500,38850,39400,▲300,＋0.77%,38550,37785,38223,40020,2148,259506
2018/11/02,38400,39400,38400,39100,▲700,＋1.82%,38020,37723,38250,40079,7751,259465
2018/11/01,38600,38700,38200,38400,0.0,0.00%,37570,37688,38281,40147,1718,259421
2018/10/31,37900,38600,37500,38400,▲950,＋2.54%,37470,37668,38327,40229,3790,258802
2018/10/30,36650,38000,36050,37450,▲700,＋1.90%,37400,37650,38363,40299,3715,257768
2018/10/29,36000,38000,36000,36750,▼100,－0.27%,37440,37685,38422,40365,3796,256687
2018/10/26,37550,37750,36500,36850,▼1050,－2.77%,37680,37758,38489,40433,14162,255060
2018/10/25,37700,37900,37300,37900,▼150,－0.39%,37880,37793,38558,40500,2627,245735
2018/10/24,37400,38100,37350,38050,▲400,＋1.06%,37830,37778,38603,40554,4971,244377
2018/10/23,37700,38050,37450,37650,▼300,－0.79%,37720,37758,38647,40608,1195,243095
2018/10/22,37700,37950,37350,37950,▲100,＋0.26%,37690,37755,38698,40665,1963,243031
2018/10/19,37550,37900,37000,37850,▲200,＋0.53%,37560,37743,38743,40711,4699,242226
2018/10/18,36800,37650,36800,37650,▲150,＋0.40%,37450,37770,38803,40755,1071,241937
2018/10/17,37500,37850,37200,37500,0.0,0.00%,37330,37775,38868,40810,710,242306
2018/10/16,37700,37800,37000,37500,▲200,＋0.54%,37390,37775,38911,40869,1613,242377
2018/10/15,36700,37350,36700,37300,0.0,0.00%,37460,37770,38973,40928,793,241586
2018/10/12,36300,37300,36300,37300,▲250,＋0.67%,37630,37780,39041,40992,747,241186
2018/10/11,36000,37800,36000,37050,▼750,－1.98%,37850,37790,39101,41054,9256,240886
2018/10/10,37700,37800,36700,37800,▼50,－0.13%,38040,37810,39166,41125,4255,234373
2018/10/08,38150,38450,37850,37850,▼300,－0.79%,38090,37798,39210,41188,782,233983
2018/10/05,37600,38150,37450,38150,▼250,－0.65%,38150,37795,39233,41255,1755,234108
2018/10/04,38600,38600,37850,38400,▲400,＋1.05%,38160,37783,39250,41317,2098,234186
2018/10/02,37750,38400,37750,38000,▼50,－0.13%,37990,37780,39257,41377,3017,234826
2018/10/01,38150,38350,38000,38050,▼100,－0.26%,37910,37798,39279,41448,1672,234988
2018/09/28,38200,38500,37800,38150,▼50,－0.13%,37830,37818,39303,41525,1804,235246
2018/09/27,37550,38350,37400,38200,▲650,＋1.73%,37720,37823,39317,41602,2428,235380
2018/09/21,37900,37900,37250,37550,▼50,－0.13%,37620,37820,39337,41678,986,235431
2018/09/20,37700,37750,37000,37600,▼50,－0.13%,37790,37828,39362,41745,2856,235294
2018/09/19,37600,38050,37250,37650,▲50,＋0.13%,37820,37870,39384,41810,2038,235246
2018/09/18,37500,38300,37250,37600,▼100,－0.27%,37790,37930,39414,41868,1314,234991
2018/09/17,38100,38400,37600,37700,▼700,－1.82%,37750,37988,39441,41925,1001,234871
2018/09/14,37750,38400,37750,38400,▲650,＋1.72%,37710,38030,39466,41979,2988,235034
2018/09/13,37500,37800,37450,37750,▲250,＋0.67%,37530,38030,39500,42041,2015,234812
2018/09/12,37400,37800,37250,37500,▲100,＋0.27%,37470,38053,39569,42107,1496,234650
2018/09/11,37900,37900,37250,37400,▼100,－0.27%,37480,38130,39630,42174,6242,235008
2018/09/10,37300,37550,37250,37500,0.0,0.00%,37560,38250,39720,42239,3119,235548
2018/09/07,37450,37500,37250,37500,▲50,＋0.13%,37640,38398,39845,42310,1682,235943
2018/09/06,37550,37950,37300,37450,▼100,－0.27%,37810,38573,39969,42382,1020,235259
2018/09/05,38000,38000,37350,37550,▼250,－0.66%,37990,38748,40092,42454,2863,235259
2018/09/04,37600,37900,37350,37800,▼100,－0.26%,38170,38925,40216,42523,2725,235359
2018/09/03,37750,38350,37500,37900,▼450,－1.17%,38260,39090,40336,42592,2852,235322
2018/08/31,38700,38700,38100,38350,0.0,0.00%,38310,39245,40426,42653,3423,235139
2018/08/30,38450,38550,38000,38350,▼100,－0.26%,38180,39375,40494,42705,1881,235171
2018/08/29,38250,38600,38200,38450,▲200,＋0.52%,38200,39515,40576,42756,1540,235176
2018/08/28,38100,38400,37850,38250,▲100,＋0.26%,38280,39623,40647,42813,2197,235176
2018/08/27,37750,38150,37700,38150,▲450,＋1.19%,38380,39758,40706,42867,714,235178
2018/08/24,38300,38450,37350,37700,▼750,－1.95%,38460,39890,40770,42934,5733,235192
2018/08/23,38850,38850,37850,38450,▼400,－1.03%,38600,40055,40862,43018,5771,235196
2018/08/22,38400,38850,38400,38850,▲100,＋0.26%,38550,40163,40941,43093,2647,234107
2018/08/21,38550,38750,38300,38750,▲200,＋0.52%,38590,40253,41003,43163,2206,234041
2018/08/20,38450,38800,38300,38550,▲150,＋0.39%,38800,40350,41071,43248,3571,233975
2018/08/17,38200,38550,38050,38400,▲200,＋0.52%,39180,40455,41153,43338,8660,233084
2018/08/16,38750,39000,37100,38200,▼850,－2.18%,39700,40610,41242,43433,10191,232310
2018/08/14,39450,39850,38400,39050,▼750,－1.88%,40250,40775,41326,43530,9863,232360
2018/08/13,40500,40500,39800,39800,▼650,－1.61%,40660,40828,41392,43608,2848,232399
2018/08/10,41350,41350,40400,40450,▼550,－1.34%,40920,40898,41446,43668,867,232614
2018/08/09,40600,41050,40550,41000,▲50,＋0.12%,41030,40945,41520,43737,959,232577
2018/08/08,41000,41050,40600,40950,▼150,－0.36%,41020,40940,41586,43810,3497,232577
2018/08/07,41100,41250,40800,41100,0.0,0.00%,41060,40940,41652,43879,299,232202
2018/08/06,41100,41200,40400,41100,▲100,＋0.24%,40960,40908,41736,43947,756,232225
2018/08/03,40400,41000,40350,41000,▲50,＋0.12%,40930,40813,41817,44016,594,232035
2018/08/02,41300,41300,40350,40950,▼200,－0.49%,40890,40723,41908,44095,1949,231997
2018/08/01,41250,41300,40900,41150,▲550,＋1.35%,40900,40615,42013,44178,315,232065
2018/07/31,40650,41250,40600,40600,▼350,－0.85%,40790,40525,42131,44269,1214,231956
2018/07/30,40800,41350,40600,40950,▲150,＋0.37%,40800,40470,42234,44368,498,231936
2018/07/27,41450,41450,40100,40800,▼200,－0.49%,40750,40370,42308,44472,1221,230948
2018/07/26,40600,41550,39850,41000,▲400,＋0.99%,40720,40300,42376,44574,942,230830
2018/07/25,41100,41100,40250,40600,▼50,－0.12%,40820,40203,42441,44678,716,230851
2018/07/24,40300,41350,40200,40650,▼50,－0.12%,41000,40120,42505,44776,887,230903
2018/07/23,40550,41300,40200,40700,▲50,＋0.12%,40890,40060,42568,44870,1910,231382
2018/07/20,41500,41500,40350,40650,▼850,－2.05%,40990,39985,42633,44966,3212,232024
2018/07/19,41900,41900,41200,41500,0.0,0.00%,41140,39913,42679,45064,3684,232192
2018/07/18,40000,41950,40000,41500,▲1400,＋3.49%,41020,39860,42706,45146,9081,231010
2018/07/17,40900,41200,40000,40100,▼1100,－2.67%,40910,39880,42753,45224,2597,228571
2018/07/16,41200,41700,40850,41200,▼200,－0.48%,40980,39933,42827,45313,1013,228972
2018/07/13,41450,41650,41200,41400,▲500,＋1.22%,40580,40013,42884,45408,2085,229154
2018/07/12,41000,41000,40400,40900,▼50,－0.12%,40140,40193,42943,45522,1810,229230
2018/07/11,40450,41600,40450,40950,▲500,＋1.24%,39720,40395,43007,45638,2048,229295
2018/07/10,39200,40500,39200,40450,▲1250,＋3.19%,39400,40588,43083,45737,2553,229191
2018/07/09,39200,39800,39000,39200,0.0,0.00%,39210,40815,43165,45843,3143,228895
2018/07/06,38850,39200,38700,39200,▲400,＋1.03%,39160,41105,43278,45966,4094,228757
2018/07/05,39350,39350,38800,38800,▼550,－1.40%,39200,41310,43384,46098,1738,228589
2018/07/04,39000,39650,39000,39350,▼150,－0.38%,39250,41493,43497,46234,2163,229161
2018/07/03,38950,39500,38800,39500,▲550,＋1.41%,39170,41688,43618,46376,6266,227686
2018/07/02,39400,39450,38750,38950,▼450,－1.14%,39160,41848,43746,46517,2143,223537
2018/06/29,39200,39400,38850,39400,▲350,＋0.90%,39210,41990,43887,46675,4736,223735
2018/06/28,39500,39500,38850,39050,▲100,＋0.26%,39170,42120,44019,46838,1659,220494
2018/06/27,39850,39850,38950,38950,▼500,－1.27%,39450,42328,44129,46952,2445,220459
2018/06/26,39200,39750,39000,39450,▲250,＋0.64%,40040,42540,44235,47063,2798,220959
2018/06/25,39150,39200,38650,39200,0.0,0.00%,40380,42698,44322,47179,4002,221483
2018/06/22,40150,40950,38500,39200,▼1250,－3.09%,41100,42878,44409,47282,12943,220374
2018/06/21,41900,41900,40000,40450,▼1450,－3.46%,42260,43090,44493,47397,4010,220393
2018/06/20,41000,41900,41000,41900,▲750,＋1.82%,43160,43255,44583,47493,3401,220762
2018/06/19,42750,43800,41150,41150,▼1650,－3.86%,43740,43323,44644,47593,5979,220885
2018/06/18,45000,45000,42500,42800,▼2200,－4.89%,44510,43415,44718,47715,7093,220936
2018/06/15,44800,45250,44800,45000,▲50,＋0.11%,44950,43428,44758,47831,3838,218450
2018/06/14,44850,45400,44800,44950,▲150,＋0.33%,44610,43423,44775,47930,8490,217742
2018/06/12,44900,45100,44400,44800,▼200,－0.44%,44110,43423,44794,48022,2983,212562
2018/06/11,45000,45050,44500,45000,0.0,0.00%,43800,43428,44816,48110,5521,211112
2018/06/08,44000,45450,42900,45000,▲1700,＋3.93%,43340,43485,44829,48211,20789,208385
2018/06/07,42500,43500,42500,43300,▲850,＋2.00%,42700,43533,44848,48319,6566,202619
2018/06/05,43200,43500,42200,42450,▼800,－1.85%,42440,43693,44881,48429,6295,199629
2018/06/04,42650,43300,42650,43250,▲550,＋1.29%,42590,43933,44917,48542,3075,198312
2018/06/01,41750,42950,41750,42700,▲900,＋2.15%,42580,44180,44937,48652,3487,197905
2018/05/31,41900,42350,41650,41800,▼200,－0.48%,42560,44385,44980,48756,4272,197201
2018/05/30,43150,43150,41900,42000,▼1200,－2.78%,42760,44563,45028,48849,8506,196499
2018/05/29,43200,43600,43000,43200,0.0,0.00%,43050,44708,45098,48947,4437,197623
2018/05/28,42450,43350,42450,43200,▲600,＋1.41%,43160,44793,45173,49043,3708,197144
2018/05/25,42800,42950,42050,42600,▼200,－0.47%,43170,44855,45244,49148,3703,196683
2018/05/24,43450,43450,42300,42800,▼650,－1.50%,43250,44948,45323,49263,9238,196998
2018/05/23,43750,43800,43000,43450,▼300,－0.69%,43300,45035,45425,49373,4321,196656
2018/05/21,43250,43950,43200,43750,▲500,＋1.16%,43590,45035,45523,49470,7807,197816
2018/05/18,43500,43500,43000,43250,▲250,＋0.58%,43830,45003,45624,49563,5517,196911
2018/05/17,43050,43600,42950,43000,▼50,－0.12%,44160,45058,45734,49657,5643,194446
2018/05/16,44300,44800,42800,43050,▼1850,－4.12%,44790,45133,45824,49750,15325,193568
2018/05/15,45050,45100,44350,44900,▼50,－0.11%,45370,45213,45890,49799,8426,192206
2018/05/14,45400,45400,44350,44950,▲50,＋0.11%,45690,45215,45954,49830,8753,188537
2018/05/11,44750,45250,44400,44900,▼1250,－2.71%,46150,45203,46034,49863,21135,187168
2018/05/10,46600,46900,44500,46150,▲200,＋0.44%,46810,45235,46107,49904,6196,182816
2018/05/09,46500,46900,45100,45950,▼550,－1.18%,46940,45195,46158,49931,7495,182737
2018/05/08,47250,47250,46250,46500,▼750,－1.59%,46820,45198,46216,49967,3895,182766
2018/05/04,48300,48300,46650,47250,▼950,－1.97%,46500,45150,46283,49997,6693,183530
2018/05/03,47400,48400,46900,48200,▲1400,＋2.99%,46030,45065,46342,50017,8148,184533
2018/05/02,45250,46950,45250,46800,▲1450,＋3.20%,45280,44985,46407,50026,8586,184509
2018/04/30,45400,45600,44850,45350,▲450,＋1.00%,44810,45005,46502,50035,5412,182332
2018/04/27,44550,45550,44550,44900,0.0,0.00%,44650,45108,46636,50063,5870,181904
2018/04/26,44500,45000,44450,44900,▲450,＋1.01%,44360,45230,46773,50098,4466,180548
2018/04/25,44700,44850,44350,44450,0.0,0.00%,44000,45268,46916,50123,11438,179410
2018/04/24,44650,44800,44150,44450,▼100,－0.22%,43980,45310,47047,50147,7555,180225
2018/04/23,43650,44550,43200,44550,▲1100,＋2.53%,43990,45320,47173,50173,7973,176913
2018/04/20,43350,43650,42800,43450,▲350,＋0.81%,44010,45315,47300,50208,5382,172836
2018/04/19,44300,44350,42800,43100,▼1250,－2.82%,44310,45353,47449,50255,9729,173085
2018/04/18,44650,44950,43850,44350,▼150,－0.34%,44630,45490,47586,50300,4840,174039
2018/04/17,44500,44900,44200,44500,▼150,－0.34%,44870,45553,47695,50339,2899,175174
2018/04/16,44950,44950,44400,44650,▼300,－0.67%,45040,45605,47798,50368,1573,175052
2018/04/13,44700,44950,44200,44950,▲250,＋0.56%,45310,45635,47933,50396,3036,175095
2018/04/12,45950,45950,44700,44700,▼850,－1.87%,45430,45688,48100,50423,9318,175292
2018/04/11,46000,46000,45200,45550,▲200,＋0.44%,45600,45758,48268,50450,2699,175030
2018/04/10,45700,46200,45350,45350,▼650,－1.41%,45810,45785,48391,50470,2930,175019
2018/04/09,45000,46150,45000,46000,▲450,＋0.99%,46180,45808,48520,50485,3464,175893
2018/04/06,45550,45700,45100,45550,0.0,0.00%,46460,45815,48653,50491,2723,176329
2018/04/05,46650,47100,45500,45550,▼1050,－2.25%,46820,45800,48811,50504,2488,176497
2018/04/04,47800,47800,45900,46600,▼600,－1.27%,46840,45753,48972,50513,4568,176660
2018/04/03,46950,47350,45600,47200,▼200,－0.42%,46580,45645,49135,50517,4358,177247
2018/04/02,48100,48700,47100,47400,▲50,＋0.11%,46070,45550,49288,50517,4467,178931
2018/03/30,45750,47900,45600,47350,▲1700,＋3.72%,45480,45413,49463,50510,15628,180046
2018/03/29,45300,45800,44750,45650,▲350,＋0.77%,44850,45355,49656,50498,3546,178427
2018/03/28,44450,45300,44450,45300,▲650,＋1.46%,44890,45460,49775,50502,3418,178317
2018/03/27,44750,45250,44250,44650,▲200,＋0.45%,44950,45568,49892,50505,2384,177827
2018/03/26,44200,44500,44200,44450,▲250,＋0.57%,45130,45700,50036,50521,7682,177181
2018/03/23,45000,45400,44200,44200,▼1650,－3.60%,45290,45925,50155,50536,3648,177536
2018/03/22,45400,46300,45400,45850,▲250,＋0.55%,45650,46180,50302,50560,4602,178773
2018/03/21,45800,45800,44900,45600,▲50,＋0.11%,45700,46380,50403,50576,2790,178995
2018/03/20,44800,45700,44750,45550,▲300,＋0.66%,45800,46593,50543,50594,3347,179702
2018/03/19,46000,46500,45100,45250,▼750,－1.63%,45850,46735,50712,50615,4386,180045
2018/03/16,46000,46050,45550,46000,▼100,－0.22%,46030,46823,50904,50650,819,180826
2018/03/15,46000,46500,45350,46100,0.0,0.00%,45880,46960,51086,50678,3966,180973
2018/03/14,45900,46450,45500,46100,▲300,＋0.66%,45580,47143,51249,50710,7689,181186
2018/03/13,46200,46200,45450,45800,▼350,－0.76%,45250,47300,51404,50743,4395,177840
2018/03/12,45500,46200,45100,46150,▲900,＋1.99%,45150,47470,51593,50772,7846,177707
2018/03/09,44450,45350,44450,45250,▲650,＋1.46%,44850,47635,51790,50799,4916,177056
2018/03/08,44400,44600,43800,44600,▲150,＋0.34%,45040,47898,51978,50823,4159,176690
2018/03/07,45250,45250,43850,44450,▼850,－1.88%,45670,48208,52168,50851,10632,176306
2018/03/06,44650,45400,44650,45300,▲650,＋1.46%,46270,48590,52367,50891,4539,171906
2018/03/05,46500,46500,44400,44650,▼1550,－3.35%,46670,48950,52532,50934,9250,171660
2018/03/02,47100,47400,46200,46200,▼1550,－3.25%,47530,49388,52671,50985,9001,172066
2018/02/28,47500,47950,46650,47750,▲300,＋0.63%,48150,49733,52796,51027,7445,174371
2018/02/27,47350,47450,46650,47450,▲150,＋0.32%,48570,50020,52913,51049,9977,174075
2018/02/26,49150,49150,46900,47300,▼1650,－3.37%,49050,50263,53051,51075,16472,173822
2018/02/23,49500,49500,48300,48950,▼350,－0.71%,49270,50498,53204,51090,7876,174092
2018/02/22,49900,49900,48400,49300,▼550,－1.10%,48880,50660,53322,51090,5071,172964
2018/02/21,50100,50200,49500,49850,0.0,0.00%,48770,50815,53417,51087,1366,173916
2018/02/20,48350,49900,48350,49850,▲1450,＋3.00%,48750,50888,53503,51072,5881,174058
2018/02/19,47750,48700,47650,48400,▲1400,＋2.98%,48630,50940,53580,51061,4550,173171
2018/02/14,48850,49350,46850,47000,▼1750,－3.59%,48790,51055,53675,51057,12681,173522
2018/02/13,49950,50100,48600,48750,▼1000,－2.01%,49280,51340,53708,51072,4437,173344
2018/02/12,49300,50200,49000,49750,▲500,＋1.02%,49630,51653,53705,51062,5513,173984
2018/02/09,48950,49400,47900,49250,▲50,＋0.10%,49840,51905,53691,51035,5859,174011
2018/02/08,49450,50300,48750,49200,▼250,－0.51%,50410,52088,53701,51012,5666,175154
2018/02/07,50700,51500,49300,49450,▼1050,－2.08%,51070,52283,53704,50998,5015,175988
2018/02/06,49300,50600,48400,50500,▼300,－0.59%,51860,52510,53718,51006,12699,177350
2018/02/05,51200,51800,50000,50800,▼1300,－2.50%,52380,52735,53712,51023,7578,176872
2018/02/02,52200,52900,51000,52100,▼400,－0.76%,52920,52955,53692,51004,6559,178368
2018/02/01,53100,53300,52300,52500,▼900,－1.69%,52960,53170,53646,50970,7254,179622
2018/01/31,52700,53400,52000,53400,▲300,＋0.56%,52860,53365,53568,50890,4922,180136
2018/01/30,53500,53700,52700,53100,▼400,－0.75%,52620,53590,53491,50817,4314,179966
2018/01/29,52500,53500,52000,53500,▲1200,＋2.29%,52480,53880,53424,50749,9495,179778
2018/01/26,52100,52600,51800,52300,▲300,＋0.58%,52040,53845,53330,50673,6050,179366
2018/01/25,52000,52900,51500,52000,▼200,－0.38%,51760,53845,53248,50613,7546,179908
2018/01/24,52400,52800,52000,52200,▼200,－0.38%,51500,53910,53174,50560,4082,180497
2018/01/23,50900,52600,50900,52400,▲1100,＋2.14%,51600,53880,53117,50498,5468,180384
2018/01/22,50800,51500,50500,51300,▲400,＋0.79%,52120,53910,53060,50427,4199,179182
2018/01/19,50700,52300,50600,50900,▲200,＋0.39%,52820,53940,53015,50362,8995,178906
2018/01/18,52700,53400,50300,50700,▼2000,－3.80%,53220,54095,52983,50298,19398,180958
2018/01/17,54800,54900,52000,52700,▼2300,－4.18%,53700,54345,52937,50237,20960,185340
2018/01/16,54900,55700,54400,55000,▲200,＋0.36%,53960,54550,52860,50160,3472,192527
2018/01/15,53500,55500,53000,54800,▲1900,＋3.59%,53960,54645,52746,50058,8992,193601
2018/01/12,53300,54300,52900,52900,▼200,－0.38%,54040,54700,52631,49957,5354,196527
2018/01/11,53800,54600,52400,53100,▼900,－1.67%,54740,54825,52549,49872,8222,197571
2018/01/10,55600,55600,53300,54000,▼1000,－1.82%,55400,55025,52449,49786,4329,199779
2018/01/09,55200,56000,54300,55000,▼200,－0.36%,56180,55225,52328,49696,2232,199825
2018/01/08,55900,56600,54800,55200,▼1200,－2.13%,56960,55300,52198,49600,3909,199956
2018/01/05,56200,56500,54200,56400,0.0,0.00%,56480,55340,52055,49500,7815,200052
2018/01/04,57900,58600,55900,56400,▼1500,－2.59%,55660,55340,51898,49393,4640,200880
2018/01/03,59500,63400,56500,57900,▼1000,－1.70%,55040,55280,51746,49287,17391,202486
2018/01/02,52900,59400,52900,58900,▲6100,＋11.55%,53780,55035,51556,49171,23797,203503
2017/12/28,52200,53800,51800,52800,▲500,＋0.96%,52600,54775,51339,49050,5477,202429
2017/12/27,52900,53000,51700,52300,▼1000,－1.88%,52420,54875,51228,48979,4918,202527
2017/12/26,51700,54700,51700,53300,▲1700,＋3.29%,52760,55045,51119,48905,6010,202510
2017/12/22,52600,53000,51100,51600,▼1400,－2.64%,53240,55205,51006,48820,6011,202733
2017/12/21,52200,53700,51900,53000,▲1100,＋2.12%,54280,55425,50917,48751,3938,202460
2017/12/20,54500,54500,51900,51900,▼2100,－3.89%,55060,55525,50818,48673,5063,202617
2017/12/19,55700,56200,53500,54000,▼1700,－3.05%,55860,55680,50750,48605,6349,203080
2017/12/18,56800,57700,55000,55700,▼1100,－1.94%,56140,55705,50645,48516,3860,203672
2017/12/15,56900,57600,55600,56800,▼100,－0.18%,56420,55625,50519,48416,5133,204453
2017/12/14,57100,57200,55600,56900,▲1000,＋1.79%,56660,55235,50395,48314,2965,205518
2017/12/13,55700,56400,54800,55900,▲500,＋0.90%,56580,54818,50270,48215,2042,205259
2017/12/12,57100,58000,55200,55400,▼1700,－2.98%,56600,54468,50172,48131,4811,207723
2017/12/11,58000,59100,56500,57100,▼900,－1.55%,56800,54190,50082,48035,6630,207874
2017/12/08,56800,58900,56800,58000,▲1500,＋2.65%,56420,53805,49952,47925,6036,209725
2017/12/07,56700,58300,55300,56500,▲500,＋0.89%,55420,53420,49808,47812,12337,207605
2017/12/06,56500,56700,54900,56000,▼400,－0.71%,54860,53100,49668,47703,5023,205263
2017/12/05,55600,56700,54900,56400,▲1200,＋2.17%,54620,52780,49535,47598,6405,204818
2017/12/04,53000,56000,53000,55200,▲2200,＋4.15%,54480,52428,49415,47491,9847,204002
2017/12/01,53700,54700,52400,53000,▼700,－1.30%,54740,52058,49337,47400,6236,203098
2017/11/30,54800,55400,53300,53700,▼1100,－2.01%,55340,51848,49300,47332,3924,202275
2017/11/29,55600,55700,54500,54800,▼900,－1.62%,55600,51618,49258,47253,3555,202280
2017/11/28,56500,57700,55500,55700,▼800,－1.42%,55640,51270,49185,47166,15128,201953
2017/11/27,56400,56900,55000,56500,▲500,＋0.89%,55400,50853,49098,47052,7808,200388
2017/11/24,54900,56400,53900,56000,▲1000,＋1.82%,54920,50408,48975,46928,14850,198685
2017/11/23,54100,55400,54100,55000,0.0,0.00%,53520,50045,48858,46811,4306,197877
2017/11/22,54500,55600,53000,55000,▲500,＋0.92%,52230,49745,48757,46703,9732,197062
2017/11/21,54100,54800,52700,54500,▲400,＋0.74%,51010,49425,48641,46598,14032,197018
2017/11/20,49750,54300,49500,54100,▲5100,＋10.41%,50080,49150,48542,46490,38133,197594
