[일시]현대건설,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2016/06/22,32550,34100,32550,34000,▲1550,＋4.78%,32990,33538,36781,36032,815444,26303111
2016/06/21,33250,33250,32450,32450,▼850,－2.55%,32790,33455,36881,35993,482368,26019829
2016/06/20,32900,33400,32850,33300,▲700,＋2.15%,32970,33498,37003,35963,295041,26157440
2016/06/17,32750,33300,32150,32600,0.0,0.00%,33040,33535,37111,35924,408535,26110624
2016/06/16,33000,33100,32400,32600,▼400,－1.21%,33410,33545,37204,35891,424825,26046277
2016/06/15,33200,33450,32650,33000,▼350,－1.05%,33750,33645,37302,35861,319321,26018304
2016/06/14,33450,33900,33200,33350,▼300,－0.89%,34060,33758,37379,35820,290364,26009697
2016/06/13,34000,34250,33500,33650,▼800,－2.32%,34370,33860,37428,35778,439830,25992464
2016/06/10,34600,34850,34250,34450,▲150,＋0.44%,34310,33948,37532,35738,315423,25935108
2016/06/09,34650,35500,34250,34300,▼250,－0.72%,34090,34010,37622,35696,763951,25954299
2016/06/08,35000,35000,34350,34550,▼350,－1.00%,33980,34070,37718,35657,335972,25984171
2016/06/07,33200,35000,33150,34900,▲1550,＋4.65%,33910,34150,37823,35622,621042,26062264
2016/06/03,33200,33650,33200,33350,0.0,0.00%,33670,34173,37915,35590,419428,25911169
2016/06/02,33800,33900,33050,33350,▼400,－1.19%,33610,34335,38036,35577,402932,25837497
2016/06/01,33800,34200,33600,33750,▼450,－1.32%,33560,34603,38157,35568,406995,25739500
2016/05/31,33700,34200,33100,34200,▲500,＋1.48%,33430,34860,38263,35553,996612,25750543
2016/05/30,32950,33950,32950,33700,▲650,＋1.97%,33060,35160,38375,35540,538734,25781434
2016/05/27,33300,33600,32800,33050,▼50,－0.15%,32980,35468,38470,35526,389393,25752713
2016/05/26,33350,33400,32600,33100,0.0,0.00%,33180,35765,38553,35526,290654,25845967
2016/05/25,32850,33350,32750,33100,▲750,＋2.32%,33120,36115,38634,35535,539707,25896069
2016/05/24,33150,33250,32300,32350,▼950,－2.85%,33420,36480,38713,35540,691302,25890437
2016/05/23,34200,34200,33050,33300,▼750,－2.20%,34000,36835,38812,35556,546090,25874261
2016/05/20,33000,34100,32950,34050,▲1250,＋3.81%,34420,37173,38909,35552,591302,25975492
2016/05/19,34400,34400,32300,32800,▼1800,－5.20%,34690,37448,38996,35540,1585866,25809552
2016/05/18,34900,35200,34450,34600,▼650,－1.84%,35270,37828,39117,35536,573844,25594816
2016/05/17,35500,35700,35000,35250,▼150,－0.42%,35450,38068,39207,35505,343747,25483611
2016/05/16,35050,35550,34500,35400,0.0,0.00%,35630,38310,39247,35475,519412,25486760
2016/05/13,35550,35950,35200,35400,▼300,－0.84%,35620,38600,39292,35436,374411,25467591
2016/05/12,35200,36250,35100,35700,▲200,＋0.56%,35860,38890,39330,35406,408755,25553713
2016/05/11,35900,36100,35300,35500,▼650,－1.80%,36460,39090,39335,35376,520474,25524491
2016/05/10,35100,36150,35100,36150,▲800,＋2.26%,37140,39315,39340,35349,516096,25641915
2016/05/09,36150,36450,35300,35350,▼1250,－3.42%,37950,39485,39365,35319,881716,25627266
2016/05/04,38300,38400,36250,36600,▼2100,－5.43%,38850,39738,39401,35296,1742491,25806577
2016/05/03,39650,40000,38600,38700,▼200,－0.51%,39330,39885,39391,35271,871018,26054606
2016/05/02,40400,40450,38900,38900,▼1300,－3.23%,39610,39925,39364,35241,791510,26077766
2016/04/29,39650,40250,38800,40200,▲350,＋0.88%,39910,39993,39331,35208,663273,26183308
2016/04/28,39300,40200,39100,39850,▲850,＋2.18%,39760,40090,39273,35167,784869,26306200
2016/04/27,40250,40750,38600,39000,▼1100,－2.74%,39800,40203,39214,35125,957086,26434439
2016/04/26,40100,40350,39700,40100,▼300,－0.74%,39910,40290,39143,35089,399038,26471796
2016/04/25,41000,41150,39800,40400,▲950,＋2.41%,39970,40330,39017,35048,792669,26527580
2016/04/22,39750,39950,39200,39450,▼600,－1.50%,39770,40325,38886,35008,422277,26582260
2016/04/21,40000,40100,39150,40050,▲500,＋1.26%,39900,40353,38749,34987,432906,26564052
2016/04/20,40900,41150,39450,39550,▼850,－2.10%,40130,40338,38577,34957,620036,26633705
2016/04/19,40050,41200,40000,40400,▲1000,＋2.54%,40460,40350,38405,34936,972129,26708290
2016/04/18,39700,39700,38250,39400,▼700,－1.75%,40320,40240,38247,34900,880704,26601520
2016/04/15,41500,41500,39800,40100,▼1100,－2.67%,40440,40193,38117,34889,662016,26685136
2016/04/14,41850,41850,40650,41200,0.0,0.00%,40330,40070,37963,34868,847190,26666367
2016/04/12,39350,41200,39350,41200,▲1500,＋3.78%,40170,39825,37810,34838,725374,26827445
2016/04/11,39900,40050,39400,39700,▼300,－0.75%,39840,39758,37656,34809,306767,26666130
2016/04/08,39200,40100,39000,40000,▲450,＋1.14%,39800,39765,37477,34794,343760,26687801
2016/04/07,40200,40900,39200,39550,▼850,－2.10%,39850,39768,37290,34772,586452,26591854
2016/04/06,39400,40950,39150,40400,▲850,＋2.15%,40370,39833,37099,34765,528287,26589281
2016/04/05,39200,40200,39200,39550,▲50,＋0.13%,40710,39835,36887,34755,318786,26656461
2016/04/04,40000,40200,39250,39500,▼750,－1.86%,40950,39888,36683,34732,459661,26605732
2016/04/01,42350,42350,39900,40250,▼1900,－4.51%,41230,39943,36493,34705,837056,26566063
2016/03/31,42150,42150,41300,42150,▲50,＋0.12%,41240,39938,36283,34663,679596,26729503
2016/03/30,41150,42250,40950,42100,▲1350,＋3.31%,40810,39875,36057,34593,1011630,26802727
2016/03/29,40900,41000,40000,40750,▼150,－0.37%,40340,39740,35840,34525,521294,26584220
2016/03/28,40300,40900,39550,40900,▲600,＋1.49%,40150,39603,35649,34477,494828,26623081
2016/03/25,40300,40800,39800,40300,▲300,＋0.75%,39610,39458,35462,34421,590127,26596232
2016/03/24,39600,40250,39350,40000,▲250,＋0.63%,39240,39335,35283,34375,505375,26640746
2016/03/23,39850,40200,39300,39750,▼50,－0.13%,38770,39248,35106,34325,498509,26764203
2016/03/22,38500,39900,37350,39800,▲1600,＋4.19%,38080,39218,34923,34277,806399,26894584
2016/03/21,38500,38550,37450,38200,▼250,－0.65%,38090,39190,34737,34242,520082,26833947
2016/03/18,38050,38650,38050,38450,▲800,＋2.12%,38420,39283,34578,34217,731672,26765010
2016/03/17,36650,38600,36600,37650,▲1350,＋3.72%,38740,39360,34421,34200,1574188,26614272
2016/03/16,39650,39650,36250,36300,▼3550,－8.91%,39380,39360,34262,34196,2467009,26180715
2016/03/15,39400,40250,39400,39850,0.0,0.00%,40210,39450,34128,34195,248725,26458789
2016/03/14,40450,40600,39500,39850,▼200,－0.50%,40360,39343,33943,34138,294880,26414084
2016/03/11,40900,41150,39600,40050,▼800,－1.96%,40510,39150,33770,34084,648377,26384261
2016/03/10,40450,41200,40200,40850,▲400,＋0.99%,40530,38938,33597,34030,721153,26321166
2016/03/09,40100,40850,39850,40450,▼150,－0.37%,40540,38778,33421,33974,469283,26108207
2016/03/08,40800,41200,39700,40600,0.0,0.00%,40330,38630,33264,33917,689535,26125309
2016/03/07,41300,41750,40300,40600,▲450,＋1.12%,39810,38400,33118,33847,811673,26103619
2016/03/04,40700,40950,39750,40150,▼750,－1.83%,39290,38225,32978,33769,681046,26086117
2016/03/03,39650,40900,39450,40900,▲1500,＋3.81%,38830,38063,32843,33698,1281293,26144599
2016/03/02,38600,39800,38600,39400,▲1400,＋3.68%,38300,37853,32706,33626,982725,25870974
2016/02/29,38000,38150,37650,38000,0.0,0.00%,38250,37700,32582,33570,570145,25785148
2016/02/26,38350,38350,37600,38000,▲150,＋0.40%,38500,37538,32499,33530,435398,25812988
2016/02/25,38150,38750,37450,37850,▼400,－1.05%,38910,37263,32436,33490,1149222,25775328
2016/02/24,38750,38750,37500,38250,▼900,－2.30%,39340,36998,32368,33448,983312,26040407
2016/02/23,39500,39600,38800,39150,▼100,－0.25%,39220,36648,32301,33398,702771,26093773
2016/02/22,39550,39950,38750,39250,▼800,－2.00%,39010,36175,32195,33341,704320,26177117
2016/02/19,39800,40400,39250,40050,▲50,＋0.13%,38700,35675,32085,33280,742223,26218831
2016/02/18,38700,40000,38300,40000,▲2350,＋6.24%,37890,35218,31956,33200,1481128,26231617
2016/02/17,37850,38400,36900,37650,▼450,－1.18%,37050,34798,31804,33123,711295,26094559
2016/02/16,37750,38150,36550,38100,▲400,＋1.06%,37050,34460,31704,33076,828477,26164017
2016/02/15,36950,37850,36450,37700,▲1700,＋4.72%,36930,34155,31580,33034,970641,26260830
2016/02/12,35250,36200,35000,36000,▲200,＋0.56%,36590,33868,31483,33000,956833,26285468
2016/02/11,36100,36650,35650,35800,▼1850,－4.91%,36810,33515,31417,32980,886244,26196780
2016/02/05,37250,37900,37100,37650,▲150,＋0.40%,37030,33165,31358,32968,503420,26196814
2016/02/04,36500,37600,36300,37500,▲1500,＋4.17%,36840,32688,31273,32930,1101166,26162038
2016/02/03,36500,36750,35450,36000,▼1100,－2.96%,36610,32195,31192,32893,935395,26074758
2016/02/02,36800,37500,36200,37100,▲200,＋0.54%,36360,31763,31152,32869,951235,25993426
2016/02/01,36700,37350,36450,36900,▲200,＋0.54%,35440,31313,31118,32844,773662,25829633
2016/01/29,36400,37000,35850,36700,▲350,＋0.96%,34570,30850,31084,32828,1442423,25781020
2016/01/28,35000,36650,34300,36350,▲1600,＋4.60%,33480,30443,31062,32812,2303909,25661891
2016/01/27,33300,35400,33150,34750,▲2250,＋6.92%,32150,30080,31037,32792,2441402,25431644
2016/01/26,32000,32900,31850,32500,▼50,－0.15%,31050,29808,31034,32783,616228,25525544
2016/01/25,31900,32950,31300,32550,▲1300,＋4.16%,30730,29665,31080,32798,1240160,25626609
2016/01/22,30300,31300,30250,31250,▲1550,＋5.22%,30540,29515,31131,32814,1081105,25703418
2016/01/21,29000,30450,28750,29700,▲450,＋1.54%,30470,29423,31225,32842,870135,25825124
2016/01/20,31100,31250,28450,29250,▼1650,－5.34%,30930,29375,31337,32890,1078268,25809388
2016/01/19,31700,31700,30550,30900,▼700,－2.22%,31470,29345,31468,32933,640492,25818783
2016/01/18,32450,33300,30950,31600,▲700,＋2.27%,31080,29235,31553,32955,1882211,25916598
2016/01/15,32800,33150,30850,30900,▼1100,－3.44%,30520,29105,31662,33007,1179749,26216372
2016/01/14,31400,32200,31150,32000,▲50,＋0.16%,29960,28965,31773,33084,1174341,26508406
2016/01/13,29300,32350,29050,31950,▲3000,＋10.36%,29090,28778,31867,33155,3051710,26751444
2016/01/12,29150,29350,28450,28950,▲150,＋0.52%,28170,28620,31962,33219,681261,26712778
2016/01/11,27700,29450,27650,28800,▲700,＋2.49%,28000,28645,32111,33323,788786,26871894
2016/01/08,27350,28200,27000,28100,▲450,＋1.63%,27770,28688,32254,33443,623087,27003782
2016/01/07,27450,28100,27250,27650,▲300,＋1.10%,27860,28798,32430,33566,643200,27208513
2016/01/06,28050,28350,27150,27350,▼750,－2.67%,28150,28968,32623,33681,659779,27297600
2016/01/05,27400,28200,27400,28100,▲450,＋1.63%,28540,29193,32781,33797,439012,27399468
2016/01/04,28350,28750,27650,27650,▼900,－3.15%,28850,29398,32917,33900,426583,27401315
2015/12/30,29250,29500,28450,28550,▼550,－1.89%,29230,29618,33043,34003,480552,27270324
2015/12/29,29100,29600,28900,29100,▼200,－0.68%,29400,29823,33128,34099,483482,27380069
2015/12/28,29600,29750,29300,29300,▼350,－1.18%,29330,29965,33209,34193,581664,27586285
2015/12/24,29850,30150,29650,29650,▲100,＋0.34%,29200,30153,33305,34278,598116,27891479
2015/12/23,29450,29900,29200,29550,▲150,＋0.51%,29010,30380,33381,34371,553410,28068711
2015/12/22,29000,29600,28650,29400,▲650,＋2.26%,28900,30590,33467,34468,611146,28237496
2015/12/21,28500,29000,28400,28750,▲100,＋0.35%,28640,30833,33545,34568,350097,28493744
2015/12/18,28400,28950,28400,28650,▼50,－0.17%,28540,31035,33631,34670,304677,28521206
2015/12/17,29100,29350,28450,28700,▼300,－1.03%,28570,31235,33748,34767,533861,28537677
2015/12/16,28700,29300,28550,29000,▲900,＋3.20%,28720,31415,33856,34873,557841,28505108
2015/12/15,28200,28600,28100,28100,▼150,－0.53%,28850,31510,33980,34983,531083,28512688
2015/12/14,28200,28650,28000,28250,▼550,－1.91%,29290,31688,34131,35105,522136,28637593
2015/12/11,29650,29650,28400,28800,▼650,－2.21%,29850,31808,34263,35224,976318,28718978
2015/12/10,29500,29800,29050,29450,▼200,－0.67%,30460,31960,34333,35330,712698,29019167
2015/12/09,30000,30300,29550,29650,▼650,－2.15%,31010,32090,34398,35422,670331,29063087
2015/12/08,30850,31250,30100,30300,▼750,－2.42%,31490,32223,34464,35517,685285,29118281
2015/12/07,31850,32050,31050,31050,▼800,－2.51%,31960,32335,34528,35612,490702,29282277
2015/12/04,31700,31950,31600,31850,▼350,－1.09%,32140,32413,34570,35700,270636,29317267
2015/12/03,31900,32200,31500,32200,▲150,＋0.47%,32380,32500,34576,35797,251418,29331889
2015/12/02,32450,32700,32050,32050,▼600,－1.84%,32780,32643,34560,35893,361617,29404596
2015/12/01,32200,33150,32200,32650,▲700,＋2.19%,33120,32785,34552,36002,335997,29389734
2015/11/30,32650,32800,31900,31950,▼1100,－3.33%,33440,32920,34547,36108,643749,29283132
2015/11/27,34200,34250,32950,33050,▼1150,－3.36%,33610,33065,34558,36218,508914,29293499
2015/11/26,34000,34450,33750,34200,▲450,＋1.33%,33530,33143,34560,36315,301697,29357738
2015/11/25,33900,34000,33500,33750,▼500,－1.46%,33150,33195,34543,36406,318636,29383201
2015/11/24,32750,34350,32650,34250,▲1450,＋4.42%,32580,33288,34528,36488,753650,29483099
2015/11/23,33150,33450,32650,32800,▲150,＋0.46%,32060,33420,34495,36575,300908,29484768
2015/11/20,32550,32800,32000,32650,▲350,＋1.08%,31630,33600,34487,36660,273473,29524561
2015/11/19,31250,32750,31200,32300,▲1400,＋4.53%,31470,33823,34474,36754,505335,29507934
2015/11/18,31600,31600,30800,30900,▼750,－2.37%,31420,34008,34443,36853,465561,29442314
2015/11/17,31150,31650,31100,31650,▲1000,＋3.26%,31700,34370,34443,36968,415321,29513371
2015/11/16,31250,31350,30600,30650,▼1200,－3.77%,31880,34665,34448,37083,650215,29483376
2015/11/13,31650,32500,31600,31850,▼200,－0.62%,32270,35015,34488,37204,296941,29569627
2015/11/12,32350,32450,31850,32050,▼250,－0.77%,32620,35305,34518,37339,271233,29526631
2015/11/11,32700,33200,32250,32300,▼250,－0.77%,33220,35598,34543,37462,342319,29517789
2015/11/10,32000,33200,31650,32550,▼50,－0.15%,33740,35853,34578,37601,521755,29572938
2015/11/09,33500,33500,32500,32600,▼1000,－2.98%,34300,36158,34588,37734,655763,29529652
2015/11/06,35000,35050,33500,33600,▼1450,－4.14%,34750,36490,34594,37872,587859,29465025
2015/11/05,34900,35200,34350,35050,▲150,＋0.43%,34950,36650,34586,38009,268569,29450363
2015/11/04,35600,35700,34800,34900,▼450,－1.27%,34990,36710,34570,38155,399583,29402232
2015/11/03,35050,35800,34800,35350,▲500,＋1.43%,35130,36725,34572,38300,419488,29356305
2015/11/02,34250,35100,34250,34850,▲250,＋0.72%,35440,36643,34562,38441,283533,29366062
2015/10/30,35150,35400,34050,34600,▼650,－1.84%,35750,36598,34548,38590,597637,29339239
2015/10/29,35800,36250,35150,35250,▼350,－0.98%,36250,36620,34531,38738,702066,29244475
2015/10/28,37100,37100,35550,35600,▼1300,－3.52%,36400,36568,34517,38884,621021,29177332
2015/10/27,36250,36900,36050,36900,▲500,＋1.37%,36910,36523,34498,39015,512735,29234302
2015/10/26,37100,37450,35950,36400,▼700,－1.89%,37040,36383,34458,39141,799358,29175280
2015/10/23,36600,37600,34500,37100,▲1100,＋3.06%,37290,36258,34443,39270,1990824,29108455
2015/10/22,37750,37750,35800,36000,▼2150,－5.64%,37400,36185,34398,39393,1174486,28836322
2015/10/21,37600,38850,37300,38150,▲600,＋1.60%,37780,36145,34357,39538,599641,28797934
2015/10/20,37700,37900,37200,37550,▼100,－0.27%,37630,36060,34352,39661,427039,28669115
2015/10/19,38100,38250,37500,37650,0.0,0.00%,37850,36040,34396,39807,391929,28575185
2015/10/16,38250,38400,37500,37650,▼250,－0.66%,38170,35968,34444,39960,484190,28498279
2015/10/15,37700,38350,37450,37900,▲500,＋1.34%,38000,35735,34476,40123,704559,28427225
2015/10/14,38700,38800,37100,37400,▼1250,－3.23%,37670,35505,34536,40283,1053313,28374782
2015/10/13,39250,39400,38300,38650,▼600,－1.53%,37230,35318,34632,40448,1008023,28266538
2015/10/12,37400,39250,37200,39250,▲2450,＋6.66%,36240,35090,34703,40604,1890257,28196871
2015/10/08,36550,37400,36000,36800,▲550,＋1.52%,35180,34808,34738,40768,1214000,27824476
2015/10/07,35800,36450,35300,36250,▲1050,＋2.98%,34830,34578,34813,40947,1142413,27620182
2015/10/06,34250,35200,34250,35200,▲1500,＋4.45%,34420,34328,34884,41129,913661,27559040
2015/10/05,34200,34350,33400,33700,▼250,－0.74%,34320,34145,34964,41323,647532,27216311
2015/10/02,34950,34950,33950,33950,▼1100,－3.14%,34400,34078,35070,41504,817210,27134403
2015/10/01,34400,35150,34050,35050,▲850,＋2.49%,34390,34010,35176,41684,665314,27261378
2015/09/30,34000,34300,33350,34200,▼500,－1.44%,34510,33918,35252,41859,560788,27246310
2015/09/25,34000,34700,33700,34700,▲600,＋1.76%,34710,33868,35362,42035,403579,27270955
2015/09/24,34350,34650,33750,34100,▲200,＋0.59%,35060,33775,35468,42203,515707,27249637
2015/09/23,35050,35150,33900,33900,▼1750,－4.91%,35670,33683,35591,42342,810396,27271647
2015/09/22,35400,35800,34950,35650,▲450,＋1.28%,36130,33603,35710,42470,499704,27222088
2015/09/21,35750,36050,35000,35200,▼1250,－3.43%,35600,33415,35786,42583,749593,27152964
2015/09/18,37200,37250,36000,36450,▼700,－1.88%,35220,33178,35889,42709,965485,27181804
2015/09/17,36850,37300,36250,37150,▲950,＋2.62%,34660,32898,35987,42823,1569084,27280920
2015/09/16,33400,36400,33400,36200,▲3200,＋9.70%,34050,32640,36080,42922,2730277,27224047
2015/09/15,33450,33700,33000,33000,▼300,－0.90%,33530,32483,36185,43035,451871,26920248
2015/09/14,34150,34150,33050,33300,▼350,－1.04%,33370,32513,36326,43185,427253,26878038
2015/09/11,33800,34450,33500,33650,▼450,－1.32%,32960,32528,36447,43338,568824,26860577
2015/09/10,33050,34100,33050,34100,▲500,＋1.49%,32540,32563,36570,43485,704974,26870070
2015/09/09,32950,33650,32550,33600,▲1400,＋4.35%,32190,32515,36697,43623,733055,26788681
2015/09/08,31050,32300,31050,32200,▲950,＋3.04%,31990,32485,36830,43772,544738,26743226
2015/09/07,31550,31700,31200,31250,▼300,－0.95%,32190,32530,37018,43918,349236,26648511
2015/09/04,32350,32500,31500,31550,▼800,－2.47%,32580,32673,37225,44078,450007,26563323
2015/09/03,32800,32950,32150,32350,▼250,－0.77%,32840,32845,37452,44214,588208,26519437
2015/09/02,32600,32950,32200,32600,▼600,－1.81%,32820,32965,37669,44358,698563,26513003
2015/09/01,33850,34800,33100,33200,0.0,0.00%,32760,33035,37878,44499,905557,26547887
2015/08/31,33150,33350,32550,33200,▲350,＋1.07%,32500,33055,38070,44638,641785,26592388
2015/08/28,32850,33350,32650,32850,▲600,＋1.86%,31950,33115,38268,44784,652085,26569947
2015/08/27,32650,32850,32000,32250,▼50,－0.15%,31550,33195,38447,44949,636328,26452397
2015/08/26,31550,32400,31200,32300,▲400,＋1.25%,31500,33310,38656,45121,727962,26387400
2015/08/25,31200,31900,30300,31900,▲1450,＋4.76%,31650,33468,38834,45300,698609,26529155
2015/08/24,30500,31950,30150,30450,▼400,－1.30%,31990,33595,39033,45475,919597,26445672
2015/08/21,30200,31250,30200,30850,▼1150,－3.59%,32620,33748,39263,45663,843440,26507941
2015/08/20,32800,33250,31950,32000,▼1050,－3.18%,33320,34098,39494,45855,520851,26353443
2015/08/19,33450,33500,32750,33050,▼550,－1.64%,33550,34508,39718,46000,696831,26470542
2015/08/18,33850,34200,33300,33600,0.0,0.00%,33540,34883,39920,46142,511239,26541172
2015/08/17,34450,34450,33400,33600,▼750,－2.18%,33440,35180,40160,46265,448673,26578874
2015/08/13,33600,34700,33450,34350,▲1200,＋3.62%,33540,35575,40381,46375,889664,26646641
2015/08/12,32500,33450,32100,33150,▲150,＋0.45%,33670,36015,40624,46478,746590,26597083
2015/08/11,33450,33800,33000,33000,▼100,－0.30%,33990,36503,40881,46579,815524,26558857
2015/08/10,34000,34000,33000,33100,▼1000,－2.93%,34190,36923,41149,46672,618917,26510278
2015/08/07,34800,34900,33850,34100,▼900,－2.57%,34290,37333,41433,46752,662659,26575527
2015/08/06,35250,35800,34800,35000,▲250,＋0.72%,34350,37653,41739,46820,895461,26733508
2015/08/05,34250,35200,34100,34750,▲750,＋2.21%,34240,37903,42029,46894,656756,26739004
2015/08/04,33300,34200,33250,34000,▲400,＋1.19%,34200,38168,42320,46972,523428,26673657
2015/08/03,34750,34750,33250,33600,▼800,－2.33%,34490,38483,42633,47056,827474,26606128
2015/07/31,34800,35150,33800,34400,▼50,－0.15%,34660,38783,42945,47133,864050,26583524
2015/07/30,34950,35400,34400,34450,▼100,－0.29%,34480,39103,43252,47210,835211,26604809
2015/07/29,35600,35750,34450,34550,▼900,－2.54%,35160,39435,43533,47286,899014,26482945
2015/07/28,34100,35800,34100,35450,▲1000,＋2.90%,36290,39780,43823,47356,1891991,26412770
2015/07/27,33850,34600,33300,34450,▲950,＋2.84%,37310,40060,44098,47430,1766439,25899527
2015/07/24,36000,36000,33300,33500,▼4350,－11.49%,38330,40348,44387,47507,7059715,25746661
2015/07/23,39850,40150,37700,37850,▼2350,－5.85%,39930,40743,44720,47595,1745900,27016978
2015/07/22,40300,40500,39850,40200,▼350,－0.86%,40990,40965,44971,47648,499063,27026315
2015/07/21,39800,40750,39600,40550,▲1000,＋2.53%,41530,41093,45218,47666,743819,26866461
2015/07/20,41000,41050,39100,39550,▼1950,－4.70%,41700,41190,45475,47680,1171970,26516653
2015/07/17,43250,43350,41400,41500,▼1650,－3.82%,42050,41285,45771,47694,695484,26355743
2015/07/16,43150,43450,42150,43150,▲250,＋0.58%,41850,41238,46031,47684,569465,26375893
2015/07/15,44500,45500,42650,42900,▲1500,＋3.62%,41220,41133,46265,47649,1824628,26412298
2015/07/14,41450,41900,40950,41400,▲100,＋0.24%,40650,41073,46505,47618,500921,26400105
2015/07/13,40500,41400,40100,41300,▲800,＋1.98%,40430,41083,46797,47589,613217,26406686
2015/07/10,40150,41650,39850,40500,▲500,＋1.25%,40090,41190,47080,47548,540519,26324256
2015/07/09,39700,40050,39150,40000,▼50,－0.12%,40150,41350,47373,47528,361032,26300009
2015/07/08,40400,40750,39800,40050,▼250,－0.62%,40370,41608,47682,47519,407973,26335947
2015/07/07,40200,40500,39650,40300,▲700,＋1.77%,40650,41875,47938,47511,519082,26324904
2015/07/06,40100,40450,39550,39600,▼1200,－2.94%,40800,42115,48193,47503,612885,26289332
2015/07/03,41150,41250,40250,40800,▼300,－0.73%,40920,42373,48466,47504,530251,26337153
2015/07/02,42200,42300,40700,41100,▼350,－0.84%,41040,42588,48708,47490,633696,26374953
2015/07/01,41000,41750,40650,41450,▲400,＋0.97%,41280,42710,48938,47473,550158,26494425
2015/06/30,40200,41700,40150,41050,▲850,＋2.11%,41540,42878,49093,47456,538696,26397661
2015/06/29,40400,40950,40050,40200,▼1200,－2.90%,41830,42975,49229,47457,598605,26293478
2015/06/26,41850,42100,41200,41400,▼900,－2.13%,42080,43158,49379,47463,575912,26266465
2015/06/25,42500,43050,41950,42300,▼450,－1.05%,41910,43300,49529,47469,690060,26323957
2015/06/24,42950,43050,42000,42750,▲250,＋0.59%,41660,43420,49659,47467,723625,26481379
2015/06/23,41900,42500,41550,42500,▲1050,＋2.53%,41450,43555,49764,47460,593727,26607516
2015/06/22,40500,41600,40500,41450,▲900,＋2.22%,41270,43688,49884,47459,512595,26712945
2015/06/19,41250,41400,40200,40550,▼500,－1.22%,41670,44015,50043,47468,787059,26622914
2015/06/18,42050,42450,40950,41050,▼650,－1.56%,42300,44330,50229,47489,661074,26552135
2015/06/17,41600,42200,41300,41700,▲100,＋0.24%,43120,44725,50400,47498,594926,26525921
2015/06/16,43200,43750,40950,41600,▼1850,－4.26%,43860,45068,50548,47501,970619,26417886
2015/06/15,43650,44250,42850,43450,▼250,－0.57%,44560,45443,50713,47505,541540,26625785
2015/06/12,45150,46200,43700,43700,▼1450,－3.21%,44820,45775,50819,47484,885289,26528204
2015/06/11,45700,46000,43900,45150,▼250,－0.55%,45100,46215,50931,47474,897522,26489912
2015/06/10,45600,45700,44550,45400,▲300,＋0.67%,44780,46578,50976,47437,569191,26532862
2015/06/09,45500,46400,45100,45100,▲350,＋0.78%,44660,46918,51047,47398,803192,26481857
2015/06/08,45200,45550,44500,44750,▼350,－0.78%,44240,47303,51120,47378,549374,26618123
2015/06/05,43650,45700,43450,45100,▲1550,＋3.56%,44060,47680,51206,47368,819370,26807124
2015/06/04,44800,44850,43350,43550,▼1250,－2.79%,43890,48065,51299,47362,755759,26954861
2015/06/03,43000,45150,42850,44800,▲1800,＋4.19%,44120,48453,51452,47372,662670,27044217
2015/06/02,43850,44450,42800,43000,▼850,－1.94%,44250,48813,51587,47370,589936,27032321
2015/06/01,43600,44100,43000,43850,▼400,－0.90%,44680,49258,51767,47378,515062,26917163
2015/05/29,44600,45250,44050,44250,▼450,－1.01%,45510,49655,51918,47377,768928,26876032
2015/05/28,45450,45650,44700,44700,▼750,－1.65%,46030,50118,52063,47370,796586,26811415
2015/05/27,45000,45850,44200,45450,▲300,＋0.66%,46880,50528,52217,47371,1088210,26682629
2015/05/26,47700,47800,45000,45150,▼2850,－5.94%,47500,51005,52283,47384,1577873,26518016
2015/05/22,47300,48350,47000,48000,▲1150,＋2.45%,48290,51548,52363,47405,638387,26543646
2015/05/21,48650,48900,46850,46850,▼2100,－4.29%,48710,52013,52371,47408,1041148,26414519
2015/05/20,48600,49450,48500,48950,▲400,＋0.82%,49840,52525,52369,47421,514108,26312474
2015/05/19,49100,49250,48400,48550,▼550,－1.12%,50530,52938,52332,47400,732083,26234720
2015/05/18,50200,50500,48800,49100,▼1000,－2.00%,51260,53375,52278,47381,774813,26187569
2015/05/15,53100,53400,50100,50100,▼2400,－4.57%,52000,53865,52194,47356,863503,26099130
2015/05/14,52200,53400,51700,52500,▲100,＋0.19%,52440,54275,52071,47337,351143,25982897
2015/05/13,52200,52800,52100,52400,▲200,＋0.38%,52500,54555,51901,47304,259915,25960671
2015/05/12,52800,52900,52100,52200,▼600,－1.14%,52280,54860,51759,47273,228696,25904415
2015/05/11,52700,53300,52000,52800,▲500,＋0.96%,52240,55020,51624,47246,446553,25891507
2015/05/08,52600,52800,51700,52300,▼500,－0.95%,52060,55160,51478,47189,416355,26019631
2015/05/07,51000,52800,50800,52800,▲1500,＋2.92%,51960,55345,51321,47135,477940,26023885
2015/05/06,51300,52000,51000,51300,▼700,－1.35%,52100,55470,51168,47079,473102,26039246
2015/05/04,52300,52400,51400,52000,▲100,＋0.19%,52420,55650,51040,47031,320900,26016909
2015/04/30,51200,52100,50200,51900,▲100,＋0.19%,53020,55590,50889,46980,668815,26068010
2015/04/29,53600,54000,51200,51800,▼1700,－3.18%,53840,55455,50763,46923,965650,26031295
2015/04/28,53000,53500,52200,53500,▲600,＋1.13%,54940,55325,50627,46868,703145,25960454
2015/04/27,55000,55300,52400,52900,▼2100,－3.82%,55660,55170,50471,46818,1575739,25808282
