[일시]삼성SDI,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,229000,230000,225000,228000,▼1000,－0.44%,229400,227000,218667,227646,324592,26961718
2019/01/29,230000,233500,226500,229000,▼3000,－1.29%,229900,226125,218775,227633,391118,26939995
2019/01/28,233500,233500,226000,232000,▼500,－0.22%,229900,225625,218767,227608,730017,26953549
2019/01/25,224500,232500,223500,232500,▲7000,＋3.10%,230800,225050,218825,227583,389228,26857764
2019/01/24,229000,230000,225000,225500,▼5000,－2.17%,230800,224325,218867,227546,469060,26848491
2019/01/23,228000,233500,228000,230500,▲1500,＋0.66%,232100,223975,218925,227621,230664,26867424
2019/01/22,236500,237500,229000,229000,▼7500,－3.17%,234000,223500,218950,227629,262273,26869210
2019/01/21,233000,236500,228500,236500,▲4000,＋1.72%,235500,222550,218958,227638,257564,26861153
2019/01/18,233000,238500,230000,232500,▲500,＋0.22%,234600,221275,218725,227567,339781,26809497
2019/01/17,240000,240000,231000,232000,▼8000,－3.33%,234300,219775,218842,227467,368565,26813118
2019/01/16,236500,240000,233500,240000,▲3500,＋1.48%,233300,218525,219158,227467,279141,26781530
2019/01/15,232000,238000,231000,236500,▲4500,＋1.94%,230600,216800,219367,227425,309743,26744697
2019/01/14,229500,234000,228000,232000,▲1000,＋0.43%,227000,215775,219633,227346,192426,26691735
2019/01/11,227500,232000,226500,231000,▲4000,＋1.76%,224000,214600,219942,227317,246538,26657997
2019/01/10,226000,228500,224000,227000,▲500,＋0.22%,218000,213225,220150,227300,277278,26586464
2019/01/09,220500,227000,219000,226500,▲8000,＋3.66%,213200,212075,220425,227383,455066,26492011
2019/01/08,218000,219500,213000,218500,▲1500,＋0.69%,210000,211150,220717,227442,310061,26344480
2019/01/07,209000,219500,208500,217000,▲16000,＋7.96%,210100,210625,220858,227496,549913,26339685
2019/01/04,201500,204000,194000,201000,▼2000,－0.99%,210800,210600,221217,227592,474274,26227355
2019/01/03,209000,209500,202000,203000,▼7500,－3.56%,214200,211475,221850,227854,484354,26240469
2019/01/02,222000,224000,208500,210500,▼8500,－3.88%,217300,212375,222417,228088,345548,26266429
2018/12/28,221000,223000,216000,219000,▼1500,－0.68%,219400,212175,222975,228125,195928,26300928
2018/12/27,226000,226500,219000,220500,▲2500,＋1.15%,217600,211700,223492,228075,311555,26306265
2018/12/26,213500,224500,213500,218000,▼500,－0.23%,215700,211125,224025,228008,440953,26344507
2018/12/24,222000,223000,215000,218500,▼2500,－1.13%,212600,210700,224700,227975,309873,26419141
2018/12/21,211500,222500,211500,221000,▲11000,＋5.24%,210300,210075,225408,227938,706872,26512282
2018/12/20,209000,213000,207000,210000,▼1000,－0.47%,207200,209100,225992,227929,294353,26533466
2018/12/19,204000,213000,203500,211000,▲8500,＋4.20%,208400,209025,226717,228058,336919,26540256
2018/12/18,202500,207000,201500,202500,▼4500,－2.17%,207900,209000,227475,228167,229498,26511353
2018/12/17,204500,208000,201500,207000,▲1500,＋0.73%,208100,209325,228350,228358,282481,26532342
2018/12/14,215000,215500,203000,205500,▼10500,－4.86%,207500,210100,229008,228525,459055,26476140
2018/12/13,211000,218000,209500,216000,▲7500,＋3.60%,208000,210825,229667,228696,656263,26490036
2018/12/12,206500,210500,203500,208500,▲5000,＋2.46%,206400,211125,230042,228804,421767,26457114
2018/12/11,206000,207500,202000,203500,▼500,－0.25%,208000,211575,230692,228867,278367,26469354
2018/12/10,204500,206000,201000,204000,▼4000,－1.92%,211000,212200,231458,229029,266379,26446769
2018/12/07,210000,212000,207500,208000,0.0,0.00%,214400,212950,232125,229292,205321,26420828
2018/12/06,216500,217000,206000,208000,▼8500,－3.93%,214100,213375,232642,229450,376562,26413098
2018/12/05,213500,217000,212000,216500,▼2000,－0.92%,214400,214425,233208,229633,224291,26444026
2018/12/04,221000,223500,217000,218500,▼2500,－1.13%,212900,215075,233642,229696,440517,26428808
2018/12/03,211500,222000,211000,221000,▲14500,＋7.02%,211100,215875,234083,229754,511045,26360875
2018/11/30,210500,214500,206000,206500,▼3000,－1.43%,208100,216625,234442,229763,407748,26261199
2018/11/29,213500,215000,208500,209500,▲500,＋0.24%,207100,218025,234933,229833,277132,26320038
2018/11/28,210000,210000,206000,209000,▼500,－0.24%,206900,218975,235367,229913,227915,26328529
2018/11/27,209000,210500,203500,209500,▲3500,＋1.70%,207200,220300,235808,229913,399162,26339513
2018/11/26,199500,207500,199000,206000,▲4500,＋2.23%,207100,221575,236150,229838,328729,26358147
2018/11/23,208000,209500,200000,201500,▼7000,－3.36%,210400,222725,236600,229838,485282,26393491
2018/11/22,211000,211000,207500,208500,▼2000,－0.95%,214100,224250,236975,229921,231947,26372100
2018/11/21,202500,211000,200000,210500,▲1500,＋0.72%,216800,225300,237158,229925,559824,26379513
2018/11/20,218000,218500,207000,209000,▼13500,－6.07%,218200,225900,237242,229896,594077,26411604
2018/11/19,221500,226000,220000,222500,▲2500,＋1.14%,219600,227425,237375,229858,244912,26490870
2018/11/16,222500,224000,219500,220000,▼2000,－0.90%,218900,228850,237133,229708,269773,26499241
2018/11/15,215500,223000,213500,222000,▲4500,＋2.07%,218200,230475,237025,229525,254921,26458531
2018/11/14,216000,220500,216000,217500,▲1500,＋0.69%,219600,232000,236933,229300,269948,26475033
2018/11/13,212500,217500,208000,216000,▼3000,－1.37%,222000,233650,236883,229154,480455,26505339
2018/11/12,213000,219500,211000,219000,▲2500,＋1.15%,225700,235025,236867,228988,426379,26493430
2018/11/09,229000,229000,215500,216500,▼12500,－5.46%,229100,236250,236775,228796,698588,26383813
2018/11/08,235000,237000,229000,229000,▼500,－0.22%,232700,237625,236975,228658,456112,26432080
2018/11/07,233000,235500,227500,229500,▼5000,－2.13%,232600,237525,236917,228342,280171,26397203
2018/11/06,238000,238500,230500,234500,▼1500,－0.64%,233800,237975,236867,228017,265428,26376884
2018/11/05,233500,238000,229000,236000,▲1500,＋0.64%,233900,238200,236708,227654,307340,26302385
2018/11/02,230500,234500,226000,234500,▲6000,＋2.63%,232500,238250,236625,227221,600951,26292880
2018/11/01,239500,241000,227500,228500,▼7000,－2.97%,232000,238725,236492,226771,490359,26284642
2018/10/31,237000,238000,230000,235500,▲500,＋0.21%,232200,239800,236450,226421,346165,26367507
2018/10/30,228000,238000,222000,235000,▲6000,＋2.62%,229600,240650,236342,225983,519730,26339412
2018/10/29,238000,239500,226000,229000,▼3000,－1.29%,230500,241825,236225,225554,644243,26371121
2018/10/26,233500,235500,218000,232000,▲2500,＋1.09%,234900,243425,236317,225150,676184,26422651
2018/10/25,214000,229500,214000,229500,▲7000,＋3.15%,239000,244625,236308,224704,676719,26451366
2018/10/24,240000,241500,219500,222500,▼17000,－7.10%,243600,245825,236317,224258,811416,26425219
2018/10/23,251000,251000,236000,239500,▼11500,－4.58%,249200,247525,236408,223925,514080,26567118
2018/10/22,251000,254000,247500,251000,▼1500,－0.59%,250000,248300,236092,223496,168401,26590675
2018/10/19,248500,254000,244000,252500,0.0,0.00%,248500,248075,235775,222954,285410,26607230
2018/10/18,252500,256500,250500,252500,▲2000,＋0.80%,246800,247700,235483,222429,265114,26632305
2018/10/17,251000,255000,248000,250500,▲7000,＋2.87%,241700,247000,235058,221925,277392,26580100
2018/10/16,245500,249500,242500,243500,0.0,0.00%,239300,246850,234692,221446,188273,26520857
2018/10/15,244000,249500,241000,243500,▼500,－0.20%,238400,247150,234450,221021,283646,26527732
2018/10/12,228500,245000,228500,244000,▲17000,＋7.49%,237100,247175,234342,220596,516051,26588843
2018/10/11,230000,234500,226500,227000,▼11500,－4.82%,237100,246925,234167,220142,419946,26548448
2018/10/10,242500,243000,232500,238500,▼500,－0.21%,241700,247675,234133,219808,341200,26625329
2018/10/08,235500,247500,234000,239000,▲2000,＋0.84%,244500,247875,233967,219371,356685,26682992
2018/10/05,242000,243000,231000,237000,▼7000,－2.87%,248400,248175,233858,218975,595906,26697965
2018/10/04,250000,252500,241000,244000,▼6000,－2.40%,253200,248450,233758,218592,390712,26772762
2018/10/02,254500,259000,250000,250000,▼2500,－0.99%,255600,248050,233275,218150,229183,26776939
2018/10/01,259500,261000,251000,252500,▼6000,－2.32%,256300,247325,232658,217646,317594,26755404
2018/09/28,261500,262000,254500,258500,▼2500,－0.96%,257100,246475,231992,217188,335811,26765409
2018/09/27,262000,263500,257500,261000,▲5000,＋1.95%,256400,245050,231250,216696,358058,26790551
2018/09/21,256500,257000,252000,256000,▲2500,＋0.99%,253500,243650,230467,216125,298991,26685149
2018/09/20,255000,258500,251500,253500,▼3000,－1.17%,251300,242050,229867,215583,297512,26617870
2018/09/19,257000,258500,253500,256500,▲1500,＋0.59%,248300,240350,229400,215113,355187,26557755
2018/09/18,243000,255000,240500,255000,▲8500,＋3.45%,246500,238300,228858,214650,428081,26490247
2018/09/17,245500,248500,242000,246500,▲1500,＋0.61%,245400,236400,228367,214204,198381,26437212
2018/09/14,242000,248000,241500,245000,▲6500,＋2.73%,244900,234475,228042,213813,251884,26415142
2018/09/13,245000,248000,238000,238500,▼9000,－3.64%,243700,232900,227725,213504,571739,26343588
2018/09/12,251500,254000,241500,247500,▼2000,－0.80%,244400,231800,227567,213221,409317,26448498
2018/09/11,246000,255000,245500,249500,▲5500,＋2.25%,243400,230150,227042,212896,498612,26491762
2018/09/10,238000,244500,238000,244000,▲5000,＋2.09%,242500,228425,226600,212533,218309,26516181
2018/09/07,242000,244500,235500,239000,▼3000,－1.24%,242200,226900,226458,212296,362020,26483828
2018/09/06,240500,245000,237500,242000,▼500,－0.21%,241600,226375,226258,212092,280531,26491544
2018/09/05,246000,246000,240500,242500,▼2500,－1.02%,240300,225550,226058,211796,301486,26500203
2018/09/04,244500,245000,241500,245000,▲2500,＋1.03%,238900,224750,225750,211458,270820,26544457
2018/09/03,237500,244000,235500,242500,▲6500,＋2.75%,235900,223750,225425,211104,428249,26519453
2018/08/31,235000,240000,232000,236000,▲500,＋0.21%,234000,223175,225083,210721,284273,26503319
2018/08/30,235500,239000,233000,235500,0.0,0.00%,231600,222700,224733,210271,297809,26483228
2018/08/29,232000,236000,229500,235500,▲5500,＋2.39%,228400,222225,224458,209792,356040,26462267
2018/08/28,234500,239000,230000,230000,▼3000,－1.29%,224400,221900,224017,209325,427115,26557163
2018/08/27,226000,234000,224500,233000,▲9000,＋4.02%,221800,221800,223525,208825,394144,26533504
2018/08/24,218500,225000,217500,224000,▲4500,＋2.05%,216800,221875,223075,208304,204084,26441814
2018/08/23,216000,221000,214500,219500,▲4000,＋1.86%,214700,222250,222867,207863,196747,26422550
2018/08/22,217500,218500,214000,215500,▼1500,－0.69%,214100,222775,222692,207496,217180,26438075
2018/08/21,209000,218000,207500,217000,▲9000,＋4.33%,213900,223400,222550,207175,318915,26475824
2018/08/20,215500,217500,208000,208000,▼5500,－2.58%,213500,223575,222342,206883,349589,26461600
2018/08/17,218000,219500,213000,213500,▼3000,－1.39%,214600,224775,222283,206642,173818,26468406
2018/08/16,210000,217500,210000,216500,▲2000,＋0.93%,217600,225850,222025,206346,250060,26484816
2018/08/14,216000,216000,211000,214500,▼500,－0.23%,219400,226375,221667,206038,216559,26476430
2018/08/13,213000,217000,211500,215000,▲1500,＋0.70%,221800,227075,221425,205771,303402,26480035
2018/08/10,228000,228000,212500,213500,▼15000,－6.56%,223800,227775,221108,205483,625069,26406144
2018/08/09,226000,230000,222500,228500,▲3000,＋1.33%,227300,228950,220817,205142,318853,26491139
2018/08/08,227000,229500,225000,225500,▼1000,－0.44%,226900,229200,220342,204688,225652,26450729
2018/08/07,223000,227000,223000,226500,▲1500,＋0.67%,227000,229175,219767,204225,168539,26443378
2018/08/06,232000,233000,224000,225000,▼6000,－2.60%,227500,229275,219167,203796,302011,26433594
2018/08/03,229500,232000,226000,231000,▲4500,＋1.99%,228100,229650,218600,203354,246206,26400789
2018/08/02,226500,232000,225000,226500,▲500,＋0.22%,228800,229650,217817,202904,321154,26421748
2018/08/01,230000,233000,224000,226000,▼3000,－1.31%,229800,229075,217050,202475,313975,26456971
2018/07/31,227500,233000,224500,229000,▲1000,＋0.44%,230600,228425,216392,202083,324057,26411617
2018/07/30,237000,240500,225000,228000,▼6500,－2.77%,230400,227600,215625,201738,621510,26361409
2018/07/27,230500,236000,229000,234500,▲3000,＋1.30%,228900,226900,214883,201479,270918,26465420
2018/07/26,230500,232500,226500,231500,▲1500,＋0.65%,228400,225875,213983,201229,326994,26524418
2018/07/25,229000,238500,227500,230000,▲2000,＋0.88%,229100,225300,213100,201042,455816,26528639
2018/07/24,221000,228500,220000,228000,▲7500,＋3.40%,228500,225075,212200,200850,302173,26586237
2018/07/23,229000,231000,219000,220500,▼11500,－4.96%,228600,224875,211442,200700,440882,26560665
2018/07/20,235500,236000,229500,232000,▼3000,－1.28%,230300,225125,210900,200596,314316,26645243
2018/07/19,227500,239000,226500,235000,▲8000,＋3.52%,231300,224875,210133,200338,377469,26703397
2018/07/18,231500,235000,226500,227000,▼1500,－0.66%,231000,224425,209375,200071,254611,26653206
2018/07/17,229000,231500,225500,228500,▼500,－0.22%,230600,224525,208792,199879,195158,26660895
2018/07/16,238000,238000,226500,229000,▼8000,－3.38%,230600,223900,208200,199792,303560,26670391
2018/07/13,235000,244000,234000,237000,▲3500,＋1.50%,231300,223600,207592,199671,439815,26752065
2018/07/12,223000,235000,223000,233500,▲8500,＋3.78%,230100,223525,206850,199500,454859,26745279
2018/07/11,223000,229000,223000,225000,▼3500,－1.53%,226400,223200,206117,199329,284263,26796895
2018/07/10,236500,236500,224500,228500,▼4000,－1.72%,224000,223450,205483,199250,372521,26838933
2018/07/09,230500,237500,229500,232500,▲1500,＋0.65%,220800,223225,204775,199133,420448,26959429
2018/07/06,213000,232000,207500,231000,▲16000,＋7.44%,217100,222875,204092,198975,853958,26984515
2018/07/05,212500,216000,207000,215000,▲2000,＋0.94%,213700,222425,203425,198879,264247,27078321
2018/07/04,213000,218000,212000,213000,▲500,＋0.24%,214700,222425,203025,198967,159798,27119178
2018/07/03,219500,224000,207500,212500,▼1500,－0.70%,217200,222725,202633,199029,427152,27123670
2018/07/02,215000,220000,212500,214000,0.0,0.00%,219500,222550,202383,198996,280539,27209268
2018/06/29,219500,220500,210000,214000,▼6000,－2.73%,221800,221875,202142,198942,594795,27184954
2018/06/28,223000,223500,218500,220000,▼5500,－2.44%,224400,221475,201783,198925,270729,27365873
2018/06/27,224000,230500,223500,225500,▲1500,＋0.67%,225600,221050,201300,198796,290414,27413742
2018/06/26,220500,227000,220000,224000,▼1500,－0.67%,226300,220225,200825,198563,293594,27432205
2018/06/25,226500,228000,225000,225500,▼1500,－0.66%,224700,219375,200442,198321,228996,27551744
2018/06/22,223500,229000,220000,227000,▲1000,＋0.44%,224200,218325,200042,198129,261954,27594758
2018/06/21,231500,232000,225000,226000,▼3000,－1.31%,225900,217200,199583,197921,368767,27583357
2018/06/20,217000,233000,217000,229000,▲13000,＋6.02%,226100,215800,199283,197796,454949,27580714
2018/06/19,222000,225500,215500,216000,▼7000,－3.14%,226300,214100,198875,197629,531324,27554847
2018/06/18,235500,236000,220500,223000,▼12500,－5.31%,227900,213300,198750,197563,646476,27617330
2018/06/15,233000,237000,231000,235500,▲8500,＋3.74%,228400,211950,198467,197446,635346,27629205
2018/06/14,230000,235000,227000,227000,▼3000,－1.30%,225700,209975,198133,197238,529005,27549794
2018/06/12,226500,230000,225000,230000,▲6000,＋2.68%,223300,208625,197925,197154,485510,27505127
2018/06/11,220500,226000,220000,224000,▼1500,－0.67%,221100,206675,197533,197017,361724,27441416
2018/06/08,221500,226000,221000,225500,▲3500,＋1.58%,218100,205000,197167,196900,401108,27584408
2018/06/07,220500,226500,219000,222000,▲7000,＋3.26%,213100,203275,196783,196767,790086,27606806
2018/06/05,217500,218000,213000,215000,▼4000,－1.83%,209900,201375,196358,196650,327625,27650375
2018/06/04,209000,219000,208500,219000,▲10000,＋4.78%,209200,199650,195808,196546,610620,27729308
2018/06/01,201000,210500,200000,209000,▲8500,＋4.24%,207200,198025,195125,196421,357994,27595174
2018/05/31,206500,206500,200500,200500,▼5500,－2.67%,206800,196725,194633,196463,466438,27661293
2018/05/30,209000,210000,203500,206000,▼5500,－2.60%,207600,195875,194125,196579,343970,27695520
2018/05/29,211000,211500,207500,211500,▲2500,＋1.20%,207300,194600,193533,196629,316690,27748510
2018/05/28,207000,211000,203500,209000,▲2000,＋0.97%,204600,192950,192858,196704,271231,27653360
2018/05/25,204500,208500,202000,207000,▲2500,＋1.22%,201800,191300,192300,196796,428069,27603563
2018/05/24,202000,206500,200000,204500,0.0,0.00%,200400,190075,191800,196925,266881,27602406
2018/05/23,205500,210000,204000,204500,▲6500,＋3.28%,198700,189250,191425,197158,660136,27584182
2018/05/21,195000,199000,192500,198000,▲3000,＋1.54%,197000,188325,191000,197367,188601,27467809
2018/05/18,201500,201500,194000,195000,▼5000,－2.50%,197400,187900,190667,197613,225423,27459685
2018/05/17,199000,204500,198000,200000,▲4000,＋2.04%,196600,187750,190408,197808,396906,27523123
2018/05/16,194000,197500,192500,196000,0.0,0.00%,194700,187400,190117,197929,133710,27506852
2018/05/15,199000,199000,193000,196000,▼4000,－2.00%,193700,187225,189858,198129,222045,27501833
2018/05/14,193000,201500,192000,200000,▲9000,＋4.71%,191300,187050,189467,198292,456025,27554907
2018/05/11,193500,193500,189500,191000,▲500,＋0.26%,187400,186525,189033,198438,180729,27489688
2018/05/10,190000,192500,189000,190500,▼500,－0.26%,186500,186325,188683,198629,395033,27560277
2018/05/09,183000,192500,182000,191000,▲7000,＋3.80%,185000,186100,188425,198813,324011,27719634
2018/05/08,179000,186000,179000,184000,▲3500,＋1.94%,183500,186125,188108,199063,231245,27650805
2018/05/04,183000,183500,180000,180500,▼6000,－3.22%,182800,186475,187992,199375,318547,27590693
2018/05/03,185500,188500,184500,186500,▲3500,＋1.91%,182400,187000,187900,199713,463265,27605621
2018/05/02,184500,185000,181000,183000,▼500,－0.27%,180300,187150,187775,200000,234717,27643673
2018/04/30,180000,184500,180000,183500,▲3000,＋1.66%,180200,187875,187850,200288,164700,27591313
2018/04/27,179500,183000,179500,180500,▲2000,＋1.12%,181100,188675,188075,200592,176874,27563048
2018/04/26,176000,181500,175500,178500,▲2500,＋1.42%,182200,189275,188475,200963,250411,27558369
2018/04/25,182000,182000,174500,176000,▼6500,－3.56%,184400,189900,188983,201346,442091,27578670
2018/04/24,188000,188500,182000,182500,▼5500,－2.93%,187600,190950,189500,201596,286740,27704619
2018/04/23,187000,189500,186000,188000,▲2000,＋1.08%,189700,191875,189958,201763,161518,27714585
2018/04/20,188500,189000,185500,186000,▼3500,－1.85%,190600,192550,190292,201821,244574,27710693
2018/04/19,192000,192000,188000,189500,▼2500,－1.30%,191900,193225,190542,201900,230395,27787015
2018/04/18,194000,194500,192000,192000,▼1000,－0.52%,191900,194150,190767,201975,150286,27806373
2018/04/17,192000,194500,190000,193000,▲500,＋0.26%,190900,194775,190967,202021,146298,27816647
2018/04/16,194000,195500,191500,192500,0.0,0.00%,189500,195550,191383,202121,168140,27825248
2018/04/13,191500,196000,191000,192500,▲3000,＋1.58%,189300,196225,191750,202179,441237,27830524
2018/04/12,189000,192000,187000,189500,▲2500,＋1.34%,189000,197375,192150,202217,374912,27874008
2018/04/11,191000,192500,186000,187000,▲1000,＋0.54%,189300,198625,192542,202288,279502,27969167
2018/04/10,190500,191000,184000,186000,▼5500,－2.87%,189800,199600,193017,202417,349119,28004221
2018/04/09,191000,193000,190000,191500,▲500,＋0.26%,192100,200400,193492,202563,143533,28014030
2018/04/06,191500,193000,190000,191000,0.0,0.00%,193700,200950,193858,202767,188792,27995314
2018/04/05,190500,194000,189500,191000,▲1500,＋0.79%,194000,201225,194333,202967,238497,27986840
2018/04/04,197000,197500,189000,189500,▼8000,－4.05%,194000,200775,194908,203183,363317,28013475
2018/04/03,197000,199000,193500,197500,▼2000,－1.00%,195500,200200,195425,203383,287353,28059487
2018/04/02,200000,204000,199000,199500,▲7000,＋3.64%,196200,199300,195608,203392,583028,28136093
2018/03/30,194500,195000,192500,192500,▲1500,＋0.79%,196600,197825,195742,203396,227870,28252749
2018/03/29,197000,197500,190000,191000,▼6000,－3.05%,198000,196725,196067,203538,447080,28300139
2018/03/28,199000,199000,196000,197000,▼4000,－1.99%,201400,195725,196292,203696,413634,28361190
2018/03/27,204000,205500,200000,201000,▼500,－0.25%,202900,194650,196300,203854,277273,28269103
2018/03/26,201000,203000,196500,201500,▲2000,＋1.00%,204400,193450,196200,203917,251989,28268720
2018/03/23,202000,203000,199000,199500,▼8500,－4.09%,205300,192475,196217,204013,453539,28288759
2018/03/22,204000,210000,203500,208000,▲3500,＋1.71%,208500,191450,196258,204175,355010,28308927
2018/03/21,208000,208000,203000,204500,▼4000,－1.92%,209800,189950,196308,204300,364147,28283134
2018/03/20,203500,209000,201500,208500,▲2500,＋1.21%,210200,188700,196383,204433,289067,28309276
2018/03/19,214500,215000,205000,206000,▼9500,－4.41%,208900,187400,196375,204483,635991,28309938
2018/03/16,215500,217000,211000,215500,▲1000,＋0.47%,208200,186125,196425,204517,498717,28380695
2018/03/15,210500,215000,207000,214500,▲8000,＋3.87%,204400,183975,196342,204458,633572,28300012
2018/03/14,205500,212500,204000,206500,▲4500,＋2.23%,197900,181950,196383,204338,953548,28138562
2018/03/13,199000,203500,199000,202000,▼500,－0.25%,192200,180125,196500,204304,403440,28033144
2018/03/12,202000,206000,199500,202500,▲6000,＋3.05%,187700,178775,196633,204225,598690,28119678
2018/03/09,185000,196500,184500,196500,▲14500,＋7.97%,181200,177250,196750,204146,1178221,28115586
2018/03/08,179000,182000,178500,182000,▲4000,＋2.25%,176000,176275,196942,204113,335895,27976530
2018/03/07,179500,182500,177000,178000,▼1500,－0.84%,173800,175925,197283,204183,318101,28034506
2018/03/06,172500,179500,172000,179500,▲9500,＋5.59%,173300,175975,197717,204308,378661,28009370
2018/03/05,172000,173500,170000,170000,▼500,－0.29%,172800,176375,198292,204454,168451,27977963
2018/03/02,169500,172000,168500,170500,▼500,－0.29%,175200,177725,199033,204675,249335,27977833
2018/02/28,174000,174500,170000,171000,▼4500,－2.56%,176900,179425,199725,204858,380856,27974557
2018/02/27,178000,179500,175000,175500,▼1500,－0.85%,178300,181325,200550,204979,298657,28029018
2018/02/26,184000,184000,175500,177000,▼5000,－2.75%,179100,182900,201292,205075,329449,27983327
2018/02/23,180500,183000,180000,182000,▲3000,＋1.68%,180200,184550,202050,205192,179995,28081501
2018/02/22,176500,179500,176000,179000,▲1000,＋0.56%,179900,185850,202892,205267,150548,28050863
2018/02/21,179000,180000,177000,178000,▼1500,－0.84%,178600,186950,203733,205350,220036,28044355
2018/02/20,182000,182500,178500,179500,▼3000,－1.64%,177800,188200,204558,205413,223122,28075386
2018/02/19,184000,185000,180000,182500,▲2000,＋1.11%,175900,189425,205208,205404,282469,28035355
2018/02/14,174500,180500,174000,180500,▲8000,＋4.64%,174400,191200,205742,205354,386259,28037675
2018/02/13,176500,177000,172000,172500,▼1500,－0.86%,172700,192900,206400,205333,364983,28006767
2018/02/12,171500,176000,170500,174000,▲4000,＋2.35%,173600,195100,207117,205383,348174,28066817
2018/02/09,169000,171500,168000,170000,▼5000,－2.86%,173800,197050,207842,205404,382665,28085373
2018/02/08,171500,177500,171500,175000,▲3000,＋1.74%,175600,199325,208575,205396,458644,28075342
2018/02/07,179500,180000,172000,172000,▼5000,－2.82%,178100,201300,209200,205363,662100,28041443
2018/02/06,169000,177500,168500,177000,▲2000,＋1.14%,183100,203375,210017,205350,685967,28021302
2018/02/05,174000,176000,171000,175000,▼4000,－2.23%,188600,205500,210758,205354,1147535,27952460
2018/02/02,184500,185000,175000,179000,▼8500,－4.53%,195400,208025,211525,205404,1541960,28265459
2018/02/01,197000,198000,185000,187500,▼9500,－4.82%,201000,210100,212225,205425,1296858,28660995
2018/01/31,202500,203000,196000,197000,▼7500,－3.67%,205500,211150,212725,205325,889811,28898617
2018/01/30,207500,208000,203500,204500,▼4500,－2.15%,207700,211675,213108,205179,359741,29193971
2018/01/29,209000,210000,208000,209000,▲2000,＋0.97%,207000,212050,213450,204908,200975,29171472
2018/01/26,211000,212000,204500,207000,▼3000,－1.43%,205800,211825,213708,204571,384321,29110243
2018/01/25,215000,215500,209000,210000,▲2000,＋0.96%,205200,211350,213692,204229,642179,29059131
2018/01/24,207500,210500,204500,208000,▲7000,＋3.48%,206800,210600,213567,203921,645722,28915856
2018/01/23,204000,205000,199500,201000,▼2000,－0.99%,208100,210325,213350,203617,608934,28836269
2018/01/22,202000,205000,198000,203000,▼1000,－0.49%,211200,210375,213258,203458,580327,28839834
2018/01/19,218000,220500,202000,204000,▼14000,－6.42%,213200,210775,213183,203267,969072,28735231
2018/01/18,218500,223500,216000,218000,▲3500,＋1.63%,215500,211025,213075,203075,378700,28833265
2018/01/17,216500,219000,212000,214500,▼2000,－0.92%,214800,210525,212858,202738,296120,28752010
2018/01/16,215500,217500,213500,216500,▲3500,＋1.64%,214600,210250,212608,202433,215395,28707352
2018/01/15,213000,215500,211000,213000,▼2500,－1.16%,215200,209950,212283,202204,197666,28719415
2018/01/12,217500,218500,212000,215500,▲1000,＋0.47%,217700,210150,212033,201988,207713,28720697
2018/01/11,216000,217000,211500,214500,▲1000,＋0.47%,218700,210050,211817,201700,344856,28742872
2018/01/10,221500,221500,211000,213500,▼6000,－2.73%,217500,209825,211633,201421,320655,28721671
2018/01/09,225000,227000,217000,219500,▼6000,－2.66%,216300,209625,211675,201079,318641,28735797
2018/01/08,224500,227000,222000,225500,▲5000,＋2.27%,214800,209050,211600,200721,395868,28757001
2018/01/05,209500,221000,209500,220500,▲12000,＋5.76%,210600,207900,211458,200308,631052,28722293
2018/01/04,210000,211500,207000,208500,▲1000,＋0.48%,206000,207075,211342,199946,288525,28610693
2018/01/03,209500,213000,207000,207500,▼4500,－2.12%,203300,207350,211175,199683,243427,28607225
2018/01/02,207500,212500,206500,212000,▲7500,＋3.67%,202300,207700,211050,199429,256209,28642858
2017/12/28,196500,205500,196500,204500,▲7000,＋3.54%,200300,207700,211008,199067,263440,28661907
2017/12/27,195000,199500,195000,197500,▲2500,＋1.28%,201600,208500,211100,198779,286908,28706863
2017/12/26,202500,203000,195000,195000,▼7500,－3.70%,203900,209625,211408,198563,388845,28784202
2017/12/22,201500,204500,199500,202500,▲500,＋0.25%,206500,211000,211633,198338,260801,28829744
2017/12/21,210000,210000,201000,202000,▼9000,－4.27%,207800,212500,211808,198071,281320,28872821
2017/12/20,209500,212500,208000,211000,▲2000,＋0.96%,209500,213875,212092,197854,181309,28957495
2017/12/19,210000,213500,208000,209000,▲1000,＋0.48%,210700,214700,212292,197533,211626,28958294
2017/12/18,210500,211000,205000,208000,▼1000,－0.48%,211600,215175,212483,197163,152505,28966902
2017/12/15,213500,216000,209000,209000,▼1500,－0.71%,212000,215500,212592,196796,242106,28988539
2017/12/14,217500,218000,210500,210500,▼6500,－3.00%,212100,216050,212608,196371,410541,29045885
2017/12/13,215000,217000,211500,217000,▲3500,＋1.64%,211600,216300,212575,195917,284118,29019131
2017/12/12,213000,218000,209500,213500,▲3500,＋1.67%,208700,216325,212292,195400,356468,28948303
2017/12/11,211500,212000,208000,210000,▲500,＋0.24%,206800,216350,212108,194850,186698,28960312
2017/12/08,209000,211500,207500,209500,▲1500,＋0.72%,207600,216475,211817,194367,227996,28967196
2017/12/07,204500,209000,203000,208000,▲5500,＋2.72%,208600,217050,211542,193875,382306,28960126
2017/12/06,204000,207500,201500,202500,▼1500,－0.74%,209400,217725,211283,193400,304323,28837601
2017/12/05,210500,211500,202000,204000,▼10000,－4.67%,213000,218650,211083,192946,514290,28849818
